year,subject,topic,exam,exercise,exercise_type
2024,química,acido_base,Julio,Ejercicio C3,neutralización ácido base
2024,química,acido_base,Junio,Ejercicio B5,verdadero o falso
2024,química,acido_base,Junio,Ejercicio C3,reacciones ácido /  base débil
2024,química,acido_base,Reserva 1,Ejercicio B5,cuestión teórica
2024,química,acido_base,Reserva 1,Ejercicio C3,neutralización ácido base
2024,química,acido_base,Reserva 2,Ejercicio C3,neutralización ácido base
2024,química,acido_base,Reserva 3,Ejercicio C3,reacciones ácido /  base débil
2024,química,acido_base,Reserva 4,Ejercicio B4,cuestión teórica
2024,química,acido_base,Reserva 4,Ejercicio C3,neutralización ácido base
2023,química,acido_base,Julio,Ejercicio B5,cuestión teórica
2023,química,acido_base,Julio,Ejercicio C3,neutralización ácido base
2023,química,acido_base,Junio,Ejercicio B4,cuestión teórica
2023,química,acido_base,Junio,Ejercicio C3,reacciones ácido /  base débil
2023,química,acido_base,Reserva 1,Ejercicio C3,reacciones ácido /  base débil
2023,química,acido_base,Reserva 2,Ejercicio B5,verdadero o falso
2023,química,acido_base,Reserva 2,Ejercicio C3,reacciones ácido /  base débil
2023,química,acido_base,Reserva 3,Ejercicio C3,neutralización ácido base
2023,química,acido_base,Reserva 4,Ejercicio B5,verdadero o falso
2023,química,acido_base,Reserva 4,Ejercicio C3,reacciones ácido /  base débil
2022,química,acido_base,Julio,Ejercicio B4,verdadero o falso
2022,química,acido_base,Julio,Ejercicio C3,reacciones ácido /  base débil
2022,química,acido_base,Junio,B5,cuestión teórica
2022,química,acido_base,Junio,Ejercicio C3,neutralización ácido base
2022,química,acido_base,Reserva 1,Ejercicio C3,neutralización ácido base
2022,química,acido_base,Reserva 2,Ejercicio B5,cuestión teórica
2022,química,acido_base,Reserva 2,Ejercicio C3,reacciones ácido /  base débil
2022,química,acido_base,Reserva 3,Ejercicio B5,hidrólisis de sales
2022,química,acido_base,Reserva 3,Ejercicio C3,reacciones ácido /  base débil
2022,química,acido_base,Reserva 4,Ejercicio C3,reacciones ácido /  base débil
2021,química,acido_base,Julio,Ejercicio B5,verdadero o falso
2021,química,acido_base,Julio,Ejercicio C3,reacciones ácido /  base débil
2021,química,acido_base,Junio,Ejercicio B5,cuestión teórica
2021,química,acido_base,Junio,Ejercicio C3,neutralización ácido base
2021,química,acido_base,Reserva 1,Ejercicio C3,reacciones ácido /  base débil
2021,química,acido_base,Reserva 2,Ejercicio B4,verdadero o falso
2021,química,acido_base,Reserva 2,Ejercicio C3,reacciones ácido /  base débil
2021,química,acido_base,Reserva 3,Ejercicio C3,reacciones ácido /  base débil
2021,química,acido_base,Reserva 4,Ejercicio B5,cuestión teórica
2021,química,acido_base,Reserva 4,Ejercicio C3,neutralización ácido base
2020,química,acido_base,Junio,B5,cuestión teórica
2020,química,acido_base,Junio,C3,reacciones ácido /  base débil
2020,química,acido_base,Reserva 1,Ejercicio B4,verdadero o falso
2020,química,acido_base,Reserva 1,Ejercicio C3,reacciones ácido /  base débil
2020,química,acido_base,Reserva 2,Ejercicio C3,neutralización ácido base
2020,química,acido_base,Reserva 3,Ejercicio B5,cuestión teórica
2020,química,acido_base,Reserva 3,Ejercicio C3,reacciones ácido /  base débil
2020,química,acido_base,Reserva 4,Ejercicio B5,hidrólisis de sales
2020,química,acido_base,Reserva 4,Ejercicio C3,neutralización ácido base
2020,química,acido_base,Septiembre,C3,reacciones ácido /  base débil
2019,química,acido_base,Junio,Ejercicio 5 Opción A,reacciones ácido /  base débil
2019,química,acido_base,Junio,Ejercicio 3 Opción B,verdadero o falso
2019,química,acido_base,Reserva 1,Ejercicio 5 Opción A,neutralización ácido base
2019,química,acido_base,Reserva 2,Ejercicio 5 Opción B,reacciones ácido /  base débil
2019,química,acido_base,Reserva 3,Ejercicio 3 Opción B,verdadero o falso
2019,química,acido_base,Reserva 3,Ejercicio 5 Opción A,reacciones ácido /  base débil
2019,química,acido_base,Reserva 4,Ejercicio 4 Opción B,verdadero o falso
2019,química,acido_base,Reserva 4,Ejercicio 6 Opción A,reacciones ácido /  base débil
2019,química,acido_base,Septiembre,Ejercicio 5 Opción A,reacciones ácido /  base débil
2019,química,acido_base,Septiembre,Ejercicio 3 Opción B,cuestión teórica
2018,química,acido_base,Junio,Ejercicio 6 Opción A,neutralización ácido base
2018,química,acido_base,Junio,Ejercicio 4 Opción B,cuestión teórica
2018,química,acido_base,Reserva 1,Ejercicio 3 Opción B,cuestión teórica
2018,química,acido_base,Reserva 1,Ejercicio 5 Opción A,neutralización ácido base
2018,química,acido_base,Reserva 2,Ejercicio 5 Opción A,reacciones ácido /  base débil
2018,química,acido_base,Reserva 3,Ejercicio 3 Opción B,cuestión teórica
2018,química,acido_base,Reserva 3,Ejercicio 5 Opción A,reacciones ácido /  base débil
2018,química,acido_base,Reserva 4,Ejercicio 3 Opción B,verdadero o falso
2018,química,acido_base,Reserva 4,Ejercicio 5 Opción A,neutralización ácido base
2018,química,acido_base,Septiembre,Ejercicio 5 Opción B,neutralización ácido base
2017,química,acido_base,Junio,Ejercicio 6 Opción A,reacciones ácido /  base débil
2017,química,acido_base,Junio,Ejercicio 4 Opción B,cuestión teórica
2017,química,acido_base,Reserva 1,Ejercicio 5 Opción A,reacciones ácido /  base débil
2017,química,acido_base,Reserva 1,Ejercicio 3 Opción B,verdadero o falso
2017,química,acido_base,Reserva 2,Ejercicio 5 Opción A,reacciones ácido /  base débil
2017,química,acido_base,Reserva 2,Ejercicio 3 Opción B,hidrólisis de sales
2017,química,acido_base,Reserva 3,Ejercicio 5 Opción A,reacciones ácido /  base débil
2017,química,acido_base,Reserva 3,Ejercicio 3 Opción B,verdadero o falso
2017,química,acido_base,Reserva 4,Ejercicio 5 Opción B,reacciones ácido /  base débil
2017,química,acido_base,Septiembre,Ejercicio 5 Opción A,neutralización ácido base
2016,química,acido_base,Junio,Ejercicio 4 Opción A,cuestión teórica
2016,química,acido_base,Reserva 1,Ejercicio 4 Opción B,cuestión teórica
2016,química,acido_base,Reserva 2,Ejercicio 6 Opción A,reacciones ácido /  base débil
2016,química,acido_base,Reserva 2,Ejercicio 4 Opción B,cuestión teórica
2016,química,acido_base,Reserva 3,Ejercicio 5 Opción A,neutralización ácido base
