topic|year|exam|exercise|statement
formulacion|2000|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Óxido de cromo(IIT); b) Fosfato de calcio;
c) Ácido benzoico; d) BaSO, ; e) KNO;; f) CH,CH,OH."
formulacion|2000|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Sulfato de amonio; b) Hidróxido de cobre(I);
c) Ácido propanoico; d) HI ; e) NaHCO, ; £) CH,NHCH,CH, ."
formulacion|2000|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de platino(IV); b) Yodato de calcio;
c) Benceno; d) H,S; e) MnO,; f) CH;,CH,COOCH,"
formulacion|2000|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de berilio; b) Carbonato de magnesio;
c) Hexanal; d) AICI,; e) HgSO;; f) CH, = CHCH = CH,"
formulacion|2000|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de cobre(I); b) Carbonato de sodio;
c) 2-Butino; d) NH,Cl; e) Li,SO, ; £) CH,0HCH,OH"
formulacion|2000|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Fluoruro de hidrógeno; b) Cromato de
mercurio(II) ; c) Tribromometano; d) PCI, ; e) NaNO, ; f) CH,COOH"
formulacion|2000|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Fluoruro de calcio; b) Óxido de
antimonio(III); c) Nitrobenceno; d) Na,0, ; e) HCIO, ; £) CH=CH"
formulacion|2000|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de hierro(III); b) Dióxido de azufre;
ce) 2-Cloropropanal; d) PCIl;; e) HNO, ; f) CH,"
formulacion|2000|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Nitrato de hierro(III); b) Perclorato de
potasio; c) Trietilamina; d) CuO; e) HIO, ; f£) CH,CH,OCH,CH;."
formulacion|2000|Reserva 4|Ejercicio 1 Opción B|"Formule 0 nombre los siguientes compuestos: a) Hipobromito de sodio; b) Hidróxido de
estaño(I1I); c) 1,2-Dibromoeteno; d) CoPO,; e) CaH,; f) CH;ClI."
formulacion|2000|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Pentasulfuro de diarsénico;
b) Hidrogenocarbonato de potasio; c) Ácido 2-hidroxibutanoico; d) Ca(ClO),; e) N,O;;
f CH,COCH,"
formulacion|2000|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Monóxido de carbono; b) Nitrito de cesio;
c) Propanal; d) ZnO; e) HIO;; f) CH,COOCH,CH;"
formulacion|2000|Junio|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Óxido de cromo(IIT); b) Fosfato de calcio;
c) Ácido benzoico; d) BaSO, ; e) KNO;; f) CH,CH,OH."
formulacion|2000|Junio|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Sulfato de amonio; b) Hidróxido de cobre(I);
c) Ácido propanoico; d) HI ; e) NaHCO, ; £) CH,NHCH,CH, ."
formulacion|2000|Reserva 1|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de platino(IV); b) Yodato de calcio;
c) Benceno; d) H,S; e) MnO,; f) CH;,CH,COOCH,"
formulacion|2000|Reserva 1|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidruro de berilio; b) Carbonato de magnesio;
c) Hexanal; d) AICI,; e) HgSO;; f) CH, = CHCH = CH,"
formulacion|2000|Reserva 2|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Óxido de cobre(I); b) Carbonato de sodio;
c) 2-Butino; d) NH,Cl; e) Li,SO, ; £) CH,0HCH,OH"
formulacion|2000|Reserva 2|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Fluoruro de hidrógeno; b) Cromato de
mercurio(II) ; c) Tribromometano; d) PCI, ; e) NaNO, ; f) CH,COOH"
formulacion|2000|Reserva 3|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Fluoruro de calcio; b) Óxido de
antimonio(III); c) Nitrobenceno; d) Na,0, ; e) HCIO, ; £) CH=CH"
formulacion|2000|Reserva 3|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Hidróxido de hierro(III); b) Dióxido de azufre;
ce) 2-Cloropropanal; d) PCIl;; e) HNO, ; f) CH,"
formulacion|2000|Reserva 4|Ejercicio 1 Opción A|"Formule o nombre los siguientes compuestos: a) Nitrato de hierro(III); b) Perclorato de
potasio; c) Trietilamina; d) CuO; e) HIO, ; f£) CH,CH,OCH,CH;."
formulacion|2000|Reserva 4|Ejercicio 1 Opción B|"Formule 0 nombre los siguientes compuestos: a) Hipobromito de sodio; b) Hidróxido de
estaño(I1I); c) 1,2-Dibromoeteno; d) CoPO,; e) CaH,; f) CH;ClI."
formulacion|2000|Septiembre|Ejercicio 1 Opción A|"Formule o nombre los compuestos siguientes: a) Pentasulfuro de diarsénico;
b) Hidrogenocarbonato de potasio; c) Ácido 2-hidroxibutanoico; d) Ca(ClO),; e) N,O;;
f CH,COCH,"
formulacion|2000|Septiembre|Ejercicio 1 Opción B|"Formule o nombre los compuestos siguientes: a) Monóxido de carbono; b) Nitrito de cesio;
c) Propanal; d) ZnO; e) HIO;; f) CH,COOCH,CH;"
