year,subject,topic,exam,exercise,exercise_type
2024,quimica,acido_base,Julio,Ejercicio C3,neutralización ácido base
2024,quimica,acido_base,Junio,Ejercicio B5,verdadero o falso
2024,quimica,acido_base,Junio,Ejercicio C3,reacciones ácido/base débil
2024,quimica,acido_base,Reserva 1,Ejercicio B5,cuestión teórica
2024,quimica,acido_base,Reserva 1,Ejercicio C3,neutralización ácido base
2024,quimica,acido_base,Reserva 2,Ejercicio C3,neutralización ácido base
2024,quimica,acido_base,Reserva 3,Ejercicio C3,reacciones ácido/base débil
2024,quimica,acido_base,Reserva 4,Ejercicio B4,cuestión teórica
2024,quimica,acido_base,Reserva 4,Ejercicio C3,neutralización ácido base
2023,quimica,acido_base,Julio,Ejercicio B5,cuestión teórica
2023,quimica,acido_base,Julio,Ejercicio C3,neutralización ácido base
2023,quimica,acido_base,Junio,Ejercicio B4,cuestión teórica
2023,quimica,acido_base,Junio,Ejercicio C3,reacciones ácido/base débil
2023,quimica,acido_base,Reserva 1,Ejercicio C3,reacciones ácido/base débil
2023,quimica,acido_base,Reserva 2,Ejercicio B5,verdadero o falso
2023,quimica,acido_base,Reserva 2,Ejercicio C3,reacciones ácido/base débil
2023,quimica,acido_base,Reserva 3,Ejercicio C3,neutralización ácido base
2023,quimica,acido_base,Reserva 4,Ejercicio B5,verdadero o falso
2023,quimica,acido_base,Reserva 4,Ejercicio C3,reacciones ácido/base débil
2022,quimica,acido_base,Julio,Ejercicio B4,verdadero o falso
2022,quimica,acido_base,Julio,Ejercicio C3,reacciones ácido/base débil
2022,quimica,acido_base,Junio,B5,cuestión teórica
2022,quimica,acido_base,Junio,Ejercicio C3,neutralización ácido base
2022,quimica,acido_base,Reserva 1,Ejercicio C3,neutralización ácido base
2022,quimica,acido_base,Reserva 2,Ejercicio B5,cuestión teórica
2022,quimica,acido_base,Reserva 2,Ejercicio C3,reacciones ácido/base débil
2022,quimica,acido_base,Reserva 3,Ejercicio B5,hidrólisis de sales
2022,quimica,acido_base,Reserva 3,Ejercicio C3,reacciones ácido/base débil
2022,quimica,acido_base,Reserva 4,Ejercicio C3,reacciones ácido/base débil
2021,quimica,acido_base,Julio,Ejercicio B5,verdadero o falso
2021,quimica,acido_base,Julio,Ejercicio C3,reacciones ácido/base débil
2021,quimica,acido_base,Junio,Ejercicio B5,cuestión teórica
2021,quimica,acido_base,Junio,Ejercicio C3,neutralización ácido base
2021,quimica,acido_base,Reserva 1,Ejercicio C3,reacciones ácido/base débil
2021,quimica,acido_base,Reserva 2,Ejercicio B4,verdadero o falso
2021,quimica,acido_base,Reserva 2,Ejercicio C3,reacciones ácido/base débil
2021,quimica,acido_base,Reserva 3,Ejercicio C3,reacciones ácido/base débil
2021,quimica,acido_base,Reserva 4,Ejercicio B5,cuestión teórica
2021,quimica,acido_base,Reserva 4,Ejercicio C3,neutralización ácido base
2020,quimica,acido_base,Junio,B5,cuestión teórica
2020,quimica,acido_base,Junio,C3,reacciones ácido/base débil
2020,quimica,acido_base,Reserva 1,Ejercicio B4,verdadero o falso
2020,quimica,acido_base,Reserva 1,Ejercicio C3,reacciones ácido/base débil
2020,quimica,acido_base,Reserva 2,Ejercicio C3,neutralización ácido base
