year|subject|topic|exam|exercise|exercise_type
2000|química|acido_base|Junio|Ejercicio 4 Opción A|cuestión teórica
2000|química|acido_base|Junio|Ejercicio 6 Opción B|reacciones ácido /  base débil
2000|química|acido_base|Reserva 1|Ejercicio 3 Opción A|hidrólisis de sales
2000|química|acido_base|Reserva 1|Ejercicio 6 Opción B|reacciones ácido /  base débil
2000|química|acido_base|Reserva 2|Ejercicio 3 Opción A|hidrólisis de sales
2000|química|acido_base|Reserva 3|Ejercicio 5 Opción A|neutralización ácido base
2000|química|acido_base|Reserva 3|Ejercicio 3 Opción B|neutralización ácido base
2000|química|acido_base|Reserva 4|Ejercicio 4 Opción A|hidrólisis de sales
2000|química|acido_base|Reserva 4|Ejercicio 5 Opción B|reacciones ácido /  base débil
2000|química|acido_base|Septiembre|Ejercicio 4 Opción A|cuestión teórica
2001|química|acido_base|Junio|Ejercicio 3 Opción A|neutralización ácido base
2001|química|acido_base|Junio|Ejercicio 5 Opción B|neutralización ácido base
2001|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2001|química|acido_base|Reserva 1|Ejercicio 4 Opción B|neutralización ácido base
2001|química|acido_base|Reserva 2|Ejercicio 6 Opción A|reacciones ácido /  base débil
2001|química|acido_base|Reserva 2|Ejercicio 3 Opción B|hidrólisis de sales
2001|química|acido_base|Reserva 4|Ejercicio 5 Opción A|neutralización ácido base
2001|química|acido_base|Reserva 4|Ejercicio 3 Opción B|cuestión teórica
2001|química|acido_base|Septiembre|Ejercicio 5 Opción A|reacciones ácido /  base débil
2001|química|acido_base|Septiembre|Ejercicio 4 Opción B|verdadero o falso
2002|química|acido_base|Junio|Ejercicio 5 Opción A|reacciones ácido /  base débil
2002|química|acido_base|Junio|Ejercicio 4 Opción B|hidrólisis de sales
2002|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2002|química|acido_base|Reserva 1|Ejercicio 4 Opción B|neutralización ácido base
2002|química|acido_base|Reserva 2|Ejercicio 4 Opción B|neutralización ácido base
2002|química|acido_base|Reserva 3|Ejercicio 3 Opción A|cuestión teórica
2002|química|acido_base|Reserva 3|Ejercicio 5 Opción B|neutralización ácido base
2002|química|acido_base|Reserva 4|Ejercicio 4 Opción B|verdadero o falso
2002|química|acido_base|Septiembre|Ejercicio 4 Opción A|cuestión teórica
2003|química|acido_base|Junio|Ejercicio 4 Opción B|cuestión teórica
2003|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2003|química|acido_base|Reserva 1|Ejercicio 4 Opción B|cuestión teórica
2003|química|acido_base|Reserva 2|Ejercicio 4 Opción A|cuestión teórica
2003|química|acido_base|Reserva 3|Ejercicio 3 Opción A|cuestión teórica
2003|química|acido_base|Reserva 3|Ejercicio 5 Opción B|neutralización ácido base
2003|química|acido_base|Reserva 4|Ejercicio 6 Opción A|reacciones ácido /  base débil
2003|química|acido_base|Reserva 4|Ejercicio 4 Opción B|cuestión teórica
2003|química|acido_base|Septiembre|Ejercicio 5 Opción A|neutralización ácido base
2003|química|acido_base|Septiembre|Ejercicio 4 Opción B|cuestión teórica
2004|química|acido_base|Junio|Ejercicio 3 Opción A|cuestión teórica
2004|química|acido_base|Junio|Ejercicio 5 Opción B|neutralización ácido base
2004|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2004|química|acido_base|Reserva 1|Ejercicio 4 Opción B|cuestión teórica
2004|química|acido_base|Reserva 2|Ejercicio 4 Opción B|neutralización ácido base
2004|química|acido_base|Reserva 3|Ejercicio 6 Opción A|neutralización ácido base
2004|química|acido_base|Reserva 3|Ejercicio 4 Opción B|cuestión teórica
2004|química|acido_base|Reserva 4|Ejercicio 6 Opción A|reacciones ácido /  base débil
2004|química|acido_base|Reserva 4|Ejercicio 4 Opción B|hidrólisis de sales
2004|química|acido_base|Septiembre|Ejercicio 5 Opción A|reacciones ácido /  base débil
2004|química|acido_base|Septiembre|Ejercicio 4 Opción B|cuestión teórica
2005|química|acido_base|Junio|Ejercicio 3 Opción A|neutralización ácido base
2005|química|acido_base|Junio|Ejercicio 5 Opción B|reacciones ácido /  base débil
2005|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2005|química|acido_base|Reserva 2|Ejercicio 6 Opción A|neutralización ácido base
2005|química|acido_base|Reserva 2|Ejercicio 4 Opción B|hidrólisis de sales
2005|química|acido_base|Reserva 3|Ejercicio 6 Opción A|reacciones ácido /  base débil
2005|química|acido_base|Reserva 3|Ejercicio 4 Opción B|cuestión teórica
2005|química|acido_base|Reserva 4|Ejercicio 4 Opción B|cuestión teórica
2005|química|acido_base|Septiembre|Ejercicio 5 Opción A|reacciones ácido /  base débil
2005|química|acido_base|Septiembre|Ejercicio 4 Opción B|hidrólisis de sales
2006|química|acido_base|Junio|Ejercicio 4 Opción A|hidrólisis de sales
2006|química|acido_base|Reserva 1|Ejercicio 6 Opción A|reacciones ácido /  base débil
2006|química|acido_base|Reserva 1|Ejercicio 4 Opción B|neutralización ácido base
2006|química|acido_base|Reserva 2|Ejercicio 6 Opción A|reacciones ácido /  base débil
2006|química|acido_base|Reserva 2|Ejercicio 4 Opción B|cuestión teórica
2006|química|acido_base|Reserva 3|Ejercicio 6 Opción A|neutralización ácido base
2006|química|acido_base|Reserva 3|Ejercicio 4 Opción B|hidrólisis de sales
2006|química|acido_base|Reserva 4|Ejercicio 5 Opción A|neutralización ácido base
