year|subject|topic|exam|exercise|exercise_type
2000|química|cantidad_quimica|Junio|Ejercicio 2 Opcion A|cantidad química
2000|química|cantidad_quimica|Junio|Ejercicio 5 Opcióon A|estequiometría (rendimiento)
2000|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opcion A|cantidad química
2000|química|cantidad_quimica|Reserva 1|Ejercicio 6 Opcion A|disoluciones
2000|química|cantidad_quimica|Reserva 2|Ejercicio 4 Opción A|cantidad química
2000|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|disoluciones
2000|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opción B|cantidad química
2000|química|cantidad_quimica|Reserva 3|Ejercicio 6 Opción B|estequiometría (riqueza)
2000|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción A|cantidad química
2000|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción A|estequiometría (riqueza)
2000|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción B|disoluciones
2000|química|cantidad_quimica|Junio|Ejercicio 2 Opcion A|cantidad química
2000|química|cantidad_quimica|Junio|Ejercicio 5 Opcióon A|estequiometría (rendimiento)
2000|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opcion A|cantidad química
2000|química|cantidad_quimica|Reserva 1|Ejercicio 6 Opcion A|disoluciones
2000|química|cantidad_quimica|Reserva 2|Ejercicio 4 Opción A|cantidad química
2000|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|disoluciones
2000|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opción B|cantidad química
2000|química|cantidad_quimica|Reserva 3|Ejercicio 6 Opción B|estequiometría (riqueza)
2000|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción A|cantidad química
2000|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción A|estequiometría (riqueza)
2000|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción B|disoluciones
2001|química|cantidad_quimica|Junio|Ejercicio 6 Opción A|estequiometría
2001|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opcióon A|disoluciones
2001|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2001|química|cantidad_quimica|Junio|Ejercicio 6 Opción A|estequiometría
2001|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opcióon A|disoluciones
2001|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2002|química|cantidad_quimica|Junio|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Junio|Ejercicio 6 Opción A|estequiometría
2002|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 1|Ejercicio 4 Opción B|disoluciones
2002|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 2|Ejercicio 6 Opcióon A|disoluciones
2002|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opción A|cantidad química
2002|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opción A|disoluciones
2002|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción A|estequiometría (riqueza)
2002|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción B|disoluciones
2002|química|cantidad_quimica|Junio|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Junio|Ejercicio 6 Opción A|estequiometría
2002|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 1|Ejercicio 4 Opción B|disoluciones
2002|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 2|Ejercicio 6 Opcióon A|disoluciones
2002|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opción A|cantidad química
2002|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2002|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opción A|disoluciones
2002|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción A|estequiometría (riqueza)
2002|química|cantidad_quimica|Septiembre|Ejercicio 5 Opción B|disoluciones
2003|química|cantidad_quimica|Junio|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Junio|Ejercicio 5 Opción A|disoluciones
2003|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción A|estequiometría (riqueza)
2003|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|disoluciones
2003|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opcion A|cantidad química
2003|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Septiembre|Ejercicio 6 Opción A|estequiometría (riqueza)
2003|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Junio|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Junio|Ejercicio 5 Opción A|disoluciones
2003|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción A|estequiometría (riqueza)
2003|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|disoluciones
2003|química|cantidad_quimica|Reserva 3|Ejercicio 4 Opcion A|cantidad química
2003|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2003|química|cantidad_quimica|Septiembre|Ejercicio 6 Opción A|estequiometría (riqueza)
2003|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2004|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opcion A|disoluciones
2004|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|estequiometría (riqueza)
2004|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2004|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Septiembre|Ejercicio 6 Opcióon A|estequiometría (riqueza)
2004|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2004|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opcion A|disoluciones
2004|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|estequiometría (riqueza)
2004|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2004|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2004|química|cantidad_quimica|Septiembre|Ejercicio 6 Opcióon A|estequiometría (riqueza)
2004|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2005|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 1|Ejercicio 4 Opción B|disoluciones
2005|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2005|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opcion A|disoluciones
2005|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opción B|estequiometría (riqueza)
2005|química|cantidad_quimica|Septiembre|Ejercicio 6 Opcióon A|estequiometría (reactivo limitante)
2005|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2005|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 1|Ejercicio 4 Opción B|disoluciones
2005|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2005|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2005|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opcion A|disoluciones
2005|química|cantidad_quimica|Reserva 4|Ejercicio 5 Opción B|estequiometría (riqueza)
2005|química|cantidad_quimica|Septiembre|Ejercicio 6 Opcióon A|estequiometría (reactivo limitante)
2005|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Junio|Ejercicio 5 Opción A|estequiometría (riqueza)
2006|química|cantidad_quimica|Junio|Ejercicio 5 Opción B|disoluciones
2006|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 1|Ejercicio 5 Opción B|disoluciones
2006|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 4 Opción A|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 6 Opcion A|estequiometría (riqueza)
2006|química|cantidad_quimica|Septiembre|Ejercicio 4 Opción A|cantidad química
2006|química|cantidad_quimica|Junio|Ejercicio 5 Opción A|estequiometría (riqueza)
2006|química|cantidad_quimica|Junio|Ejercicio 5 Opción B|disoluciones
2006|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 1|Ejercicio 5 Opción B|disoluciones
2006|química|cantidad_quimica|Reserva 2|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 4 Opción A|cantidad química
2006|química|cantidad_quimica|Reserva 4|Ejercicio 6 Opcion A|estequiometría (riqueza)
2006|química|cantidad_quimica|Septiembre|Ejercicio 4 Opción A|cantidad química
2007|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2007|química|cantidad_quimica|Junio|Ejercicio 5 Opción B|disoluciones
2007|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2007|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción A|estequiometría (reactivo limitante)
2007|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción B|disoluciones
2007|química|cantidad_quimica|Reserva 3|Ejercicio 2 Opción B|cantidad química
2007|química|cantidad_quimica|Reserva 3|Ejercicio 5 Opción B|disoluciones
2007|química|cantidad_quimica|Reserva 4|Ejercicio 6 Opción A|estequiometría (reactivo limitante)
2007|química|cantidad_quimica|Reserva 4|Ejercicio 2 Opción B|cantidad química
2007|química|cantidad_quimica|Septiembre|Ejercicio 2 Opción B|cantidad química
2007|química|cantidad_quimica|Junio|Ejercicio 4 Opción A|cantidad química
2007|química|cantidad_quimica|Junio|Ejercicio 5 Opción B|disoluciones
2007|química|cantidad_quimica|Reserva 1|Ejercicio 2 Opción B|cantidad química
2007|química|cantidad_quimica|Reserva 2|Ejercicio 5 Opción A|estequiometría (reactivo limitante)
