year|exam|exercise|topic|exercise_type
2000|Junio|Ejercicio 2 Opción B|conf_electronica|números cuánticos
2000|Reserva 1|Ejercicio 4 Opcion A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2000|Reserva 2|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2000|Reserva 3|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2000|Reserva 4|Ejercicio 2 Opción B|conf_electronica|ion estable
2000|Septiembre|Ejercicio 2 Opción B|conf_electronica|propiedades periódicas
2001|Junio|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2001|Reserva 1|Ejercicio 2 Opción A|conf_electronica|isoelectrónicos
2001|Reserva 2|Ejercicio 2 Opción B|conf_electronica|ion estable
2001|Reserva 3|Ejercicio 2 Opción B|conf_electronica|posición(periodo y grupo)
2001|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|números cuánticos
2001|Septiembre|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2002|Junio|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2002|Reserva 1|Ejercicio 2 Opción A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2002|Reserva 2|Ejercicio 3 Opción B|conf_electronica|propiedades periódicas
2002|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2002|Reserva 4|Ejercicio 2 Opción A|conf_electronica|ion estable
2002|Septiembre|Ejercicio 2 Opción B|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2003|Junio|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2003|Reserva 1|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2003|Reserva 2|Ejercicio 2 Opción B|conf_electronica|posición(periodo y grupo)
2003|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2003|Reserva 4|Ejercicio 3 Opción B|conf_electronica|ion estable
2003|Septiembre|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
2004|Junio|Ejercicio 2 Opcióon A|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2004|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|electrones desapareados
2004|Reserva 2|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2004|Reserva 3|Ejercicio 2 Opción A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2004|Reserva 4|Ejercicio 3 Opción B|conf_electronica|propiedades periódicas
2004|Septiembre|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2005|Junio|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
2005|Reserva 1|Ejercicio 3 Opción B|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2005|Reserva 2|Ejercicio 2 Opcióon A|conf_electronica|números cuánticos
2005|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|electrones desapareados
2005|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|energía de orbitales
2005|Septiembre|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
2006|Junio|Ejercicio 2 Opción B|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2006|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2006|Reserva 2|Ejercicio 3 Opción B|conf_electronica|propiedades periódicas
2006|Reserva 3|Ejercicio 2 Opción A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2006|Reserva 4|Ejercicio 2 Opción A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2006|Septiembre|Ejercicio 2 Opcion A|conf_electronica|electrones desapareados
2007|Junio|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2007|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|números cuánticos
2007|Reserva 2|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2007|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2007|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|composición atómica
2007|Septiembre|Ejercicio 3 Opción B|conf_electronica|posición(periodo y grupo)
2008|Junio|Ejercicio 2 Opción A|conf_electronica|isoelectrónicos
2008|Reserva 1|Ejercicio 2 Opcion B|conf_electronica|composición atómica
2008|Reserva 2|Ejercicio 2 Opción A|conf_electronica|verdadero o falso
2008|Reserva 3|Ejercicio 3 Opción B|conf_electronica|posición(periodo y grupo)
2008|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|verdadero o falso
2008|Septiembre|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2009|Junio|Ejercicio 2 Opción A|conf_electronica|energías de ionización de cationes
2009|Reserva 1|Ejercicio 2 Opción A|conf_electronica|ion estable
2009|Reserva 2|Ejercicio 3 Opción B|conf_electronica|composición atómica
2009|Reserva 3|Ejercicio 2 Opción B|conf_electronica|verdadero o falso
2009|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|isoelectrónicos
2009|Septiembre|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2010|Junio|Ejercicio 3 Opción B|conf_electronica|isoelectrónicos
2010|Reserva 1|Ejercicio 2 Opción B|conf_electronica|ion estable
2010|Reserva 2|Ejercicio 2 Opción A|conf_electronica|isoelectrónicos
2010|Reserva 3|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2010|Reserva 4|Ejercicio 2 Opcióon A|conf_electronica|ion estable
2010|Septiembre|Ejercicio 2 Opción A|conf_electronica|energías de ionización de cationes
2011|Junio|Ejercicio 2 Opción A|conf_electronica|energías de ionización de cationes
2011|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2011|Reserva 2|Ejercicio 3 Opción B|conf_electronica|electrones desapareados
2011|Reserva 3|Ejercicio 2 Opción B|conf_electronica|indicar qué configuraciones electrónicas son correctas o si pertenecen a un átomo en estado excitado o fundamental
2011|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2011|Septiembre|Ejercicio 2 Opcióon A|conf_electronica|ion estable
2012|Junio|Ejercicio 3 Opción B|conf_electronica|verdadero o falso
2012|Reserva 1|Ejercicio 2 Opción B|conf_electronica|posición(periodo y grupo)
2012|Reserva 2|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2012|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|composición atómica
2012|Reserva 4|Ejercicio 2 Opcióon A|conf_electronica|posición(periodo y grupo)
2012|Septiembre|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
2013|Junio|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2013|Reserva 1|Ejercicio 3 Opción B|conf_electronica|ion estable
2013|Reserva 2|Ejercicio 2 Opcion A|conf_electronica|ion estable
2013|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2013|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|electrones desapareados
2013|Septiembre|Ejercicio 2 Opción B|conf_electronica|posición(periodo y grupo)
2014|Junio|Ejercicio 2 Opcion A|conf_electronica|posición(periodo y grupo)
2014|Reserva 1|Ejercicio 2 Opcióon A|conf_electronica|verdadero o falso
2014|Reserva 2|Ejercicio 3 Opción B|conf_electronica|electrón diferenciador
2014|Reserva 3|Ejercicio 2 Opción B|conf_electronica|ion estable
2014|Reserva 4|Ejercicio 2 Opción A|conf_electronica|verdadero o falso
2014|Septiembre|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
2015|Junio|Ejercicio 3 Opción B|conf_electronica|electrones desapareados
2015|Reserva 1|Ejercicio 2 Opción B|conf_electronica|posición(periodo y grupo)
2015|Reserva 2|Ejercicio 2 Opción A|conf_electronica|verdadero o falso
2015|Reserva 3|Ejercicio 2 Opción A|conf_electronica|especies isoelectrónicas (Na+ y Ne)
2015|Reserva 4|Ejercicio 2 Opcion A|conf_electronica|ion estable
2015|Septiembre|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2016|Junio|Ejercicio 2 Opción B|conf_electronica|números cuánticos
2016|Reserva 1|Ejercicio 2 Opcion A|conf_electronica|verdadero o falso
2016|Reserva 2|Ejercicio 3 Opción B|conf_electronica|electrones desapareados
2016|Reserva 3|Ejercicio 2 Opcion A|conf_electronica|propiedades periódicas
2016|Septiembre|Ejercicio 2 Opcion A|conf_electronica|ion estable
2017|Junio|Ejercicio 2 Opción A|conf_electronica|propiedades periódicas
2017|Junio|Ejercicio 2 Opción B|conf_electronica|electrón diferenciador
2017|Reserva 1|Ejercicio 2 Opción A|conf_electronica|números cuánticos
2017|Reserva 2|Ejercicio 2 Opción A|conf_electronica|posición(periodo y grupo)
