year|subject|topic|exam|exercise|exercise_type
2000|química|enlace_quimico|Junio|Ejercicio 3 Opción A|estructuras de Lewis
2000|química|enlace_quimico|Junio|Ejercicio 5 Opción B|ciclo de Born-Haber
2000|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción B|hibridación
2000|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción B|tipo de enlace
2000|química|enlace_quimico|Reserva 3|Ejercicio 2 Opción B|estructuras de Lewis
2000|química|enlace_quimico|Septiembre|Ejercicio 2 Opcion A|ecuación de Born-Landé
2001|química|enlace_quimico|Junio|Ejercicio 2 Opción B|comparación pto. fusión / ebullición
2001|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|polaridad
2001|química|enlace_quimico|Reserva 2|Ejercicio 2 Opcion A|estructuras de Lewis
2001|química|enlace_quimico|Reserva 4|Ejercicio 2 Opción B|propiedades del tipo de enlace
2001|química|enlace_quimico|Septiembre|Ejercicio 2 Opción B|geometría
2002|química|enlace_quimico|Reserva 1|Ejercicio 5 Opción A|ciclo de Born-Haber
2002|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|estructuras de Lewis
2002|química|enlace_quimico|Reserva 2|Ejercicio 2 Opcion A|propiedades del tipo de enlace
2002|química|enlace_quimico|Reserva 3|Ejercicio 2 Opción B|estructuras de Lewis
2002|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|geometría
2002|química|enlace_quimico|Septiembre|Ejercicio 2 Opción A|solubilidad
2003|química|enlace_quimico|Junio|Ejercicio 3 Opción B|puentes de hidrógeno
2003|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|estructuras de Lewis
2003|química|enlace_quimico|Reserva 2|Ejercicio 2 Opcion A|verdadero o falso
2003|química|enlace_quimico|Reserva 3|Ejercicio 2 Opción B|par de electrones sin compartir
2003|química|enlace_quimico|Reserva 4|Ejercicio 2 Opción A|estructuras de Lewis
2004|química|enlace_quimico|Junio|Ejercicio 2 Opción B|geometría
2004|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|geometría
2004|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción B|propiedades del tipo de enlace
2004|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|estructuras de Lewis
2004|química|enlace_quimico|Reserva 4|Ejercicio 2 Opcion A|ciclo de Born-Haber
2005|química|enlace_quimico|Junio|Ejercicio 2 Opción B|polaridad
2005|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción A|ecuación de Born-Landé
2005|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|estructuras de Lewis
2005|química|enlace_quimico|Reserva 4|Ejercicio 2 Opción B|comparación pto. fusión / ebullición
2006|química|enlace_quimico|Junio|Ejercicio 2 Opción A|geometría
2006|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|ciclo de Born-Haber
2006|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción A|par de electrones sin compartir
2006|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|ecuación de Born-Landé
2006|química|enlace_quimico|Septiembre|Ejercicio 2 Opción B|geometría
2007|química|enlace_quimico|Junio|Ejercicio 2 Opción B|geometría
2007|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|geometría
2007|química|enlace_quimico|Reserva 2|Ejercicio 2 Opcion A|propiedades del tipo de enlace
2007|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|estructuras de Lewis
2007|química|enlace_quimico|Septiembre|Ejercicio 2 Opcion A|puentes de hidrógeno
2008|química|enlace_quimico|Junio|Ejercicio 3 Opción B|estructuras de Lewis
2008|química|enlace_quimico|Reserva 1|Ejercicio 2 Opcion A|geometría
2008|química|enlace_quimico|Reserva 3|Ejercicio 2 Opción A|tipo de enlace
2008|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|geometría
2008|química|enlace_quimico|Septiembre|Ejercicio 2 Opción B|verdadero o falso
2009|química|enlace_quimico|Junio|Ejercicio 2 Opción B|estructuras de Lewis
2009|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción A|estructuras de Lewis
2009|química|enlace_quimico|Reserva 3|Ejercicio 2 Opcion A|comparación pto. fusión / ebullición
2009|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|geometría
2009|química|enlace_quimico|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2010|química|enlace_quimico|Junio|Ejercicio 2 Opción A|ciclo de Born-Haber
2010|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción A|estructuras de Lewis
2010|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción B|propiedades del tipo de enlace
2010|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|geometría
2010|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|propiedades del tipo de enlace
2011|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción B|puentes de hidrógeno
2011|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción A|tipo de enlace
2011|química|enlace_quimico|Reserva 3|Ejercicio 2 Opción A|estructuras de Lewis
2011|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|estructuras de Lewis
2011|química|enlace_quimico|Septiembre|Ejercicio 3 Opción B|estructuras de Lewis
2012|química|enlace_quimico|Junio|Ejercicio 2 Opcion A|comparación pto. fusión / ebullición
2012|química|enlace_quimico|Reserva 1|Ejercicio 2 Opcion A|par de electrones sin compartir
2012|química|enlace_quimico|Reserva 3|Ejercicio 3 Opción B|par de electrones sin compartir
2012|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|estructuras de Lewis
2012|química|enlace_quimico|Septiembre|Ejercicio 2 Opción B|estructuras de Lewis
2013|química|enlace_quimico|Junio|Ejercicio 2 Opción B|propiedades del tipo de enlace
2013|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción A|par de electrones sin compartir
2013|química|enlace_quimico|Reserva 1|Ejercicio 6 Opción B|ciclo de Born-Haber
2013|química|enlace_quimico|Reserva 2|Ejercicio 3 Opción B|geometría
2013|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|ecuación de Born-Landé
2013|química|enlace_quimico|Septiembre|Ejercicio 2 Opcion A|polaridad
2014|química|enlace_quimico|Junio|Ejercicio 3 Opción B|geometría
2014|química|enlace_quimico|Reserva 2|Ejercicio 2 Opcióon A|verdadero o falso
2014|química|enlace_quimico|Reserva 3|Ejercicio 2 Opcióon A|verdadero o falso
2014|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|puentes de hidrógeno
2014|química|enlace_quimico|Septiembre|Ejercicio 2 Opción B|verdadero o falso
2015|química|enlace_quimico|Junio|Ejercicio 2 Opción A|ecuación de Born-Landé
2015|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción A|estructuras de Lewis
2015|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción B|tipo de enlace
2015|química|enlace_quimico|Reserva 4|Ejercicio 3 Opción B|propiedades del tipo de enlace
2015|química|enlace_quimico|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2016|química|enlace_quimico|Junio|Ejercicio 2 Opción A|comparación pto. fusión / ebullición
2016|química|enlace_quimico|Reserva 1|Ejercicio 3 Opción B|tipo de enlace
2016|química|enlace_quimico|Reserva 2|Ejercicio 2 Opción A|puentes de hidrógeno
2016|química|enlace_quimico|Septiembre|Ejercicio 3 Opción B|estructuras de Lewis
2017|química|enlace_quimico|Junio|Ejercicio 3 Opción B|estructuras de Lewis
2017|química|enlace_quimico|Reserva 1|Ejercicio 2 Opción B|polaridad
