year|subject|topic|exam|exercise|exercise_type
2000|química|equilibrio_quimico|Junio|Ejercicio 3 Opción B|principio de LeChatelier
2000|química|equilibrio_quimico|Reserva 1|Ejercicio 5 Opción A|presiones parciales
2000|química|equilibrio_quimico|Reserva 1|Ejercicio 3 Opción B|principio de LeChatelier
2000|química|cinetica|Reserva 1|Ejercicio 4 Opción B|NaN
2000|química|cinetica|Reserva 2|Ejercicio 3 Opción B|verdadero o falso
2000|química|equilibrio_quimico|Reserva 2|Ejercicio 6 Opción B|equilibrio heterogéneo (cálculos)
2000|química|equilibrio_quimico|Reserva 3|Ejercicio 6 Opción A|grado de disociación (dato)
2000|química|equilibrio_quimico|Reserva 4|Ejercicio 6 Opción A|presiones parciales
2000|química|equilibrio_quimico|Septiembre|Ejercicio 6 Opcion A|ecuación de 2do grado
2001|química|cinetica|Junio|Ejercicio 3 Opción B|NaN
2001|química|equilibrio_quimico|Junio|Ejercicio 4 Opción A|principio de LeChatelier
2001|química|equilibrio_quimico|Junio|Ejercicio 6 Opción B|cálculo de las constantes Kc y Kp
2001|química|equilibrio_quimico|Reserva 1|Ejercicio 3 Opción A|principio de LeChatelier
2001|química|equilibrio_quimico|Reserva 1|Ejercicio 5 Opción B|grado de disociación (pregunta)
2001|química|equilibrio_quimico|Reserva 2|Ejercicio 3 Opción A|verdadero o falso
2001|química|equilibrio_quimico|Reserva 2|Ejercicio 5 Opción B|cálculo de las constantes Kc y Kp
2001|química|equilibrio_quimico|Reserva 3|Ejercicio 6 Opcion A|grado de disociación (dato)
2001|química|cinetica|Reserva 3|Ejercicio 3 Opción B|NaN
2001|química|equilibrio_quimico|Reserva 4|Ejercicio 6 Opción A|grado de disociación (pregunta)
2001|química|equilibrio_quimico|Reserva 4|Ejercicio 4 Opción B|principio de LeChatelier
2001|química|equilibrio_quimico|Septiembre|Ejercicio 3 Opción A|verdadero o falso
2001|química|equilibrio_quimico|Septiembre|Ejercicio 6 Opción B|ecuación de 2do grado
2002|química|equilibrio_quimico|Junio|Ejercicio 3 Opcióon A|verdadero o falso
2002|química|equilibrio_quimico|Junio|Ejercicio 6 Opción B|grado de disociación (dato)
2002|química|equilibrio_quimico|Reserva 1|Ejercicio 3 Opcion A|principio de LeChatelier
2002|química|equilibrio_quimico|Reserva 1|Ejercicio 5 Opción B|ecuación de 2do grado
2002|química|equilibrio_quimico|Reserva 2|Ejercicio 3 Opción A|verdadero o falso
2002|química|equilibrio_quimico|Reserva 2|Ejercicio 5 Opción B|cálculo de las constantes Kc y Kp
2002|química|cinetica|Reserva 3|Ejercicio 3 Opción B|verdadero o falso
2002|química|equilibrio_quimico|Reserva 3|Ejercicio 6 Opción B|equilibrio heterogéneo (cálculos)
2002|química|equilibrio_quimico|Reserva 4|Ejercicio 6 Opcion A|grado de disociación (pregunta)
2002|química|equilibrio_quimico|Septiembre|Ejercicio 6 Opción A|presiones parciales
2003|química|equilibrio_quimico|Junio|Ejercicio 6 Opción A|grado de disociación (pregunta)
2003|química|equilibrio_quimico|Reserva 1|Ejercicio 3 Opcion A|NaN
2003|química|equilibrio_quimico|Reserva 1|Ejercicio 5 Opción B|presiones parciales
2003|química|equilibrio_quimico|Reserva 2|Ejercicio 6 Opcion A|cálculo de las constantes Kc y Kp
2003|química|cinetica|Reserva 3|Ejercicio 3 Opción B|NaN
2003|química|equilibrio_quimico|Reserva 3|Ejercicio 6 Opción B|grado de disociación (pregunta)
2003|química|equilibrio_quimico|Reserva 4|Ejercicio 3 Opcion A|principio de LeChatelier
2003|química|equilibrio_quimico|Reserva 4|Ejercicio 5 Opción B|grado de disociación (pregunta)
2003|química|equilibrio_quimico|Septiembre|Ejercicio 3 Opción A|principio de LeChatelier
2003|química|equilibrio_quimico|Septiembre|Ejercicio 6 Opción B|equilibrio heterogéneo (cálculos)
2004|química|cinetica|Junio|Ejercicio 3 Opción B|factores que afectan a la velocidad
2004|química|equilibrio_quimico|Junio|Ejercicio 6 Opción B|cálculo de las constantes Kc y Kp
2004|química|equilibrio_quimico|Reserva 1|Ejercicio 3 Opción A|verdadero o falso
2004|química|equilibrio_quimico|Reserva 1|Ejercicio 5 Opción B|cálculo de las constantes Kc y Kp
2004|química|equilibrio_quimico|Reserva 2|Ejercicio 6 Opción B|equilibrio heterogéneo (cálculos)
2004|química|equilibrio_quimico|Reserva 4|Ejercicio 3 Opcion A|principio de LeChatelier
2004|química|equilibrio_quimico|Reserva 4|Ejercicio 5 Opción B|cálculo de las constantes Kc y Kp
