year|subject|topic|exam|exercise|exercise_type
2000|química|formulacion|Junio|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Junio|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 1|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 1|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 2|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 2|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 3|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 3|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 4|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 4|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Septiembre|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Septiembre|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Junio|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Junio|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 1|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 1|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 2|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 2|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 3|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 3|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Reserva 4|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Reserva 4|Ejercicio 1 Opción B|inorgánica y orgánica
2000|química|formulacion|Septiembre|Ejercicio 1 Opción A|inorgánica y orgánica
2000|química|formulacion|Septiembre|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Junio|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Junio|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 1|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 1|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 2|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 2|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 3|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 3|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 4|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 4|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Septiembre|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Septiembre|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Junio|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Junio|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 1|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 1|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 2|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 2|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 3|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 3|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Reserva 4|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Reserva 4|Ejercicio 1 Opción B|inorgánica y orgánica
2001|química|formulacion|Septiembre|Ejercicio 1 Opción A|inorgánica y orgánica
2001|química|formulacion|Septiembre|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Junio|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Junio|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Reserva 1|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Reserva 1|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Reserva 2|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Reserva 2|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Reserva 3|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Reserva 3|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Reserva 4|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Reserva 4|Ejercicio 1 Opción B|inorgánica y orgánica
2002|química|formulacion|Septiembre|Ejercicio 1 Opción A|inorgánica y orgánica
2002|química|formulacion|Septiembre|Ejercicio 1 Opción B|inorgánica y orgánica
