year|subject|topic|exam|exercise|exercise_type
2000|química|reactividad_organica|Junio|Ejercicio 4 Opción B|reacciones orgánicas
2000|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción B|reacciones orgánicas
2000|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|reacciones orgánicas
2000|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción B|hidrocarburos
2000|química|reactividad_organica|Septiembre|Ejercicio 4 Opción B|hidrocarburos
2001|química|reactividad_organica|Junio|Ejercicio 4 Opción B|reacciones orgánicas
2001|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción A|hidrocarburos
2001|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción B|reacciones orgánicas
2001|química|reactividad_organica|Reserva 3|Ejercicio 2 Opción A|hidrocarburos
2001|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción B|reacciones orgánicas
2001|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|hidrocarburos
2001|química|reactividad_organica|Septiembre|Ejercicio 4 Opción A|hidrocarburos
2002|química|reactividad_organica|Junio|Ejercicio 4 Opción A|reacciones orgánicas
2002|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción A|reacciones orgánicas
2002|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción B|isomería
2002|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|hidrocarburos
2002|química|reactividad_organica|Septiembre|Ejercicio 4 Opción B|reacciones orgánicas
2003|química|reactividad_organica|Junio|Ejercicio 4 Opción A|isomería
2003|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción A|reacciones orgánicas
2003|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción B|isomería
2003|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción B|reacciones orgánicas
2003|química|reactividad_organica|Septiembre|Ejercicio 4 Opcion A|isomería
2004|química|reactividad_organica|Junio|Ejercicio 4 Opción B|isomería
2004|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción A|reacciones orgánicas
2004|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción A|hidrocarburos
2004|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|reacciones orgánicas
2004|química|reactividad_organica|Septiembre|Ejercicio 4 Opcion A|hidrocarburos
2005|química|reactividad_organica|Junio|Ejercicio 4 Opción B|isomería
2005|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción A|reacciones orgánicas
2005|química|reactividad_organica|Reserva 2|Ejercicio 3 Opción B|hidrocarburos
2005|química|reactividad_organica|Reserva 3|Ejercicio 4 Opcióon A|reacciones orgánicas
2005|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|reacciones orgánicas
2005|química|reactividad_organica|Septiembre|Ejercicio 4 Opción A|isomería
2006|química|reactividad_organica|Junio|Ejercicio 4 Opción B|reacciones orgánicas
2006|química|reactividad_organica|Reserva 1|Ejercicio 4 Opcion A|reacciones orgánicas
2006|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|isomería
2006|química|reactividad_organica|Septiembre|Ejercicio 4 Opción B|isomería
2007|química|reactividad_organica|Junio|Ejercicio 4 Opción B|hidrocarburos
2007|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción A|isomería
2007|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción B|reacciones orgánicas
2007|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|isomería
2007|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|reacciones orgánicas
2008|química|reactividad_organica|Junio|Ejercicio 4 Opción A|reacciones orgánicas
2008|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción B|isomería
2008|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción A|reacciones orgánicas
2008|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|isomería
2008|química|reactividad_organica|Septiembre|Ejercicio 4 Opción B|reacciones orgánicas
2009|química|reactividad_organica|Junio|Ejercicio 4 Opción B|isomería
2009|química|reactividad_organica|Reserva 1|Ejercicio 4 Opcion A|reacciones orgánicas
2009|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción B|isomería
2009|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|reacciones orgánicas
2009|química|reactividad_organica|Septiembre|Ejercicio 4 Opción A|reacciones orgánicas
2010|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción B|reacciones orgánicas
2010|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción B|reacciones orgánicas
2010|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|isomería
2010|química|reactividad_organica|Reserva 4|Ejercicio 4 Opcion A|isomería
2010|química|reactividad_organica|Septiembre|Ejercicio 4 Opción A|isomería
2011|química|reactividad_organica|Junio|Ejercicio 4 Opción A|isomería
2011|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción B|reacciones orgánicas
2011|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción B|isomería
2011|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|hidrocarburos
2011|química|reactividad_organica|Septiembre|Ejercicio 4 Opción A|hidrocarburos
2012|química|reactividad_organica|Reserva 1|Ejercicio 4 Opción B|isomería
2012|química|reactividad_organica|Reserva 2|Ejercicio 4 Opcion A|reacciones orgánicas
2012|química|reactividad_organica|Reserva 3|Ejercicio 4 Opcióon A|isomería
2012|química|reactividad_organica|Reserva 4|Ejercicio 4 Opción A|isomería
2012|química|reactividad_organica|Septiembre|Ejercicio 4 Opción B|isomería
2013|química|reactividad_organica|Junio|Ejercicio 4 Opción B|isomería
2013|química|reactividad_organica|Reserva 2|Ejercicio 4 Opción A|isomería
2013|química|reactividad_organica|Reserva 3|Ejercicio 4 Opción A|reacciones orgánicas
