year|topic|exam|exercise|exercise_type
2000|redox|Junio|Ejercicio 6 Opción A|ajuste reacción redox (reactivo limitante)
2000|redox|Reserva 1|Ejercicio 5 Opción B|ajuste reacción redox (reactivo limitante)
2000|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2000|redox|Reserva 3|Ejercicio 3 Opción A|pilas galvánicas
2000|redox|Reserva 4|Ejercicio 3 Opcion A|NaN
2000|redox|Reserva 4|Ejercicio 6 Opción B|ley de Faraday
2000|redox|Septiembre|Ejercicio 3 Opción A|pilas galvánicas
2000|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2001|redox|Junio|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2001|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2001|redox|Reserva 2|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2001|redox|Reserva 3|Ejercicio 3 Opción A|NaN
2001|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2001|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2001|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2001|redox|Septiembre|Ejercicio 6 Opcióon A|ley de Faraday
2001|redox|Septiembre|Ejercicio 3 Opción B|pilas galvánicas
2002|redox|Junio|Ejercicio 3 Opción B|NaN
2002|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2002|redox|Reserva 2|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2002|redox|Reserva 3|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2002|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2002|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2002|redox|Septiembre|Ejercicio 3 Opcion A|NaN
2002|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2003|redox|Junio|Ejercicio 3 Opción A|verdadero o falso
2003|redox|Junio|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2003|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2003|redox|Reserva 2|Ejercicio 3 Opcion A|pilas galvánicas
2003|redox|Reserva 2|Ejercicio 6 Opción B|ley de Faraday
2003|redox|Reserva 3|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2003|redox|Reserva 4|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2003|redox|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2004|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2004|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2004|redox|Reserva 2|Ejercicio 6 Opción A|ley de Faraday
2004|redox|Reserva 2|Ejercicio 3 Opción B|NaN
2004|redox|Reserva 3|Ejercicio 3 Opción A|pilas galvánicas
2004|redox|Reserva 3|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2004|redox|Reserva 4|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2004|redox|Septiembre|Ejercicio 3 Opción B|pilas galvánicas
2005|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2005|redox|Reserva 1|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2005|redox|Reserva 2|Ejercicio 6 Opción B|ley de Faraday
2005|redox|Reserva 3|Ejercicio 3 Opción A|pilas galvánicas
2005|redox|Reserva 3|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2005|redox|Reserva 4|Ejercicio 6 Opción A|ley de Faraday
2005|redox|Reserva 4|Ejercicio 3 Opción B|verdadero o falso
2005|redox|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2006|redox|Junio|Ejercicio 3 Opción A|verdadero o falso
2006|redox|Junio|Ejercicio 6 Opción B|ley de Faraday
2006|redox|Reserva 1|Ejercicio 3 Opcion A|verdadero o falso
2006|redox|Reserva 1|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2006|redox|Reserva 2|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2006|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2006|redox|Reserva 4|Ejercicio 3 Opción B|pilas galvánicas
2006|redox|Septiembre|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2007|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2007|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2007|redox|Reserva 2|Ejercicio 3 Opción A|NaN
2007|redox|Reserva 2|Ejercicio 6 Opción B|ley de Faraday
2007|redox|Reserva 3|Ejercicio 3 Opción A|verdadero o falso
2007|redox|Reserva 3|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2007|redox|Reserva 4|Ejercicio 3 Opción B|pilas galvánicas
2007|redox|Septiembre|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2008|redox|Junio|Ejercicio 3 Opción A|pilas galvánicas
2008|redox|Junio|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2008|redox|Reserva 1|Ejercicio 3 Opción A|NaN
2008|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2008|redox|Reserva 2|Ejercicio 3 Opción B|NaN
2008|redox|Reserva 3|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2008|redox|Reserva 4|Ejercicio 6 Opción B|ley de Faraday
2008|redox|Septiembre|Ejercicio 5 Opcion A|ajuste reacción redox (reactivo limitante)
2009|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2009|redox|Reserva 1|Ejercicio 3 Opción B|pilas galvánicas
2009|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2009|redox|Reserva 3|Ejercicio 3 Opcion A|pilas galvánicas
2009|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2009|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2009|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2009|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2010|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2010|redox|Reserva 1|Ejercicio 3 Opción A|pilas galvánicas
2010|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2010|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2010|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2010|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2010|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2010|redox|Septiembre|Ejercicio 3 Opción B|NaN
2011|redox|Junio|Ejercicio 3 Opción B|pilas galvánicas
2011|redox|Reserva 1|Ejercicio 5 Opción A|ajuste reacción redox (rendimiento)
2011|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2011|redox|Reserva 3|Ejercicio 3 Opción A|pilas galvánicas
2011|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2011|redox|Reserva 4|Ejercicio 6 Opción B|ley de Faraday
2011|redox|Septiembre|Ejercicio 3 Opción A|pilas galvánicas
2011|redox|Septiembre|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2012|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2012|redox|Reserva 1|Ejercicio 3 Opción A|NaN
2012|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2012|redox|Reserva 2|Ejercicio 3 Opción B|pilas galvánicas
2012|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2012|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2012|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2012|redox|Septiembre|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2013|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2013|redox|Reserva 1|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2013|redox|Reserva 2|Ejercicio 6 Opción B|ley de Faraday
2013|redox|Reserva 3|Ejercicio 3 Opción B|pilas galvánicas
2013|redox|Reserva 4|Ejercicio 3 Opcion A|pilas galvánicas
2013|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2013|redox|Septiembre|Ejercicio 3 Opción A|NaN
2013|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2014|redox|Junio|Ejercicio 6 Opción B|ley de Faraday
2014|redox|Reserva 1|Ejercicio 3 Opción B|pilas galvánicas
2014|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2014|redox|Reserva 3|Ejercicio 3 Opción A|pilas galvánicas
2014|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2014|redox|Reserva 4|Ejercicio 3 Opción A|pilas galvánicas
2014|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2014|redox|Septiembre|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2015|redox|Junio|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2015|redox|Reserva 1|Ejercicio 3 Opción A|pilas galvánicas
2015|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2015|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (riqueza)
2015|redox|Reserva 3|Ejercicio 3 Opción B|pilas galvánicas
2015|redox|Reserva 4|Ejercicio 6 Opción B|ley de Faraday
2015|redox|Septiembre|Ejercicio 3 Opción A|pilas galvánicas
2015|redox|Septiembre|Ejercicio 5 Opción B|ajuste reacción redox (reactivo limitante)
2016|redox|Junio|Ejercicio 3 Opción A|pilas galvánicas
2016|redox|Junio|Ejercicio 6 Opción B|ley de Faraday
2016|redox|Reserva 1|Ejercicio 3 Opción A|verdadero o falso
2016|redox|Reserva 1|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2016|redox|Reserva 2|Ejercicio 5 Opción A|ajuste reacción redox (reactivo limitante)
2016|redox|Reserva 3|Ejercicio 3 Opción B|pilas galvánicas
2016|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2017|redox|Junio|Ejercicio 3 Opción A|pilas galvánicas
2017|redox|Junio|Ejercicio 6 Opción B|ajuste reacción redox (rendimiento)
2017|redox|Reserva 1|Ejercicio 6 Opción A|ajuste reacción redox (reactivo limitante)
2017|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2017|redox|Reserva 2|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2017|redox|Reserva 3|Ejercicio 4 Opción A|pilas galvánicas
2017|redox|Reserva 3|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2017|redox|Reserva 4|Ejercicio 6 Opción A|ley de Faraday
2017|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2017|redox|Septiembre|Ejercicio 6 Opción A|ajuste reacción redox (reactivo limitante)
2017|redox|Septiembre|Ejercicio 6 Opción B|ley de Faraday
2018|redox|Junio|Ejercicio 3 Opción A|pilas galvánicas
2018|redox|Junio|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2018|redox|Reserva 1|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2018|redox|Reserva 2|Ejercicio 6 Opción A|ajuste reacción redox (reactivo limitante)
2018|redox|Reserva 2|Ejercicio 6 Opción B|ley de Faraday
2018|redox|Reserva 3|Ejercicio 6 Opción A|ajuste reacción redox (riqueza)
2018|redox|Reserva 3|Ejercicio 6 Opción B|ley de Faraday
2018|redox|Reserva 4|Ejercicio 4 Opcion A|pilas galvánicas
2018|redox|Reserva 4|Ejercicio 6 Opción B|ajuste reacción redox (riqueza)
2018|redox|Septiembre|Ejercicio 6 Opción A|ley de Faraday
2018|redox|Septiembre|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2019|redox|Junio|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2019|redox|Reserva 1|Ejercicio 6 Opción A|ajuste reacción redox (rendimiento)
2019|redox|Reserva 1|Ejercicio 6 Opción B|ley de Faraday
2019|redox|Reserva 2|Ejercicio 6 Opción A|ley de Faraday
2019|redox|Reserva 2|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
2019|redox|Reserva 3|Ejercicio 4 Opción A|pilas galvánicas
2019|redox|Reserva 3|Ejercicio 6 Opción B|ajuste reacción redox (reactivo limitante)
