year|subject|topic|exam|exercise|exercise_type
2000|química|termoquimica|Reserva 1|Ejercicio 4 Opción B|diagramas entálpicos
2000|química|termoquimica|Reserva 2|Ejercicio 6 Opción A|energía interna
2000|química|termoquimica|Reserva 3|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2000|química|termoquimica|Reserva 4|Ejercicio 5 Opcion A|cálculo de la entalpía (ley de Hess)
2000|química|termoquimica|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2000|química|termoquimica|Reserva 1|Ejercicio 4 Opción B|diagramas entálpicos
2000|química|termoquimica|Reserva 2|Ejercicio 6 Opción A|energía interna
2000|química|termoquimica|Reserva 3|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2000|química|termoquimica|Reserva 4|Ejercicio 5 Opcion A|cálculo de la entalpía (ley de Hess)
2000|química|termoquimica|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2001|química|termoquimica|Reserva 1|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 1|Ejercicio 2 Opción B|estudio de espontaneidad
2001|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|estudio de espontaneidad
2001|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 3|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (ley de Hess)
2001|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 1|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 1|Ejercicio 2 Opción B|estudio de espontaneidad
2001|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|estudio de espontaneidad
2001|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 3|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2001|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (ley de Hess)
2001|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2002|química|termoquimica|Junio|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2002|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|cálculo cualitativo de entropía
2002|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (ley de Hess)
2002|química|termoquimica|Reserva 3|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2002|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (energía de enlace)
2002|química|termoquimica|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2002|química|termoquimica|Junio|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2002|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|cálculo cualitativo de entropía
2002|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (ley de Hess)
2002|química|termoquimica|Reserva 3|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2002|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (energía de enlace)
2002|química|termoquimica|Septiembre|Ejercicio 3 Opción B|verdadero o falso
2003|química|termoquimica|Junio|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2003|química|termoquimica|Reserva 1|Ejercicio 5 Opcion A|reacción de combustión
2003|química|termoquimica|Reserva 2|Ejercicio 3 Opción B|cálculo cualitativo de entropía
2003|química|termoquimica|Reserva 3|Ejercicio 6 Opción A|cálculo de la entalpía (energía de enlace)
2003|química|termoquimica|Reserva 4|Ejercicio 4 Opción A|Qv y Qp
2003|química|termoquimica|Reserva 4|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2003|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2003|química|termoquimica|Junio|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2003|química|termoquimica|Reserva 1|Ejercicio 5 Opcion A|reacción de combustión
2003|química|termoquimica|Reserva 2|Ejercicio 3 Opción B|cálculo cualitativo de entropía
2003|química|termoquimica|Reserva 3|Ejercicio 6 Opción A|cálculo de la entalpía (energía de enlace)
2003|química|termoquimica|Reserva 4|Ejercicio 4 Opción A|Qv y Qp
2003|química|termoquimica|Reserva 4|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2003|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2004|química|termoquimica|Junio|Ejercicio 6 Opcióon A|cálculo de la entalpía (formación)
2004|química|termoquimica|Reserva 1|Ejercicio 5 Opcion A|cálculo de la entalpía (energía de enlace)
2004|química|termoquimica|Reserva 2|Ejercicio 3 Opcion A|estudio de espontaneidad
2004|química|termoquimica|Reserva 3|Ejercicio 5 Opcion A|reacción de combustión
2004|química|termoquimica|Reserva 4|Ejercicio 4 Opción A|cálculo cualitativo de entropía
2004|química|termoquimica|Reserva 4|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2004|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (energía de enlace)
2004|química|termoquimica|Junio|Ejercicio 6 Opcióon A|cálculo de la entalpía (formación)
2004|química|termoquimica|Reserva 1|Ejercicio 5 Opcion A|cálculo de la entalpía (energía de enlace)
2004|química|termoquimica|Reserva 2|Ejercicio 3 Opcion A|estudio de espontaneidad
2004|química|termoquimica|Reserva 3|Ejercicio 5 Opcion A|reacción de combustión
2004|química|termoquimica|Reserva 4|Ejercicio 4 Opción A|cálculo cualitativo de entropía
2004|química|termoquimica|Reserva 4|Ejercicio 6 Opción B|cálculo de la entalpía (formación)
2004|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (energía de enlace)
2005|química|termoquimica|Junio|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2005|química|termoquimica|Reserva 1|Ejercicio 4 Opcion A|estudio de espontaneidad
2005|química|termoquimica|Reserva 1|Ejercicio 6 Opción B|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 2|Ejercicio 5 Opción A|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 3|Ejercicio 5 Opcion A|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 4|Ejercicio 3 Opcion A|cuestión teórica
2005|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Junio|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2005|química|termoquimica|Reserva 1|Ejercicio 4 Opcion A|estudio de espontaneidad
2005|química|termoquimica|Reserva 1|Ejercicio 6 Opción B|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 2|Ejercicio 5 Opción A|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 3|Ejercicio 5 Opcion A|cálculo de la entalpía (ley de Hess)
2005|química|termoquimica|Reserva 4|Ejercicio 3 Opcion A|cuestión teórica
2005|química|termoquimica|Septiembre|Ejercicio 5 Opción B|cálculo de la entalpía (ley de Hess)
2006|química|termoquimica|Junio|Ejercicio 3 Opción B|verdadero o falso
2006|química|termoquimica|Reserva 1|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2006|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|estudio de espontaneidad
2006|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (energía de enlace)
2006|química|termoquimica|Reserva 3|Ejercicio 5 Opción A|cálculo de la entalpía (ley de Hess)
2006|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2006|química|termoquimica|Septiembre|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2006|química|termoquimica|Junio|Ejercicio 3 Opción B|verdadero o falso
2006|química|termoquimica|Reserva 1|Ejercicio 5 Opción A|cálculo de la entalpía (formación)
2006|química|termoquimica|Reserva 2|Ejercicio 4 Opción A|estudio de espontaneidad
2006|química|termoquimica|Reserva 2|Ejercicio 6 Opción B|cálculo de la entalpía (energía de enlace)
2006|química|termoquimica|Reserva 3|Ejercicio 5 Opción A|cálculo de la entalpía (ley de Hess)
2006|química|termoquimica|Reserva 4|Ejercicio 5 Opción B|cálculo de la entalpía (formación)
2006|química|termoquimica|Septiembre|Ejercicio 6 Opción A|cálculo de la entalpía (formación)
2007|química|termoquimica|Junio|Ejercicio 6 Opción A|cálculo de la entalpía (ley de Hess)
