subject,year,topic,exam,type
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Junio, Ejercicio B2",Principio de LeChatelier
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1","Kc, Kp"
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",Alfa
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio B2",Cinética
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1",Equilibrio heterogéneo
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1","Kc, Kp"
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1",Alfa
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio B6",Cinética
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio C1","Kc, Kp"
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1",Concentraciones
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1","Kc, Kp"
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Julio, Ejercicio B2",Principio de LeChatelier
QUIMICA,2024,EQUILIBRIO QUÍMICO,"Julio, Ejercicio C1",Alfa
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Junio, Ejercicio B2",Principio de LeChatelier
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",En función de alfa
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",interesante
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio B6",Cinética
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1",Equilibrio heterogéneo
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1",Cinética
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio C1",Alfa
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio C1","Kc, Kp"
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio B2",Cinética
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1",En función de alfa
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1","Kc, Kp"
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Julio, Ejercicio B2",Principio de LeChatelier
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Julio, Ejercicio C1",Alfa
QUIMICA,2021,EQUILIBRIO QUÍMICO,"Julio, Ejercicio C1","Kc, Kp"
QUIMICA,2025,EQUILIBRIO QUÍMICO,"Junio, Ejercicio 2B",Cinética
QUIMICA,2025,EQUILIBRIO QUÍMICO,"Junio, Ejercicio 3A",Equilibrio heterogéneo
QUIMICA,2025,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio 2A",Principio de LeChatelier
QUIMICA,2025,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio 2B",Cinética
QUIMICA,2025,EQUILIBRIO QUÍMICO,"Julio, Ejercicio 3A","Kc, Kp"
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",Concentraciones
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",Concentraciones
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 1 , Ejercicio B 6",Cinética
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1",Equilibrio heterogéneo
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio B6",Cinética
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1","Kc, Kp"
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1",Alfa
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio C1","Kc, Kp"
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio B2",Principio de LeChatelier
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1","Kc, Kp"
QUIMICA,2023,EQUILIBRIO QUÍMICO,"Julio, Ejercicio C1",Principio de LeChatelier
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Junio, Ejercicio B2",Cinética
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Junio, Ejercicio C1",Equilibrio heterogéneo
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1",Alfa
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 1, Ejercicio C1","Kc, Kp"
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio B2",Principio de LeChatelier
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1",interesante
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 2, Ejercicio C1","Kc, Kp"
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio B2",Principio de LeChatelier
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 3, Ejercicio C1","Kc, Kp"
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio B6",Cinética
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1",Equilibrio heterogéneo
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Reserva 4, Ejercicio C1",Concentraciones
QUIMICA,2022,EQUILIBRIO QUÍMICO,"Julio, Ejercicio C1",En función de alfa
