subject,year,topic,exam,exercise,statement
Física,2016,Física cuántica y nuclear,Junio,"Ejercicio 2, Opción B","a) Teoría de Einstein del efecto fotoeléctrico: concepto de fotón.
b) Un haz de luz provoca efecto fotoeléctrico en un determinado metal. Explique cómo se
modifica el número de fotoelectrones y su energía cinética máxima si: i) aumenta la intensidad
del haz luminoso; ii) aumenta la frecuencia de la luz incidente; iii) disminuye la frecuencia por
debajo de la frecuencia umbral del metal.
FISICA. 2016. JUNIO. EJERCICIO 2. OPCIÓN B"
Física,2016,Física cuántica y nuclear,Junio,"Ejercicio 4, Opción A","El * Pb emite dos partículas beta y se transforma en polonio y, posteriormente, por emisión
de una partícula alfa se obtiene plomo.
a) Escriba las reacciones nucleares descritas.
b) El periodo de semidesintegración del ?% Pb es de 22,3 años. Si teníamos inicialmente 3 moles
de átomos de ese elemento y han transcurrido 100 años, ¿cuántos núcleos radiactivos quedan
sin desintegrar?
N, =6'02-10* mol *
FISICA. 2016. JUNIO. EJERCICIO 4. OPCIÓN A"
Física,2016,Física cuántica y nuclear,Reserva 2,"Ejercicio 4, Opción A","a) Calcule la energía liberada en el proceso por cada núcleo de litio que reacciona.
b) El litio presenta dos isótopos estables, Í Li y 7 Li. Razone cuál de los dos es más estable.
lu=1'67-10 -7 kg; c=3-10"" m-s-';mC Li) =7""'016005 u ;m(5 Li) = 6'015123 u
m( He) = 4'002603 u ; m(i H) =1'007825 u ; m(4 n) =1'008665 u
FISICA. 2016. RESERVA 2. EJERCICIO 4. OPCIÓN A"
Física,2016,Física cuántica y nuclear,Reserva 3,"Ejercicio 2, Opción A","a) ¿Qué se entiende por dualidad onda-corpúsculo?
b) Un electrón y un neutrón se desplazan con la misma energía cinética. ¿Cuál de ellos tendrá
un menor valor de longitud de onda asociada? Razone la respuesta.
FISICA. 2016. RESERVA 3. EJERCICIO 2. OPCIÓN A"
Física,2016,Física cuántica y nuclear,Reserva 4,"Ejercicio 2, Opción A","a) Escriba la ley de desintegración radiactiva y explique el significado físico de las variables y
parámetros que aparecen en ella.
b) Discuta la veracidad o falsedad de la siguiente afirmación: “cuanto mayor es el período de
semidesintegración de un material, más rápido se desintegra”.
FISICA. 2016. RESERVA 4. EJERCICIO 2. OPCIÓN A"
Física,2016,Física cuántica y nuclear,Reserva 4,"Ejercicio 4, Opción B","El trabajo de extracción del cátodo metálico en una célula fotoeléctrica es 1,32 eV. Sobre él
incide radiación de longitud de onda 1= 300 nm.
a) Defina y calcule la frecuencia umbral para esta célula fotoeléctrica. Determine la velocidad
máxima con la que son emitidos los electrones.
b) ¿Habrá efecto fotoeléctrico si se duplica la longitud de onda incidente? Razone la respuesta.
h=6'6-10-* J-s ; c=3-10% m-s' ; e=1'6-10"" C ; m, =9'1-10-* kg
FISICA. 2016. RESERVA 4. EJERCICIO 4. OPCIÓN B"
Física,2016,Física cuántica y nuclear,Septiembre,"Ejercicio 2, Opción A","a) Explique los conceptos de energía de enlace nuclear y de defecto de masa.
b) Describa las reacciones de fusión y fisión nucleares y haga una justificación cualitativa a
partir de la curva de estabilidad nuclear.
FISICA. 2016. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
Física,2017,Física cuántica y nuclear,Junio,"Ejercicio 4, Opción A","a) Describa brevemente las interacciones fundamentales de la naturaleza. Compare su alcance
e intensidad.
b) El periodo de semidesintegración de un núclido radiactivo de masa atómica 109 u, que emite
partículas beta, es de 462,6 días. Una muestra cuya masa inicial era de 100 g, tiene en la
actualidad 20 g del núclido original. Calcule la constante de desintegración y la actividad actual
de la muestra.
1u=1'67-10-7 kg
FISICA. 2017. JUNIO. EJERCICIO 4. OPCIÓN A"
Física,2017,Física cuántica y nuclear,Junio,"Ejercicio 4, Opción B","a) Enuncie el principio de dualidad onda-corpúsculo. Si un electrón y un neutrón se mueven
con la misma velocidad, ¿cuál de los dos tiene asociada una longitud de onda menor?
b) Una lámina metálica comienza a emitir electrones al incidir sobre ella radiación de longitud
de onda 2'5-10-7 m. Calcule la velocidad máxima de los fotoelectrones emitidos si la
radiación que incide sobre la lámina tiene una longitud de onda de 5-10-* m.
h=6'63-10-* J.s ; c=3-10% m-s ' ; m, =9'1-10 * kg.
FISICA. 2017. JUNIO. EJERCICIO 4. OPCIÓN B"
Física,2017,Física cuántica y nuclear,Reserva 1,"Ejercicio 4, Opción A","a) Explique en qué consisten las reacciones de fusión y fisión nucleares y comente el origen de
la energía que producen.
b) En la bomba de hidrógeno se produce una reacción nuclear en la que se forma helio (3He)
a partir de deuterio (Í H) y de tritio (ÍH) Escriba la reacción nuclear y calcule la energía
liberada en la formación de un núcleo de helio.
lu=1'67-10- kg; c=3-10* m-s-';m( H) =2'0141 u ¿mG H) =3'0170 u
m( He) = 4'0026 u ; m(i n) =1'0086 u
FISICA. 2017. RESERVA 1. EJERCICIO 4. OPCIÓN A"
