subject,year,topic,exam,exercise,statement
fisica,2016,Campo eléctrico y magnético,Junio,Ejercicio 1 Opción A,"a) Campo eléctrico creado por una carga puntual. Explique sus características y por qué es un
campo conservativo.
b) Una partícula cargada penetra en un campo eléctrico con velocidad paralela al campo y en
sentido contrario al mismo. Describa cómo influye el signo de la carga eléctrica en su
trayectoria.
FISICA. 2016. JUNIO. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Junio,Ejercicio 3 Opción B,"Una espira circular de 2,5 cm de radio, que descansa en el plano XY, está situada en una región
en la que existe un campo magnético B=2'5t? kK T donde t es el tiempo expresado en
segundos.
a) Determine el valor del flujo magnético en función del tiempo y realice una representación
gráfica de dicho flujo magnético frente al tiempo entre 0 y 10 s.
b) Determine el valor de la f.e.m. inducida y razone el sentido de la corriente inducida en la
espira.
FISICA. 2016. JUNIO. EJERCICIO 3. OPCIÓN B"
fisica,2016,Campo eléctrico y magnético,Reserva 2,Ejercicio 1 Opción B,"a) Fuerza magnética sobre una carga en movimiento.
b) Dos partículas cargadas se mueven con la misma velocidad y, al aplicarles un campo
magnético perpendicular a dicha velocidad, se desvían en sentidos contrarios y describen
trayectorias circulares de distintos radios. ¿Qué puede decirse de las características de esas
partículas? Si en vez de aplicarles un campo magnético se le aplica un campo eléctrico paralelo
a su trayectoria, indique razonadamente, cómo se mueven las partículas
FISICA. 2016. RESERVA 2. EJERCICIO 1. OPCIÓN B"
fisica,2016,Campo eléctrico y magnético,Reserva 2,Ejercicio 3 Opción A,"Un péndulo consta de una esfera de 20 g, carga eléctrica desconocida y dimensiones
despreciables, que cuelga de un hilo de 1 m de longitud. Para determinar el valor de su carga se
coloca en un campo eléctrico uniforme y horizontal de E=5'7-10* N-C-' y se observa que el
hilo del péndulo se coloca formando 45 * con la vertical.
a) Dibuje en un esquema el campo eléctrico y todas las fuerzas que actúan sobre la esfera y
explique, cualitativamente, cómo ha cambiado la energía del péndulo al aplicar el campo
eléctrico.
b) Calcule el valor de la carga de la esfera y de las fuerzas que actúan sobre ella.
2
2=9'8 ms-
FISICA. 2016. RESERVA 2. EJERCICIO 3. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Reserva 3,Ejercicio 1 Opción A,"a) Enuncie la ley de inducción electromagnética y explique las características del fenómeno.
Comente la veracidad o falsedad de la siguiente afirmación: un transformador eléctrico no
realiza su función en corriente continua.
b) Explique, con la ayuda de un esquema, cuál es el sentido de la corriente inducida en una
espira cuando se le acerca la cara sur de un imán ¿Y si en lugar de acercar el imán se alejara?
FISICA. 2016. RESERVA 3. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Reserva 3,Ejercicio 3 Opción B,"Un haz de electrones con energía cinética de 10* eV, se mueve en un campo magnético
perpendicular a su velocidad, describiendo una trayectoria circular de 25 cm de radio.
a) Con ayuda de un esquema, indique la trayectoria del haz de electrones y la dirección y
sentido de la fuerza, la velocidad y el campo magnético. Calcule la intensidad del campo
magnético.
b) Para ese mismo campo magnético explique, cualitativamente, cómo variarían la velocidad, la
trayectoria de las partículas y su radio si, en lugar de electrones, se tratara de un haz de iones
de Ca”*.
e=1'6-10-"" C;¿m, =9'1-10 -* kg
FISICA. 2016. RESERVA 3. EJERCICIO 3. OPCIÓN B"
fisica,2016,Campo eléctrico y magnético,Reserva 4,Ejercicio 1 Opción A,"a) Enuncie la ley de Lenz-Faraday.
b) Una espira cuadrada gira en torno a un eje, que coincide con uno de sus lados, bajo la acción
de un campo magnético uniforme perpendicular al eje de giro. Explique cómo varían los
valores del flujo magnético máximo y de la fuerza electromotriz inducida máxima al duplicar
la frecuencia de giro de la espira.
FISICA. 2016. RESERVA 4. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Reserva 4,Ejercicio 3 Opción A,"Una partícula alfa, con una energía cinética de 2 MeV, se mueve en una región en la que existe
un campo magnético uniforme de 5 T, perpendicular a su velocidad.
a) Dibuje en un esquema los vectores velocidad de la partícula, campo magnético y fuerza
magnética sobre dicha partícula y calcule el valor de la velocidad y de la fuerza magnética.
b) Razone que la trayectoria descrita es circular y determine su radio y el periodo de
movimiento.
e=1'6-10-"" C;m
=6'7-10-7 kg
FISICA. 2016. RESERVA 4. EJERCICIO 3. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Septiembre,Ejercicio 1 Opción A,"a) Analogías y diferencias entre campo eléctrico y campo magnético.
b) Si una partícula cargada penetra en un campo eléctrico con una cierta velocidad, ¿actúa
siempre una fuerza sobre ella? ¿Y si se tratara de un campo magnético?
FISICA. 2016. SEPTIEMBRE. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo eléctrico y magnético,Septiembre,Ejercicio 3 Opción B,"Dos cargas puntuales iguales, de — 3 pC cada una, están situadas en los puntos A (2,5) m y
B (8,2) m.
a) Represente en un esquema las fuerzas que se ejercen entre las cargas y calcule la intensidad
de campo eléctrico en el punto P (2,0) m.
b) Determine el trabajo necesario para trasladar una carga de 1 uC desde el punto P (2,0) m
hasta el punto O (0,0). Comente el resultado obtenido.
K=9-10? Nm*C>
FISICA. 2016. SEPTIEMBRE. EJERCICIO 3. OPCIÓN B"
