subject,year,topic,exam,exercise,statement
fisica,2016,Campo gravitatorio,Junio,Ejercicio 1 Opción B,"a) Defina velocidad de escape de un planeta y deduzca su expresión.
b) Se coloca un satélite en órbita circular a una altura h sobre la Tierra. Deduzca las expresiones
de su energía cinética mientras orbita y calcule la variación de energía potencial gravitatoria que
ha sufrido respecto de la que tenía en la superficie terrestre.
FISICA. 2016. JUNIO. EJERCICIO 1. OPCIÓN B"
fisica,2016,Campo gravitatorio,Junio,Ejercicio 3 Opción A,"Dos partículas de masas m, =3kg y m,=5kg se encuentran situadas en los puntos
P =(-2,1) m y P, = (3,0) m, respectivamente.
a) Represente el campo gravitatorio resultante en el punto O = (0,0) y calcule su valor.
b) Calcule el trabajo realizado para desplazar otra partícula de 2 kg desde el punto O = (0,0) mal
punto P=(3,1) m. Justifique si es necesario especificar la trayectoria seguida en dicho
desplazamiento.
G=6'67-10-"" Nm*kg”
FISICA. 2016. JUNIO. EJERCICIO 3. OPCIÓN A"
fisica,2016,Campo gravitatorio,Reserva 2,Ejercicio 1 Opción A,"a) Enuncie las leyes de Kepler.
b) Dos satélites de igual masa, m, describen órbitas circulares alrededor de un planeta de masa M.
Si el radio de una de las órbitas es el doble que el de la otra, razone la relación que existe entre los
periodos de los dos satélites ¿Y entre sus velocidades?
FISICA. 2016. RESERVA 2. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo gravitatorio,Reserva 2,Ejercicio 3 Opción B,"La masa de la Tierra es aproximadamente 81 veces la masa de la Luna y la distancia entre sus
centros es de 3'84-105 km.
a) Deduzca la expresión de la velocidad orbital de un satélite en torno a un planeta y calcule el
período de revolución de la Luna alrededor de la Tierra.
b) Calcule la energía potencial de un satélite de 500 kg situado en el punto medio del segmento
que une los centros de la Tierra y la Luna.
G=6'67-10 ""Nm*kg ? ;¡M, =6-10” kg
FISICA. 2016. RESERVA 2. EJERCICIO 3. OPCIÓN B"
fisica,2016,Campo gravitatorio,Reserva 3,Ejercicio 1 Opción B,"a) Explique las características del campo y del potencial gravitatorios creados por una masa
puntual.
b) Una partícula de masa m, situada en un punto A se mueve en línea recta hacia otro punto B, en
una región en la que existe un campo gravitatorio creado por una masa M. Si el valor del
potencial gravitatorio en el punto B es menor que en el punto A, razone si la partícula se acerca o
se aleja de M. .
FISICA. 2016. RESERVA 3. EJERCICIO 1. OPCIÓN B"
fisica,2016,Campo gravitatorio,Reserva 3,Ejercicio 3 Opción A,"El satélite español PAZ de observación de la Tierra, de 1400 kg, se lanza con el propósito de
situarlo en una órbita circular geoestacionaria.
a) Explique qué es un satélite geoestacionario y calcule el valor de la altura respecto de la
superficie terrestre a la que se encuentra dicho satélite.
b) Determine las energías cinética y potencial del satélite en órbita.
G=6'67-10 ""Nm?kg ? ;M,.=6-10 kKg ; R, =6370 km
FISICA. 2016. RESERVA 3. EJERCICIO 3. OPCIÓN A"
fisica,2016,Campo gravitatorio,Reserva 4,Ejercicio 1 Opción A,"a) Enuncie la ley de gravitación universal y comente el significado físico de las magnitudes que
intervienen en ella.
b) Una partícula se mueve en un campo gravitatorio uniforme. ¿Aumenta o disminuye su
energía potencial gravitatoria al moverse en la dirección y sentido de la fuerza ejercida por el
campo? ¿Y si se moviera en una dirección perpendicular a dicha fuerza? Razone las
respuestas.
FISICA. 2016. RESERVA 4. EJERCICIO 1. OPCIÓN A"
fisica,2016,Campo gravitatorio,Reserva 4,Ejercicio 3 Opción B,"Un bloque de 5 kg desliza por una superficie horizontal mientras se le aplica una fuerza de 30 N
en una dirección que forma 60 con la horizontal. El coeficiente de rozamiento entre la superficie y
el cuerpo es 0,2.
a) Dibuje en un esquema las fuerzas que actúan sobre el bloque y calcule el valor de dichas
fuerzas.
b) Calcule la variación de energía cinética del bloque en un desplazamiento de 0,5 m.
2
2=9""'8m-5""
FISICA. 2016. RESERVA 4. EJERCICIO 3. OPCIÓN B"
fisica,2016,Campo gravitatorio,Septiembre,Ejercicio 1 Opción B,"a) Energía potencial asociada a una fuerza conservativa
b) Explique por qué en lugar de energía potencial en un punto debemos hablar de diferencia de
energía potencial entre dos puntos.
FISICA. 2016. SEPTIEMBRE. EJERCICIO 1. OPCIÓN B"
fisica,2016,Campo gravitatorio,Septiembre,Ejercicio 3 Opción A,"Un satélite artificial de 400 kg describe una órbita circular a una altura h sobre la superficie
terrestre. El valor de la gravedad a dicha altura, g, es la tercera parte de su valor en la
superficie de la Tierra, g,.
a) Explique si hay que realizar trabajo para mantener el satélite en esa órbita y calcule el valor
de h.
b) Determine el periodo de la órbita y la energía mecánica del satélite.
2,=9'8 m-s 7 ; R, =6370 km
FISICA. 2016. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
fisica,2017,Campo gravitatorio,Junio,Ejercicio 1 Opción A,"a) Dos partículas de masas m y 2m, se encuentran situadas en dos puntos del espacio separadas
una distancia d. ¿Es nulo el campo gravitatorio en algún punto cercano a las dos masas? ¿Y el
potencial gravitatorio?. Justifique las respuestas.
b) Dos masas de 10 kg se encuentran situadas, respectivamente, en los puntos (0,0) m y (0,4) m.
Represente en un esquema el campo gravitatorio que crean en el punto (2,2) m y calcule su
valor.
G=6'67-10-"" Nm*kg”
FISICA. 2017. JUNIO. EJERCICIO 1. OPCIÓN A"
fisica,2017,Campo gravitatorio,Junio,Ejercicio 1 Opción B,"a) Un bloque de acero está situado sobre la superficie terrestre. Indique justificadamente cómo
se modificaría el valor de su peso si la masa de la Tierra se redujese a la mitad y se duplicase su
radio.
b) El planeta Mercurio tiene un radio de 2440 km y la aceleración de la gravedad en su
superficie es 3,7 ms””
. Calcule la altura máxima que alcanza un objeto que se lanza
verticalmente desde la superficie del planeta con una velocidad de 0,5 ms”.
G=6'67-10"" Nm*kg”
FISICA. 2017. JUNIO. EJERCICIO 1. OPCIÓN B"
fisica,2017,Campo gravitatorio,Reserva 1,Ejercicio 1 Opción A,"a) Dibuje en un esquema las líneas del campo gravitatorio creado por una masa puntual M.
Otra masa puntual m se traslada desde un punto A hasta otro B, más alejado de M. Razone si
aumenta o disminuye su energía potencial.
b) Dos esferas de 100 kg se encuentran, respectivamente, en los puntos (0,—-3) m y (0,3) m.
Determine el campo gravitatorio creado por ambas en el punto (4,0) m.
G=6'67-10"" Nm*kg”
FISICA. 2017. RESERVA 1. EJERCICIO 1. OPCIÓN A"
fisica,2017,Campo gravitatorio,Reserva 1,Ejercicio 1 Opción B,"a) Indique razonadamente la relación que existe entre las energías cinética y potencial
gravitatoria de un satélite que gira en una órbita circular en torno a un planeta.
b) La masa del planeta Júpiter es, aproximadamente, 300 veces la de la Tierra y su diámetro 10
veces mayor que el terrestre. Calcule razonadamente la velocidad de escape de un cuerpo desde
la superficie de Júpiter.
R, =6'37-10'm; g=9'8m-:s""?
FISICA. 2017. RESERVA 1. EJERCICIO 1. OPCIÓN B"
