subject,year,topic,exam,exercise,statement
fisica,2021,Movimiento Ondulatorio,Junio,Ejercicio C1,"a) Un rayo de luz monocromática pasa de un medio de índice de refracción n, a otro medio con
índice de refracción n,, siendo n, <n,. Razone y justifique la veracidad o falsedad de las
siguientes frases: i) La velocidad de dicho rayo aumenta al pasar del primer medio al segundo.
ii) La longitud de onda del rayo es mayor en el segundo medio.
b) Sea un recipiente que contiene agua que llega hasta una altura de 0%25 m, y sobre la que se
ha colocado una capa de aceite. Procedente del aire, incide sobre la capa de aceite un rayo de
luz que forma 50* con la normal a la superficie de separación aire-aceite. i) Haga un esquema
de la trayectoria que sigue el rayo en los diferentes medios (aire, aceite, agua), en el que se
incluyan los valores de los ángulos que forman con la normal los rayos refractados en el aceite
y en el agua. ii) Calcule la velocidad de la luz en el agua.
=1'47; n =1'33
8 —1. —1.
c=3-10 m-s"" ¿Ay =15 Auccito agua
FISICA. 2021. JUNIO. EJERCICIO C1"
fisica,2021,Movimiento Ondulatorio,Reserva 1,Ejercicio C2,"a) Razone y justifique la veracidad o falsedad de las siguientes frases: i) Vista desde el aire, la
profundidad real de un recipiente lleno de agua es menor que su profundidad aparente.
ii) Cuando un haz de luz pasa de una región donde hay agua a otra región donde hay aceite,
dicho haz viajará con mayor velocidad en la región del aceite.
>D,
agua
D aceite > Maire
b) Un haz de luz naranja que viaja por el aire incide sobre una lámina (de caras plano-
paralelas) de un determinado material transparente de 0%6 m de espesor. Los haces reflejado y
refractado forman ángulos de 45* y 35, respectivamente, con la normal a la superficie de la
lámina. i) Realice un esquema con la trayectoria de los rayos y determine el valor de la
velocidad de propagación de la luz dentro de la lámina. ii) Calcule la longitud de onda de la luz
naranja en la lámina.
Arnaranjacaire) = 6'15:1077 m ; €=3-10""m-s""';n
FISICA. 2021. RESERVA 1. EJERCICIO C2"
fisica,2021,Movimiento Ondulatorio,Reserva 2,Ejercicio C1,"a) i) ¿Qué información ofrece la ecuación de una onda armónica si fijamos una posición
concreta?. Realice una representación gráfica. ii) ¿Y si fijamos una posición y un tiempo
concretos simultáneamente?.
b) La siguiente ecuación corresponde a una onda armónica que se desplaza por un medio
5
elástico: y(x,t)=0'1sen [5nt — E1tx + %:| (S.L).
Determine: i) Su periodo, su longitud de onda y su velocidad de propagación. ii) La velocidad
de oscilación del punto x =2 m en el instante t=1s.
FISICA. 2021. RESERVA 2. EJERCICIO C1"
fisica,2021,Movimiento Ondulatorio,Reserva 3,Ejercicio C2,"a) Una onda armónica de amplitud A y frecuencia f se propaga por una cuerda con una
velocidad v. Determine los cambios que se producirían en la longitud de onda y la velocidad
máxima de oscilación de un punto del medio si, manteniendo constantes el resto de parámetros:
i) Se reduce a la mitad la frecuencia. ii) Se aumenta su amplitud al doble.
b) Una onda, cuya amplitud es de 0%05 m y su número de onda 10x rad-.m "", se propaga por
una cuerda en el sentido positivo del eje X con una velocidad de 2 m-s”'. i) Determine su
ecuación teniendo en cuenta que en el instante inicial el punto x=0 m se encuentra en la
posición más alta de su oscilación. ii) Razone si los puntos x, =0'6 m y x, =0'9 m están en
fase o en oposición de fase.
FISICA. 2021. RESERVA 3. EJERCICIO C2"
fisica,2021,Movimiento Ondulatorio,Reserva 4,Ejercicio C1,"a) i) Explique brevemente qué es una onda electromagnética. ii) Sitúe, en orden creciente de
frecuencias, las siguientes regiones del espectro electromagnético: ultravioleta, infrarrojo,
microondas y luz visible. iii) Justifique razonadamente si dos rayos de diferentes colores del
espectro visible (por ejemplo, violeta y verde), pueden tener la misma frecuencia.
b) Un rayo de luz monocromático de frecuencia 5-10'* Hz, que se propaga por un medio de
índice de refracción n, =1'7, incide sobre otro medio de índice de refracción n,=1'3
formando un ángulo de 25* con la normal a la superficie de separación entre ambos medios.
i) Haga un esquema y calcule el ángulo de refracción. ii) Determine la longitud de onda del
rayo en el segundo medio. iii) ¿Cuál es el ángulo de incidencia critico a partir del cual este rayo
se reflejaría completamente?. Razone sus respuestas ayudándose de un esquema.
e=3:10* m:5 ,
FISICA. 2021. RESERVA 4. EJERCICIO C1"
fisica,2021,Movimiento Ondulatorio,Reserva 4,Ejercicio C2,"a) Una onda armónica que viaja por un medio pasa a un segundo medio en el que la velocidad
de propagación es inferior. Suponiendo que la onda pasa completamente al segundo medio, sin
reflexión ni absorción: i) Razone cómo se modifican la frecuencia y la longitud de onda al
cambiar de medio. ii) Razone si se verán afectadas la amplitud y la velocidad máxima de
vibración.
b) Por una cuerda tensa se propaga en el sentido positivo del eje X una onda armónica
transversal de 0005 m de amplitud, 2 Hz de frecuencia y con una velocidad de propagación
0'5 m-s-'.i) Determine la ecuación de la onda, sabiendo que para t =0 s el punto x=0 m se
encuentra en la posición más alta de su oscilación. ii) Calcule la expresión de la velocidad de
oscilación de un punto del medio y su valor máximo.
FISICA. 2021. RESERVA 4. EJERCICIO C2"
fisica,2021,Movimiento Ondulatorio,Julio,Ejercicio C1,"a) i) Justifique que en una onda estacionaria la amplitud varía en cada punto. ii) Realice una
representación gráfica de una onda estacionaria en función del espacio y explique qué se
entiende por un nodo en este tipo de ondas.
b) Una onda estacionaria queda descrita mediante la ecuación:
y (x,t) = 0'Ssen(g x)cos(407t) (S.I).
Determine razonadamente: i) Amplitud, longitud de onda y velocidad de propagación de las
ondas armónicas cuya superposición da lugar a esta onda estacionaria. ii) Posición de los
vientres y amplitud de los mismos.
FISICA. 2021. JULIO. EJERCICIO C1"
fisica,2021,Movimiento Ondulatorio,Julio,Ejercicio C2,"a) Razone y justifique la veracidad o falsedad de las siguientes frases: i) Cuando la luz pasa de
un medio a otro experimenta un aumento de su velocidad si el segundo medio tiene un índice de
refracción mayor que el primero. ii) La reflexión total de la luz en la superficie de separación
de dos medios puede producirse cuando el índice de refracción del segundo medio es mayor que
el del primero.
b) Un rayo de luz con componentes azul y roja de longitudes de onda en el aire de 4'5-10”m
y 6'9-10-7m, respectivamente, incide desde el aire sobre una placa de un determinado
material con un ángulo de 40 respecto a la normal a la superficie de la placa. i) Mediante un
esquema, y de manera razonada, indique la trayectoria de los rayos azul y rojo, tanto en el aire
como en el material. ii) Deduzca cuál de las dos componentes (azul o roja) se propaga más
rápidamente en el interior de la lámina. iii) Determine las frecuencias de los rayos en el aire.
material(azul) — 1'47;n =1'44
FISICA. 2021. JULIO. EJERCICIO C2"
fisica,2022,Movimiento Ondulatorio,Junio,Ejercicio C1,"a) ¿Qué significa que una onda armónica es doblemente periódica?. Explíquelo apoyándose en
las gráficas correspondientes.
b) Una onda armónica transversal se propaga en sentido negativo del eje OX con una velocidad
de propagación de 3 m-s !. Si su longitud de onda es de 175 m y su amplitud es de 2 m:
i) escriba la ecuación de la onda teniendo en cuenta que en el punto x=0 m y en el instante
t=0s la perturbación es nula y la velocidad de oscilación es positiva. ii) Determine la
velocidad máxima de oscilación de un punto cualquiera del medio.
FISICA. 2022. JUNIO. EJERCICIO C1"
fisica,2022,Movimiento Ondulatorio,Reserva 1,Ejercicio C1,"a) Un rayo de luz monocromática pasa de un medio con índice de refracción n, a otro medio
con índice n,. Sabiendo que n, >M,, i) compare razonadamente la velocidad de propagación
del rayo, su longitud de onda y su frecuencia en cada medio. ii) Justifique si existe, o no, la
posibilidad de que exista reflexión total para un rayo que incide sobre la superficie de
separación de ambos medios.
b) Un rayo compuesto por luz roja y azul incide desde el aire sobre una lámina plana de vidrio
con un ángulo de incidencia de 37”. i) Realice un esquema indicando las trayectorias de ambos
rayos. ii) Determine el ángulo que forman entre si los rayos rojo y azul en el interior del vidrio.
iii) Calcule la frecuencia y la longitud de onda de cada componente del rayo dentro del vidrio.
ae =15 Didrio,rojo — 1'612; D vidrio,azul = 1'671;
2 =6'563-1077 m 5 A ieany =4'861-1077 m ; e=3-10""m-51
FISICA. 2022. RESERVA 1. EJERCICIO C1"
