subject,year,topic,exam,exercise,statement
fisica,2016,Ondas,Junio,Ejercicio 2 Opción A,"a) Explique las características cinemáticas de un movimiento armónico simple.
b) Dos partículas de igual masa, m, unidas a dos resortes de constantes k, y k, (k,>k,),
describen movimientos armónicos simples de igual amplitud. ¿Cuál de las dos partículas tiene
mayor energía cinética al pasar por su posición de equilibrio? ¿Cuál de las dos oscila con
mayor periodo? Razone las respuestas.
FISICA. 2016. JUNIO. EJERCICIO 2. OPCIÓN A"
fisica,2016,Ondas,Junio,Ejercicio 4 Opción B,"Un rayo de luz con una longitud de onda de 300 nm se propaga en el interior de una fibra de
vidrio, de forma que sufre reflexión total en sus caras.
a) Determine para qué valores del ángulo que forma el rayo luminoso con la normal a la
superficie de la fibra se producirá reflexión total si en el exterior hay aire. Razone la respuesta.
b) ¿Cuál será la longitud de onda del rayo de luz al emerger de la fibra óptica?
vidrio — 1'38
FISICA. 2016. JUNIO. EJERCICIO 4. OPCIÓN B"
fisica,2016,Ondas,Reserva 2,Ejercicio 2 Opción A,"a) Explique qué es una onda estacionaria e indique cómo puede producirse. Describa sus
características.
b) Explique cómo se mueven los puntos de una cuerda sujeta por sus extremos en la que se ha
formado una onda estacionaria.
FISICA. 2016. RESERVA 2. EJERCICIO 2. OPCIÓN A"
fisica,2016,Ondas,Reserva 2,Ejercicio 4 Opción B,"La ecuación de una onda en una cuerda es: y (x,t)=0'5 sen (3nt + 21tx) (S.L.)
a) Explique las características de la onda y calcule su periodo, longitud de onda y velocidad de
propagación.
b) Calcule la elongación y la velocidad de una partícula de la cuerda situada en x=0'2 m, en
el instante t=0'3s. ¿Cuál es la diferencia de fase entre dos puntos separados 0,3 m?
FISICA. 2016. RESERVA 2. EJERCICIO 4. OPCIÓN B"
fisica,2016,Ondas,Reserva 3,Ejercicio 2 Opción B,"a) Superposición de ondas; descripción cualitativa de los fenómenos de interferencia de dos
ondas.
b) Comente las siguientes afirmaciones: En una onda estacionaria se cumple: i) la amplitud es
constante; ii) la onda transporta energía; iii) la frecuencia es la misma que la de las dos ondas
que interfieren.
FISICA. 2016. RESERVA 3. EJERCICIO 2. OPCIÓN B"
fisica,2016,Ondas,Reserva 3,Ejercicio 4 Opción A,FISICA. 2016. RESERVA 3. EJERCICIO 4. OPCIÓN A
fisica,2016,Ondas,Reserva 3,Ejercicio 4 Opción B,"Un rayo luminoso incide sobre el vidrio de una ventana de índice de refracción 1,4.
a) Determine el ángulo de refracción en el interior del vidrio y el ángulo con el que emerge, una
vez que lo atraviesa, para un ángulo de incidencia de 20*.
b) Sabiendo que el vidrio tiene un espesor de 8 mm, determine la distancia recorrida por la luz
en su interior y el tiempo que tarda en atravesarlo.
e=3-10""m-s""! ; n =1
FISICA. 2016. RESERVA 3. EJERCICIO 4. OPCIÓN B"
fisica,2016,Ondas,Reserva 4,Ejercicio 2 Opción B,"a) Enuncie las leyes de la reflexión y de la refracción de la luz.
b) Dibuje la trayectoria de un rayo de luz: i) cuando pasa de un medio a otro de mayor índice
de refracción; ii) cuando pasa de un medio a otro de menor índice de refracción. Razone en
cuál de los dos casos puede producirse reflexión total. Haga uso de las leyes de la reflexión y
refracción de la luz para justificar sus respuestas
FISICA. 2016. RESERVA 4. EJERCICIO 2. OPCIÓN B"
fisica,2016,Ondas,Reserva 4,Ejercicio 4 Opción A,"Sobre un plano horizontal sin rozamiento se encuentra un bloque, de masa m =0'25 kg, sujeto
al extremo libre de un resorte horizontal fijo por el otro extremo. El bloque realiza un
movimiento armónico simple con un periodo de 0'17 s y su energía cinética máxima es 0,5 J.
a) Escriba la ecuación de movimiento del bloque sabiendo que en el instante inicial se
encuentra en la posición de equilibrio.
b) Razone cómo cambiarían la amplitud y la frecuencia del movimiento si se sustituye el resorte
por otro de constante elástica doble, manteniendo la misma energía cinética máxima
FISICA. 2016. RESERVA 4. EJERCICIO 4. OPCIÓN A"
fisica,2016,Ondas,Septiembre,Ejercicio 2 Opción B,"a) Periodicidad espacial y temporal de las ondas; su interdependencia.
b) Escriba la ecuación de una onda armónica que se propaga en el sentido positivo del eje X e
indique el significado de las magnitudes que aparecen en ella. Escriba la ecuación de otra onda
que se propague en sentido opuesto y que tenga doble amplitud y frecuencia mitad que la
anterior. Razone si las velocidades de propagación de ambas ondas es la misma.
FISICA. 2016. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
fisica,2016,Ondas,Septiembre,Ejercicio 4 Opción A,"Una onda se propaga en un medio material según la ecuación:
y (x,t) =0'2 sen 2n(50t—%) (S.L)
a) Indiqué el tipo de onda y su sentido de propagación y determine la amplitud, período,
longitud de onda y velocidad de propagación.
b) Determine la máxima velocidad de oscilación de las partículas del medio y calcule la
diferencia de fase, en un mismo instante, entre dos puntos que distan entre sí 2,5 cm.
FISICA. 2016. SEPTIEMBRE. EJERCICIO 4. OPCIÓN A"
fisica,2016,Ondas,Septiembre,Ejercicio 4 Opción B,"Un rayo láser, cuya longitud de onda en el aire es 500 nm, pasa del aire a un vidrio.
a) Describa con ayuda de un esquema los fenómenos de reflexión y refracción que se producen
y calcule la frecuencia de la luz láser.
b) Si el ángulo de incidencia es de 45” y el de refracción 27”, calcule el índice de refracción del
vidrio y la longitud de onda de la luz láser en el interior del mismo.
e=3-10* m-s ""; ,,, =1
FISICA. 2016. SEPTIEMBRE. EJERCICIO 4. OPCIÓN B"
fisica,2017,Ondas,Junio,Ejercicio 3 Opción A,"a) Explique la naturaleza de las ondas electromagnéticas e indique las distintas zonas en las que
se divide el espectro electromagnético, indicando al menos una aplicación de cada una de ellas.
b) Una antena de radar emite en el vacío radiación electromagnética de longitud de onda 0,03
m, que penetra en agua con un ángulo de incidencia de 20* respecto a la normal. Su velocidad
en el agua se reduce al 80 % del valor en el vacío. Calcule el periodo, la longitud de onda y el
ángulo de refracción en el agua.
e=3:10% m-s”
FISICA. 2017. JUNIO. EJERCICIO 3. OPCIÓN A"
