subject,year,topic,exam,exercise,statement
Mates CCSS,2001,Sistemas de ecuaciones lineales,Reserva 4,"Ejercicio 1, Opción B","a) Determine dos números sabiendo que al dividir el mayor por el menor obtenemos 7 de
cociente y 2 de resto, y que la diferencia entre el triple del mayor y el menor es 106.
b) Resuelva el siguiente sistema e interprete gráficamente sus soluciones:
2x-y=5
4(x-2)=1+2(y+1).
SOCIALES II. 2001 RESERVA 4. EJERCICIO 1 OPCIÓN B"
Mates CCSS,2001,Sistemas de ecuaciones lineales,Septiembre,"Ejercicio 1, Opción A","Sea el sistema: x—-z=1
2y-z=0
a) Expréselo en forma matricial.
b) ¿La matriz de los coeficientes posee inversa?. Justifique la respuesta.
c) Resuélvalo y clasifíquelo en cuanto al número de soluciones.
SOCIALES II. 2001 SEPTIEMBRE. EJERCICIO 1 OPCIÓN A"
Mates CCSS,2002,Sistemas de ecuaciones lineales,Junio,"Ejercicio 1, Opción A","Un cliente de un supermercado ha pagado un total de 156 € por 24 litros de leche, 6 kg de
jamón serrano y 12 litros de aceite de oliva.
Plantee y resuelva un sistema de ecuaciones para calcular el precio unitario de cada artículo,
sabiendo que 1 litro de aceite cuesta el triple que un litro de leche y que 1 kg de jamón cuesta
igual que 4 litros de aceite más 4 litros de leche. .
SOCIALES II. 2002 JUNIO. EJERCICIO 1 OPCION A"
Mates CCSS,2002,Sistemas de ecuaciones lineales,Reserva 4,"Ejercicio 1, Opción A","Un autobús transporta 90 viajeros con 3 tarifas diferentes:
1*: Viajeros que pagan el billete entero, que vale 0770 euros.
2*: Estudiantes, con descuento del 50 %.
3*: Jubilados, con descuento del 80 %.
Se sabe que el número de estudiantes es 10 veces el de jubilados y que la recaudación total ha
sido de 46776 euros. Plantee, sin resolver, el sistema de ecuaciones necesario para determinar el
número de viajeros, de cada tarifa, que va en el autobús.
SOCIALES II. 2002 RESERVA 4. EJERCICIO 1 OPCIÓN A"
Mates CCSS,2003,Sistemas de ecuaciones lineales,Reserva 2,"Ejercicio 1, Opción B","x-2y+z= 0
Clasifique y resuelva el sistema 2x+y-z=5
4x+7y—-5z=15
SOCIALES II. 2003 RESERVA 2. EJERCICIO 1 OPCIÓN B"
Mates CCSS,2003,Sistemas de ecuaciones lineales,Reserva 3,"Ejercicio 1, Opción A","2x+3y—-z=4
xX+2y+Z=5 -
SOCIALES II. 2003 RESERVA 3. EJERCICIO 1 OPCIÓN A"
Mates CCSS,2003,Sistemas de ecuaciones lineales,Reserva 4,"Ejercicio 1, Opción B","Plantee, sin resolver, un sistema de ecuaciones que dé solución al siguiente problema: Un
inversor compró acciones de las empresas A, B y C por un valor de 20000 €, invirtiendo en C el
doble que en A. Al cabo de un año la empresa A le pagó el 6% de beneficio, la B el 8% y la C el
10%. Si el beneficio total fue de 1720 €, ¿qué dinero invirtió en cada empresa?.
SOCIALES II. 2003 RESERVA 4. EJERCICIO 1 OPCIÓN B"
Mates CCSS,2004,Sistemas de ecuaciones lineales,Reserva 2,"Ejercicio 1, Opción A","Sabemos que el precio del kilo de tomates es la mitad que el del kilo de carne. Además, el precio
del kilo de gambas es el doble que el de carne. Si pagamos 18 euros por 3 kilos de tomates, 1
kilo de carne y 250 gramos de gambas, ¿cuánto pagaríamos por 2 kilos de carne, 1 kilo de
tomates y 500 gramos de gambas? .
SOCIALES II. 2004 RESERVA 2. EJERCICIO 1 OPCIÓN A"
Mates CCSS,2004,Sistemas de ecuaciones lineales,Reserva 3,"Ejercicio 1, Opción B","a) Plantee, sin resolver, un sistema de ecuaciones asociado al siguiente problema: “Un
monedero contiene 1 euro en monedas de 2, 5 y 10 céntimos; en total hay 22 monedas. Sabiendo
que el número de monedas de 5 y 10 céntimos juntas excede en 2 unidades al número de
monedas de 2 céntimos, obtenga el número de monedas de cada tipo que hay en el monedero”.
X+y+Z=6
b) Resuelva el sistema formado por las ecuaciones 2x— y +27=3
I3x+2y-37=3
SOCIALES II. 2004 RESERVA 3. EJERCICIO 1 OPCIÓN B"
Mates CCSS,2004,Sistemas de ecuaciones lineales,Reserva 4,"Ejercicio 1, Opción B","xX-y-2=—2
Sea el sistema de ecuaciones lineales 2x+3y—z= 26.
4x+y-37=—2
a) Clasifique y resuelva el sistema.
b) Escriba la matriz de coeficientes de este sistema y, si es posible, calcule su matriz inversa.
SOCIALES II. 2004 RESERVA 4. EJERCICIO 1 OPCIÓN B"
