subject,year,topic,exam,exercise,statement
Mates CCSS,2010,Contraste De Hipótesis,Junio,Ejercicio 4 Opción B,"Un agricultor piensa que la producción media por naranjo, en su finca, es de 88 kg o más. Para
confirmar su creencia selecciona, al azar, 10 de sus naranjos, pesa su producción y obtiene
como resultado, en kg, para cada uno de ellos:
80 , 83 , 87 , 95 , 86 , 92 , 85 , 83 , 84, 95
Se acepta que la producción de un naranjo sigue una distribución Normal con desviación típica
5 kg.
a) Plantee el contraste de hipótesis unilateral que responda a las condiciones del problema y
determine la región crítica para un nivel de significación a= 0.05.
b) Con los datos de esta muestra, ¿qué conclusión debe obtener el agricultor sobre la
producción media por naranjo de su finca, utilizando ese mismo nivel de significación?.
SOCIALES II. 2010 JUNIO. EJERCICIO 4 OPCIÓN B"
Mates CCSS,2010,Contraste De Hipótesis,Reserva 1,Ejercicio 4 Opción B,"Una máquina de envasado está diseñada para llenar bolsas con 300 g de almendras. Para
comprobar si funciona correctamente, se toma una muestra de 100 bolsas y se observa que su
peso medio es de 297 g. Suponiendo que la variable “peso” tiene una distribución Normal con
varianza 16, y utilizando un contraste bilateral ¿es aceptable, a un nivel de significación de
0.05, que el funcionamiento de la máquina es correcto?.
SOCIALES II. 2010 RESERVA 1. EJERCICIO 4 OPCIÓN B"
Mates CCSS,2010,Contraste De Hipótesis,Reserva 2,Ejercicio 4 Opción B,"Se sabe que los años de vida de los individuos de una población es una variable aleatoria
Normal con desviación típica 8.9 años. Una muestra aleatoria de 100 individuos de esa
población mostró una vida media de 71.8 años. Mediante un contraste unilateral, ¿puede
afirmarse con los datos anteriores que la vida media es mayor de 70 años, a un nivel de
significación a =0.05?.
SOCIALES II. 2010 RESERVA 2. EJERCICIO 4 OPCIÓN B"
Mates CCSS,2010,Contraste De Hipótesis,Reserva 4,Ejercicio 4 Opción B,"El peso de los sacos de patatas de una cooperativa es una variable aleatoria Normal con
desviación típica 0.25 kg. El agente de ventas de esa cooperativa afirma que el peso medio de los
sacos no baja de 5 kg.
Se desea contrastar estadísticamente esta hipótesis. Para ello se toma una muestra aleatoria de 20
sacos y se obtiene que su peso medio es de 4.8 kg.
a) Determine las hipótesis del contraste que se plantea en este enunciado.
b) Halle la región crítica de este contraste para a = 0.01?.
c) Con los datos de la muestra tomada, ¿puede decirse que existe evidencia estadística suficiente para
rechazar la hipótesis del agente de ventas de la cooperativa, al nivel de significación a= 0.01?.
SOCIALES II. 2010 RESERVA 4. EJERCICIO 4 OPCIÓN B"
Mates CCSS,2010,Contraste De Hipótesis,Septiembre,Ejercicio 4 Opcióon A,"En una determinada especie animal el porcentaje de mortalidad debida a una enfermedad
vírica es de al menos un 40%.
Se está realizando un estudio para probar la eficacia de un fármaco que permite tratar esa
enfermedad y, consecuentemente, reducir el porcentaje de mortalidad en esa especie. Para ello,
se suministró el fármaco a 50 sujetos enfermos, elegidos al azar, de los que murieron 14.
A la vista de estos datos, y tomando como nivel de significación 0.015, ¿ se puede afirmar que
existe evidencia estadística suficiente para rechazar la hipótesis H,:p>0.4, donde p es la
proporción, y por lo tanto aceptar la eficacia del fármaco?.
SOCIALES II. 2010 SEPTIEMBRE. EJERCICIO 4 OPCIÓON A"
Mates CCSS,2011,Contraste De Hipótesis,Junio,Ejercicio 4 Opción A,"Una máquina está preparada para fabricar piezas de, a lo sumo, 10 cm de longitud.
Se toma una muestra de 1000 piezas, comprobándose que la media de sus longitudes es de
10.0037 cm. La longitud de las piezas fabricadas por esa máquina sigue una ley Normal con
desviación típica 0.2 cm.
a) Plantee un contraste de hipótesis unilateral para comprobar si con los datos de esa muestra
es posible afirmar que la media de la longitud de las piezas fabricadas por la máquina es de
más de 10em.
b) Determine la región de aceptación de la hipótesis nula de ese contraste para un nivel de
significación a =0.025.
c) Con los datos de la muestra y usando el contraste de hipótesis del primer apartado,¿qué
conclusión se obtendría sobre la longitud media de las piezas fabricadas?
SOCIALES II. 2011 JUNIO. EJERCICIO 4 OPCIÓN A"
Mates CCSS,2011,Contraste De Hipótesis,Reserva 1,Ejercicio 4 Opción A,"El director de una televisión afirma que un nuevo programa que va a emitirse será visto, al
menos, por un 30% de personas. Una vez emitido se realizó una encuesta a 500 personas,
elegidas al azar, y ésta reveló que 130 de ellas habían visto ese programa.
a) Formule la hipótesis nula y la alternativa del contraste de hipótesis que permite determinar
si los datos de la encuesta realizada son compatibles con la afirmación del director.
b) Halle la región crítica de ese contraste para un nivel de significación del 5.5%.
c) Según el dato obtenido en el apartado anterior ¿qué conclusión se obtiene sobre la
afirmación realizada por el director de esa televisión?.
SOCIALES II. 2011 RESERVA 1. EJERCICIO 4 OPCIÓN A"
Mates CCSS,2011,Contraste De Hipótesis,Reserva 2,Ejercicio 4 Opción A,"El director de un banco afirma que la cantidad media de dinero extraído, por cliente, de un
cajero automático de su sucursal no supera los 120 euros. Para contrastar esta hipótesis elige al
azar 100 extracciones de este cajero y obtiene una media muestral de 130 euros. Se sabe que la
cantidad de dinero extraído por un cliente en un cajero automático se distribuye según una ley
Normal de media desconocida y desviación típica 67 euros.
a) Plantee el contraste de hipótesis asociado al enunciado.
b) Determine la región de aceptación, para un nivel de significación a =0.05.
c) Con los datos muestrales tomados, ¿existe evidencia estadística para rechazar la hipótesis de
este director, con el mismo nivel de significación anterior?.
SOCIALES II. 2011 RESERVA 2. EJERCICIO 4 OPCIÓN A"
Mates CCSS,2011,Contraste De Hipótesis,Reserva 3,Ejercicio 4 Opción B,"Un estudio sociológico afirma que el 70% de las familias cena viendo la televisión. Se desea
contrastar la veracidad de esta afirmación y, para ello, se toma una muestra de 500 familias, en
las que se observa que 340 ven la televisión mientras cenan. Decida, mediante un contraste de
hipótesis, si la afirmación es cierta con un nivel de significación de 0.01
SOCIALES II. 2011 RESERVA 3. EJERCICIO 4 OPCIÓN B"
Mates CCSS,2011,Contraste De Hipótesis,Septiembre,Ejercicio 4 Opción A,"Suponiendo que la variable “años de vida de los individuos de un país” sigue una distribución
Normal con desviación típica 8.9 años, se desea contrastar la hipótesis de que la vida media de
los mismos no supera los 70 años.
A partir de una muestra aleatoria de 100 individuos se ha obtenido que su vida media ha sido
71.8 años.
a) Formule el contraste de hipótesis que indica el enunciado.
b) Determine la región crítica a un nivel de significación del 5 %.
c) Con los datos muestrales, ¿existe evidencia estadística para rechazar la hipótesis a ese nivel
de significación?.
SOCIALES II. 2011 SEPTIEMBRE. EJERCICIO 4 OPCIÓN A"
