subject,year,topic,exam,exercise,statement
Mates CCSS,2001,Probabilidad,Junio,Ejercicio 3 Parte I Opción A,"Dos urnas A y B, que contienen bolas de colores, tienen la siguiente composición:
A : 5 blancas, 3 negras y 2 rojas; B : 4 blancas y 6 negras
También tenemos un dado que tiene 4 caras marcadas con la letra A y las otras dos con la letra
B. Tiramos el dado y sacamos una bola al azar de la urna que indica el dado.
a) ¿Cuál es la probabilidad de que esa bola sea blanca?
b) ¿Cuál es la probabilidad de que esa bola sea roja?
€) La bola extraída ha resultado ser blanca, ¿cuál es la probabilidad de que proceda de la urna
B?
SOCIALES II. 2001. JUNIO. EJERCICIO 3. PARTE I. OPCIÓN A"
Mates CCSS,2001,Probabilidad,Junio,Ejercicio 3 Parte I Opción B,"En el experimento aleatorio de lanzar una moneda tres veces se consideran los siguientes sucesos:
A: “sacar al menos una cara y una cruz”.
B: “sacar a lo sumo una cara”.
a) Determine el espacio muestral asociado a ese experimento y los sucesos A y B.
b) ¿Son independientes ambos sucesos?. .
SOCIALES II. 2001. JUNIO. EJERCICIO 3. PARTE I. OPCIÓN B"
Mates CCSS,2001,Probabilidad,Reserva 1,Ejercicio 3 Parte I Opción A,"2
Dado un espacio muestral E se consideran los sucesos A y B, cuyas probabilidades son P(A)= 3
1
*
a) ¿Pueden ser los sucesos A y B incompatibles? ¿Por qué?
b) Suponiendo que los sucesos A y B son independientes, calcule P(A UB).
c) Suponiendo que AUB=E, calcule P(ANB).
SOCIALES II. 2001 RESERVA 1. EJERCICIO 3. PARTE I. OPCIÓN A"
Mates CCSS,2001,Probabilidad,Reserva 1,Ejercicio 3 Parte I Opción B,"El 35 % de los estudiantes de un centro docente practica el fútbol. El 70 % de los que practican
el fútbol estudia Matemáticas, así como el 25 % de los que no practican el fútbol. Calcule la
probabilidad de que al elegir, al azar, un estudiante de ese centro:
a) Estudie Matemáticas.
b) Practique el fútbol, sabiendo que no es alumno de Matemáticas.¡
SOCIALES II. 2001 RESERVA 1. EJERCICIO 3. PARTE I. OPCIÓN B"
Mates CCSS,2001,Probabilidad,Reserva 2,Ejercicio 3 Parte I Opción A,"Dos cajas, A y B, tienen el siguiente contenido:
La A: 5 monedas de 1 euro y 3 de 10 pesetas.
La B: 4 monedas de 1 euro, 4 de 10 pesetas y 2 de 25 pesetas.
De una de las cajas elegida al azar, se extrae una moneda.
a) ¿Cuál es la probabilidad de que sea de 1 euro?
b) Si la moneda extraída resulta ser de 10 pesetas, ¿cuál es la probabilidad de que proceda de la
caja B?
SOCIALES II. 2001. RESERVA 2. EJERCICIO 3. PARTE I. OPCIÓN A"
Mates CCSS,2001,Probabilidad,Reserva 2,Ejercicio 3 Parte I Opción B,"E
La probabilidad de que un jugador A marque un gol de penalti es de re mientras que la de otro
4
jugador B es re Si cada uno lanza un penalti,
a) Halle la probabilidad de que marque gol uno solo de los dos jugadores.
b) Halle la probabilidad de que al menos uno marque gol.
SOCIALES II. 2001. RESERVA 2. EJERCICIO 3. PARTE I. OPCIÓN B"
Mates CCSS,2001,Probabilidad,Reserva 3,Ejercicio 3 Parte I Opción A,"Sean A y B dos sucesos tales que P(A)= %, P(B) =% y PIANB)= % . Calcule:
a) P(A/B) y P(B/A).b) P(AUB). €) P(A“ nB).
(A“ indica el contrario del suceso A). .
SOCIALES II. 2001. RESERVA 3. EJERCICIO 3. PARTE I. OPCIÓN A"
Mates CCSS,2001,Probabilidad,Reserva 3,Ejercicio 3 Parte I Opción B,"En un cineclub hay 80 películas; 60 son de “acción” y 20 de “terror”. Susana elige una película al
azar y se la lleva. A continuación Luís elige otra película al azar.
a) ¿Cuál es la probabilidad de que tanto Susana como Luís elijan películas de acción?
b) ¿Cuál es la probabilidad de que la película elegida por Luís sea de acción?
SOCIALES II. 2001. RESERVA 3. EJERCICIO 3. PARTE I. OPCIÓN B"
Mates CCSS,2001,Probabilidad,Reserva 4,Ejercicio 3 Parte I Opción A,"En una ciudad el 60 % de sus habitantes son aficionados al fútbol, el 30 % son aficionados al
baloncesto y el 25 % a ambos deportes.
a) ¿Son independientes los sucesos “ser aficionado al fútbol” y “ser aficionado al baloncesto”?.
b) Si una persona no es aficionada al fútbol, ¿cuál es la probabilidad de que no sea aficionada al
baloncesto?
€) Si una persona no es aficionada al baloncesto, ¿cuál es la probabilidad de que sea aficionada al
fútbol?
SOCIALES II. 2001. RESERVA 4. EJERCICIO 3. PARTE I. OPCIÓN A"
Mates CCSS,2001,Probabilidad,Reserva 4,Ejercicio 3 Parte I Opción B,"Tenemos un cofre A con 2 monedas de oro y 3 de plata, un cofre B con 5 monedas de oro y 4 de
plata y un tercer cofre C con 2 monedas de oro. Elegimos un cofre al azar y sacamos una
moneda.
a) Calcule la probabilidad de que sea de oro. b) Sabiendo que ha sido de plata, calcule la
probabilidad de que haya sido extraída del cofre A. .
SOCIALES II. 2001 RESERVA 4. EJERCICIO 3. PARTE I. OPCIÓN B"
