subject,year,topic,exam,exercise,statement
Mates CCSS,2001,Inferencia Estadística,Junio,Ejercicio 3 Parte It Opción A,"Un estudio realizado sobre 100 usuarios revela que un automóvil recorre anualmente un
promedio de 15.200 Km con una desviación típica de 2.250 Km.
a) Determine un intervalo de confianza, al 99%, para la cantidad promedio de kilómetros
recorridos.
b) ¿Cuál debe ser el tamaño mínimo de la muestra para que el error cometido no sea superior a
500 Km, con igual confianza?.
SOCIALES IT. 2001 JUNIO. EJERCICIO 3 PARTE IT OPCIÓN A"
Mates CCSS,2001,Inferencia Estadística,Junio,Ejercicio 3 Parte Ii Opción B,"La cantidad de hemoglobina en sangre del hombre sigue una ley normal con desviación típica
de 2 gr/dl. Calcule el nivel de confianza de una muestra de 12 extracciones de sangre que
indique que la media poblacional de hemoglobina en sangre está entre 13 y 15 gramos por
decilitro.
SOCIALES II. 2001 JUNIO. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2001,Inferencia Estadística,Reserva 1,Ejercicio 3 Parte Ii Opción A,"Una ciudad de 2000 habitantes está poblada por personas de pelo negro, rubio o castaño. Se ha
seleccionado, mediante muestreo aleatorio estratificado con afijación proporcional, una
muestra constituida por 28 personas de pelo negro, 32 de pelo rubio y 20 de pelo castaño.
Determine cuál es la composición, según el color del pelo, de esa ciudad.
SOCIALES II. 2001 RESERVA 1. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2001,Inferencia Estadística,Reserva 1,Ejercicio 3 Parte Ii Opción B,"En una población normal con varianza conocida se ha tomado una muestra de tamaño 49 y se
ha calculado su media: x =4'2. Determine la varianza de la población sabiendo que el
intervalo de confianza, al 95 %, para la media poblacional es (3ºó4¿ 4776).
SOCIALES II. 2001 RESERVA 1. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2001,Inferencia Estadística,Reserva 2,Ejercicio 3 Parte Ii Opción A,"Se sospecha que el número de unidades que contiene cada dosis de un medicamento no llega a
las 10000 que se indican en el envase. Para comprobar que el contenido medio de las dosis es el
indicado tomamos, al azar, 100 dosis y determinamos el número de unidades de cada una,
obteniendo de media 9940 unidades y de desviación típica 120 unidades. ¿Qué podemos decir
sobre la indicación del envase, para un nivel de confianza del 99 %?.
SOCIALES II. 2001 RESERVA 2. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2001,Inferencia Estadística,Reserva 2,Ejercicio 3 Parte Iil Opción B,"Una muestra aleatoria de 36 cigarrillos de una marca determinada dio un contenido medio de
nicotina de 3 miligramos.
Se sabe que el contenido en nicotina de estos cigarrillos sigue una distribución normal con una
desviación típica de 1 miligramo.
a) ¿Cuál es la probabilidad de que el contenido medio en nicotina de los cigarrillos de esa
marca sea superior a 32 miligramos?
b) Obtenga un intervalo de confianza al 99% para el contenido medio de nicotina de estos
cigarrillos.
SOCIALES II. 2001 RESERVA 2. EJERCICIO 3 PARTE IIl OPCIÓN B"
Mates CCSS,2001,Inferencia Estadística,Reserva 3,Ejercicio 3 Parte Ii Opción A,"Una agencia de alquiler de automóviles necesita estimar el número medio de kilómetros diarios
que realiza su flota de automóviles. Se sabe que el número de kilómetros por día sigue una
distribución normal con desviación típica de 6 Km/día. Se toman los recorridos de 100
vehículos de la flota, obteniéndose que la media muestral es de 165 Km/día.
a) Construya un intervalo de confianza para la media de dicha distribución a un nivel de
confianza del 95 %.
b) ¿Cuál debería ser el tamaño de la muestra para asegurar al nivel de confianza del 90 % que
el error cometido es a lo sumo 01?
SOCIALES II. 2001 RESERVA 3. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2001,Inferencia Estadística,Reserva 3,Ejercicio 3 Parte Ii Opción B,"Se desea estimar, con un error máximo de 0.2 horas, el tiempo medio de estudio diario de los
alumnos de primer curso universitario. Se sabe que la desviación típica es de 1 hora y se toma
una muestra aleatoria de 100 alumnos.
a) Calcule el nivel de confianza del intervalo que se obtendrá.
b) Calcule el número de individuos que debe tener una muestra para asegurarnos una
confianza del 99 %.
SOCIALES II. 2001 RESERVA 3. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2001,Inferencia Estadística,Reserva 4,Ejercicio 3 Parte Ii Opción A,"El periodo de funcionamiento de las bombillas de una determinada marca sigue una
distribución normal de media 360 días y desviación típica 40 días. Queremos elegir una
muestra de bombillas de esa marca cuyo periodo medio de funcionamiento sea superior a 330
días, con probabilidad 0?97. Calcule el tamaño mínimo de la muestra.
SOCIALES II. 2001 RESERVA 4. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2001,Inferencia Estadística,Reserva 4,Ejercicio 3 Parte Iil Opción B,"En los individuos de una población, la cantidad de colesterol en sangre se distribuye según una
ley normal de media desconocida y desviación típica de 0%5 g/l. Hemos tomado una muestra de
10 individuos, y se ha obtenido una media muestral de 177 g/l.
a) Obtenga un intervalo de confianza, al 95 %, para la cantidad media de colesterol en sangre
de la población.
b) ¿Qué nivel de confianza tendría un intervalo para la media cuyos límites fuesen 1?293 y
27?107?
SOCIALES II. 2001 RESERVA 4. EJERCICIO 3 PARTE IIl OPCIÓN B"
Mates CCSS,2001,Inferencia Estadística,Septiembre,Ejercicio 3 Parte Il Opcion A,"Según un estudio sociológico, el gasto mensual de los jóvenes españoles durante los fines de
semana se distribuye según una ley normal de media u = 150 € y desviación típica o = 18 €.
Tomamos, al azar, una muestra de 36 jóvenes. ¿Cuál es la probabilidad de que esta muestra
tenga un gasto medio comprendido entre 143 € y 157 €?. .
SOCIALES II. 2001 SEPTIEMBRE. EJERCICIO 3 PARTE Il OPCION A"
Mates CCSS,2001,Inferencia Estadística,Septiembre,Ejercicio 3 Parte Il Opción B,". . 2 . . .
Sabiendo que la varianza de una ley normal es o =16, determine el nivel de confianza con el
que puede decirse que su media u está comprendida entre 6?2 y 8'8, si se toma una muestra
aleatoria de tamaño 36 de esa ley normal, cuya media muestral es 7'5.
SOCIALES II. 2001 SEPTIEMBRE. EJERCICIO 3 PARTE Il OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Junio,Ejercicio 3 Parte Ii Opción A,"Se sabe que la estatura de los individuos de una población es una variable aleatoria que sigue
una distribución normal con desviación típica 6 cm. Se toma una muestra aleatoria de 225
individuos que da una media de 176 cm.
a) Obtenga un intervalo, con un 99% de confianza, para la media de la estatura de la
población.
b) Calcule el mínimo tamaño de muestra que se ha de tomar para estimar la estatura media de
los individuos de la población con un error inferior a 1 cm y un nivel de confianza del 95%.
SOCIALES IT. 2002 JUNIO. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2002,Inferencia Estadística,Junio,Ejercicio 3 Parte Ii Opción B,"Se sabe que los estudiantes de una provincia duermen un número de horas diarias que se
distribuye según una ley Normal de media u horas y desviación típica o =2 horas.
a) A partir de una muestra de 64 alumnos se ha obtenido el siguiente intervalo de confianza
(726; 8”14) para la media de la población. Determine el nivel de confianza con que se ha
construido dicho intervalo.
b) Determine el tamaño muestral mínimo necesario para que el error que se cometa al estimar
la media de la población por un intervalo de confianza sea, como máximo, de 0775 horas, con
un nivel de confianza del 98 %.
SOCIALES II. 2002 JUNIO. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Reserva 1,Ejercicio 3 Parte Ii Opción A,"En un pueblo habitan 700 hombres adultos, 800 mujeres adultas y 500 menores. De él se quiere
seleccionar una muestra de 80 personas, utilizando, para ello, muestreo estratificado con
afijación proporcional. ¿Cuál será la composición que debe tener dicha muestra?
SOCIALES II. 2002 RESERVA 1. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2002,Inferencia Estadística,Reserva 1,Ejercicio 3 Parte Ii Opción B,"El peso de los alumnos de un Instituto es una variable aleatoria que sigue una distribución
Normal de media u, desconocida, y desviación típica 8 kg.
¿Cuál es el tamaño mínimo que debe tener una muestra para que permita estimar u con un
error máximo de 3 kg y un nivel de confianza del 99 %?
SOCIALES II. 2002 RESERVA 1. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Reserva 2,Ejercicio 3 Parte Ii Opción A,"El gasto mensual de los estudiantes de un Instituto se distribuye según una ley Normal de
media desconocida y desviación típica 4 euros. Se ha seleccionado una muestra aleatoria y, con
una confianza del 97 %, se ha construido un intervalo para la media poblacional cuya amplitud
es 2717 euros.
a) ¿Cuál ha sido el tamaño de la muestra seleccionada?
b) Calcule el gasto mensual medio de la muestra tomada sabiendo que el límite inferior del
intervalo de confianza es 83.915 euros.
SOCIALES II. 2002 RESERVA 2. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2002,Inferencia Estadística,Reserva 2,Ejercicio 3 Parte Ii Opción B,"El tiempo de espera, en minutos, de los usuarios en una determinada parada de autobús sigue
una distribución Normal de media u y desviación típica 1”5 minutos.
a) ¿Cómo se distribuye el tiempo medio de espera para muestras aleatorias de tamaño 16?.
b) Si hemos tomado una muestra aleatoria de 16 usuarios, cuya media es 5 minutos, determine
el intervalo de confianza, al 95 %, para la media poblacional. .
SOCIALES II. 2002 RESERVA 2. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Reserva 3,Ejercicio 3 Parte Ii Opción A,"Se ha medido la talla de 100 personas elegidas al azar, mediante muestreo aleatorio simple, de
entre los estudiantes varones de bachillerato de una gran ciudad, obteniéndose una talla media
de 1775 m. Se sabe que la desviación típica de la población es 0%2 m.
a) Halle un intervalo de confianza, al 90 %, para la media poblacional de la talla de los
estudiantes.
b) ¿Con qué nivel de confianza se ha construido el intervalo (1?73, 1777) para la media
poblacional?
SOCIALES II. 2002 RESERVA 3. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2002,Inferencia Estadística,Reserva 3,Ejercicio 3 Parte Ii Opción B,"El peso de los peces adultos que se crían en una piscifactoría se distribuye según una ley
Normal con desviación típica 9 g.
Los pesos, en gramos, de una muestra aleatoria de 9 peces adultos de esa piscifactoría son:
310, 311, 309, 295, 280, 294, 303, 305, 293.
Determine un intervalo de confianza, al 95 %, para el peso medio de los peces adultos de esa
piscifactoría.
SOCIALES II. 2002 RESERVA 3. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Reserva 4,Ejercicio 3 Parte Ii Opción A,"Para estudiar el gasto mensual en teléfono móvil de los jóvenes de una ciudad se ha elegido una
muestra aleatoria de 16 estudiantes, con los resultados siguientes, expresados en euros:
4, 6, 30, 14, 16, 14, 15, 16, 22, 8, 3, 56, 42, 26, 30, 18.
Admitiendo que este gasto mensual sigue una ley Normal con desviación típica 1378 euros,
determine un intervalo de confianza, al 95 %, para la media del gasto mensual.
SOCIALES II. 2002 RESERVA 4. EJERCICIO 3 PARTE II OPCIÓN A"
Mates CCSS,2002,Inferencia Estadística,Reserva 4,Ejercicio 3 Parte Ii Opción B,"La edad de los niños que van a un parque sigue una ley Normal de media 8 años y desviación
típica 21 años. En un momento determinado hay 25 niños en ese parque.
¿Cuál es la probabilidad de que la edad media de ese grupo esté entre 85 y 9 años?
SOCIALES II. 2002 RESERVA 4. EJERCICIO 3 PARTE II OPCIÓN B"
Mates CCSS,2002,Inferencia Estadística,Septiembre,Ejercicio 3 Parte Il Opcion A,"Los resultados de un test de sensibilidad musical realizado a los alumnos de un Conservatorio
se distribuyen según una ley Normal de media 65 y desviación típica 18.
a) ¿Cuál es la distribución de la media muestral para muestras de tamaño 25?
b) Para muestras aleatorias de tamaño 100, halle la probabilidad de que su puntuación media
esté comprendida entre 63 y 67 puntos. .
SOCIALES II. 2002 SEPTIEMBRE. EJERCICIO 3 PARTE Il OPCION A"
Mates CCSS,2002,Inferencia Estadística,Septiembre,Ejercicio 3 Parte Il Opción B,"El peso neto de las bolsas de almendras de una determinada marca es una variable aleatoria
Normal con media u, desconocida, y varianza o 2 =504 g ? , Se sabe que 35 bolsas, elegidas al
azar, han dado un peso total de 8652 g.
a) Calcule un intervalo, con un nivel de confianza del 90 %, para u.
b) ¿A partir de qué nivel de confianza, el correspondiente intervalo para p contiene el valor 250
g?. .
SOCIALES II. 2002 SEPTIEMBRE. EJERCICIO 3 PARTE Il OPCIÓN B"
Mates CCSS,2003,Inferencia Estadística,Junio,Ejercicio 3 Parte Ii Opción A,"La longitud de la ballena azul se distribuye según una ley normal con desviación típica 75 m.
En un estudio estadístico realizado a 25 ejemplares se ha obtenido el intervalo de confianza
(21706,26794) para la longitud media.
a) Calcule la longitud media de los 25 ejemplares de la muestra.
b) Calcule el nivel de confianza con el que se ha construido dicho intervalo.
SOCIALES II. 2003 JUNIO. EJERCICIO 3 PARTE II OPCIÓN A"
