subject,year,topic,exam,exercise,statement
química,2000,Conf. Electrónica,Junio,Ejercicio 2 Opción B,"Los números atómicos de los elementos P y Mn son 15 y 25, respectivamente.
a) Escriba la configuración electrónica de cada uno de ellos.
b) Indique los números cuánticos que corresponden a los electrones situados, en cada caso, en
los qrbitales más externos. .
QUÍMICA. 2000. JUNIO. EJERCICIO 2. OPCIÓN B"
química,2000,Conf. Electrónica,Reserva 1,Ejercicio 4 Opcióon A,"Los elementos Na, Al, y Cl tienen números atómicos 11, 13 y 17, respectivamente.
a) Escriba la configuración electrónica de cada elemento.
b) Escriba la configuración electrónica de los iones Na* , Al** y CI>.
c) Qrdene, de forma razonada, los radios de los iones apteri0res.
QUÍMICA. 2000. RESERVA 1. EJERCICIO 4. OPCIÓON A"
quimica,2000,Conf. Electrónica,Reserva 2,Ejercicio 2 Opcion A,"Tres elementos tienen de número atómico 25, 35 y 38, respectivamente.
a) Escriba la configuración electrónica de los mismos.
b) Indique, razonadamente, el grupo y el periodo a que pertenece cada uno de los elementos
anteriores.
c) Indique, razonando la respuesta, el carácter metálico o no metálico de cada uno de los
elementos anteriores. .
QUIMICA. 2000. RESERVA 2. EJERCICIO 2. OPCION A"
quimica,2000,Conf. Electrónica,Reserva 3,Ejercicio 2 Opción A,"Los elementos A y B tienen, en sus últimos niveles, las configuraciones:
A =48p""5s' y B=3sp'd'4s""p*.
Justifique: a) Si A es metal o no metal. b) Qué elemento tendrá mayor afinidad electrónica.
c) Qué elemento tendrá mayor radio. .
QUIMICA. 2000. RESERVA 3. EJERCICIO 2. OPCIÓN A"
quimica,2000,Conf. Electrónica,Reserva 4,Ejercicio 2 Opción B,"Los números atómicos de los elementos Br y Rb son 35 y 37, respectivamente.
a) Escriba la configuración electrónica de ambos elementos.
b) Indique el ión más estable de cada elemento y su configuración electrónica.
€) Razone cuál de los dos iones tendrá mayor radio. —
QUIMICA. 2000. RESERVA 4. EJERCICIO 2. OPCIÓN B"
quimica,2000,Conf. Electrónica,Septiembre,Ejercicio 2 Opción B,"Las dos tablas siguientes corresponden a radios atómicos:
Elemento Li Be B C N
0
R (A)
1723 089 080 0777 0770
Elemento Li Na K Rb Cs
0 , , , , ,
R(A) 1723 1757 2703 216 2735
a) Justifique la variación del radio en el periodo. b) Justifique la variación del radio en el
grupo. .
QUIMICA. 2000. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
quimica,2001,Conf. Electrónica,Junio,Ejercicio 2 Opcion A,"Los átomos neutros X, Y, Z, tienen las siguientes configuraciones:
X=1s""2s”p'; Y =1s2s”p5; Z=1s25p""3s .
a) Indique el grupo y el periodo en el que se encuentran. b) Ordénelos, razonadamente, de
menor a mayor electronegatividad. c) ¿Cuál es el de mayor energía de ionización?
QUIMICA. 2001. JUNIO. EJERCICIO 2. OPCION A"
química,2001,Conf. Electrónica,Reserva 1,Ejercicio 2 Opción A,"Escriba las configuraciones electrónicas del átomo e iones siguientes: Al (Z = 13), Na* (Z=11),
0?- (Z=5). b) ¿Cuáles son isoelectrónicos? c) ¿Cuál o cuáles tienen electrones desapareados?
QUÍMICA. 2001. RESERVA 1. EJERCICIO 2. OPCIÓN A"
quiímica,2001,Conf. Electrónica,Reserva 2,Ejercicio 2 Opción B,"Los elementos X, Y y Z tienen números atómicos 13, 20 y 35, respectivamente. a) Escriba la
configuración electrónica de cada uno de ellos. b) ¿Serían estables los iones X?*, Y?* y Z?7 ?
Justifique las respuestas.
QUIÍMICA. 2001. RESERVA 2. EJERCICIO 2. OPCIÓN B"
quiímica,2001,Conf. Electrónica,Reserva 3,Ejercicio 2 Opción B,"A(1s”2s?2p”); B(1s?2s”2p*); C(1s?2s”2p* 3s” 3p*4s') ; D(1s?2s”2p*).
Indique razonadamente: a) El grupo y periodo al que pertenece cada elemento. b) El elemento
de mayor y el de menor energía de ionización. c) El elemento de mayor y el de menor radio
atómico.
QUIÍMICA. 2001. RESERVA 3. EJERCICIO 2. OPCIÓN B"
quiímica,2001,Conf. Electrónica,Reserva 4,Ejercicio 2 Opcion A,"Dados los siguientes grupos de números cuánticos (n, 1, m): (3, 2, 0); (2, 3, 0); (3, 3, 2); (3, 0, 0);
(2, -1, 1); (4, 2, 0). Indique: a) Cuáles no son permitidos y por qué. b) Los orbitales atómicos
que se corresponden con los grupos cuyos números cuánticos sean posibles.
QUIÍMICA. 2001. RESERVA 4. EJERCICIO 2. OPCION A"
química,2001,Conf. Electrónica,Septiembre,Ejercicio 2 Opción A,"Defina: a) Energía de ionización. b) Afinidad electrónica. c) Electronegatividad.
QUÍMICA. 2001. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
quiímica,2002,Conf. Electrónica,Junio,Ejercicio 2 Opción A,"a) Defina afinidad electrónica.
b) ¿Qué criterio se sigue para ordenar los elementos en la tabla periódica?
€) ¿Justifique cómo varía la energía de ionización a lo largo de un periodo?
QUIÍMICA. 2002. JUNIO. EJERCICIO 2. OPCIÓN A"
quimica,2002,Conf. Electrónica,Reserva 1,Ejercicio 2 Opción A,"a) Escriba las configuraciones electrónicas de los iones siguientes: Na* (Z =11) y F- (Z=9).
b) Justifique que el ión Na* tiene menor radio que el ión F -.
e) Justifique que la energía de ionización del sodio es menor que la del flúor.
QUIMICA. 2002. RESERVA 1. EJERCICIO 2. OPCIÓN A"
quimica,2002,Conf. Electrónica,Reserva 2,Ejercicio 3 Opción B,"Dados los elementos A (Z = 13), B (Z =9) y C (Z=19)
a) Escriba sus configuraciones electrónicas.
b) Ordénelos de menor a mayor electronegatividad.
€) Razone cuál tiene mayor volumen.
QUIMICA. 2002. RESERVA 2. EJERCICIO 3. OPCIÓN B"
quimica,2002,Conf. Electrónica,Reserva 3,Ejercicio 2 Opcion A,"a) ¿Por qué el volumen atómico aumenta al bajar en un grupo de la tabla periódica?
b) ¿Por qué los espectros atómicos son discontinuos?
c) Defina el concepto de electronegatividad.
QUIMICA. 2002. RESERVA 3. EJERCICIO 2. OPCION A"
quiímica,2002,Conf. Electrónica,Reserva 4,Ejercicio 2 Opción A,"Dados los elementos cuyos números atómicos son 7, 17 y 20.
a) Escriba sus configuraciones electrónicas.
b) Razone a qué grupo y periodo de la tabla periódica pertenecen.
c) ¿Cuál será el ión más estable de cada uno? Justifique la respuesta.
QUIÍMICA. 2002. RESERVA 4. EJERCICIO 2. OPCIÓN A"
química,2002,Conf. Electrónica,Septiembre,Ejercicio 2 Opción B,"Razone si las siguientes configuraciones electrónicas son posibles en un estado fundamental o
en un estado excitado:
a) 1s”2s”2p*3s'.
b) 1s”2s?2p' 3s” 3p'.
e) 1s?2s”2p*24'35”.
QUÍMICA. 2002. SEPTIEMBRE. EJERCICIO 2. OPCIÓN B"
química,2003,Conf. Electrónica,Junio,Ejercicio 2 Opción A,"Dado el elemento de Z =19:
a) Escriba su configuración electrónica.
b) Indique a qué grupo y periodo pertenece.
c) ¿Cuáles son los valores posibles que pueden tomar los números cuánticos de su electrón más
externo?
QUÍMICA. 2003. JUNIO. EJERCICIO 2. OPCIÓN A"
química,2003,Conf. Electrónica,Reserva 1,Ejercicio 2 Opción A,"a) Indique cuáles de los siguientes grupos de números cuánticos son posibles para un electrón
, 1 1 1 1 1
en un átomo: [4,2,0,+5); (3,3,2,_í); [2,0,1,+5); (3,2,—2,—5]; [2,0,0,—5J
b) De las combinaciones de números cuánticos anteriores que sean correctas, indique el orbital
donde se encuentra el electrón.
c) Enumere los orbitales del apartado anterior en orden creciente de energía.
QUÍMICA. 2003. RESERVA 1. EJERCICIO 2. OPCIÓN A"
quimica,2003,Conf. Electrónica,Reserva 2,Ejercicio 2 Opción B,"Dadas las siguientes configuraciones electrónicas de la capa de valencia:
1) ns' 2) ns” np* 3) ns” np*
a) Indique el grupo al que corresponde cada una de ellas.
b) Nombre dos elementos de cada uno de los grupos anteriores.
c) Razone cuáles serán los estados de oxidación más estables de los elementos de esos grupos.
QUIMICA. 2003. RESERVA 2. EJERCICIO 2. OPCIÓN B"
quimica,2003,Conf. Electrónica,Reserva 3,Ejercicio 2 Opcion A,"a) Defina el concepto de energía de ionización de un elemento.
b) Justifique por qué la primera energía de ionización disminuye al descender en un grupo de
la tabla periódica.
c) Dados los elementos F, Ne y Na, ordénelos de mayor a menor energía de ionización.
QUIMICA. 2003. RESERVA 3. EJERCICIO 2. OPCION A"
quiímica,2003,Conf. Electrónica,Reserva 4,Ejercicio 3 Opción B,"a) Escriba las configuraciones electrónicas del cloro (Z = 17) y del potasio (Z = 19).
b) ¿Cuáles serán los iones más estables a que darán lugar los átomos anteriores?
€) ¿Cuál de esos iones tendrá menor radio? .
QUIÍMICA. 2003. RESERVA 4. EJERCICIO 3. OPCIÓN B"
quiímica,2003,Conf. Electrónica,Septiembre,Ejercicio 2 Opción A,"Cuatro elementos que llamaremos A, B, C y D tienen, respectivamente, los números atómicos:
2, 11, 17 y 25. Indique:
a) El grupo y el periodo al que pertenecen.
b) Cuáles son metales.
€) El elemento que tiene mayor afinidad electrónica. .
QUIÍMICA. 2003. SEPTIEMBRE. EJERCICIO 2. OPCIÓN A"
quiímica,2004,Conf. Electrónica,Junio,Ejercicio 2 Opción A,"La configuración electrónica de un átomo excitado de un elemento es 1s” 2s” 2p* 35 3p* 5s'.
Razone cuáles de las afirmaciones siguientes son correctas y cuáles falsas para ese elemento:
a) Pertenece al grupo de los alcalinos.
b) Pertenece al periodo 5 del sistema periódico.
c) Tiene carácter metálico.
QUIÍMICA. 2004. JUNIO. EJERCICIO 2. OPCIÓN A"
quimica,2004,Conf. Electrónica,Reserva 1,Ejercicio 2 Opcion A,"Los números atómicos de los elementos A, B y C son, respectivamente, 19, 31 y 36.
a) Escriba las configuraciones electrónicas de estos elementos.
b) Indique qué elementos, de los citados, tienen electrones desapareados.
) Indique los números cuánticos que caracterizan a esos electrones desapareados.
QUIMICA. 2004. RESERVA 1. EJERCICIO 2. OPCION A"
quimica,2004,Conf. Electrónica,Reserva 2,Ejercicio 2 Opción A,"Dados los siguientes grupos de números cuánticos:
A: (2,2, 1, 1/2) ; B: (3,2, 0, —1/2) ; C: (4, 2, 2, 0) ; D: (3, 1, 1, 1/2)
a) Razone qué grupos no son válidos para caracterizar un electrón.
b) Indique a qué orbitales corresponden los grupos permitidos.
QUIMICA. 2004. RESERVA 2. EJERCICIO 2. OPCIÓN A"
quimica,2004,Conf. Electrónica,Reserva 3,Ejercicio 2 Opción A,"Dadas las especies: CI- (Z=17), K* (Z=19) y Ar (Z=15):
a) Escriba la configuración electrónica de cada una de ellas.
b) Justifique cuál tendrá un radio mayor.
QUIMICA. 2004. RESERVA 3. EJERCICIO 2. OPCIÓN A"
quimica,2004,Conf. Electrónica,Reserva 4,Ejercicio 3 Opción B,"Los números atómicos de los elementos A, B y C son respectivamente 20, 27 y 34.
a) Escriba la configuración electrónica de cada elemento.
b) Indique qué elemento es el más electronegativo y cuál el de mayor radio.
) Indique razonadamente cuál o cuáles de los elementos son metales y cuál o cuáles no metales.
QUIMICA. 2004. RESERVA 4. EJERCICIO 3. OPCIÓN B"
quiímica,2004,Conf. Electrónica,Septiembre,Ejercicio 2 Opcion A,"Considere la serie de elementos: Li, Na, K, Rb y Cs.
a) Defina Energía de ionización.
b) Indique cómo varía la Energía de Ionización en la serie de los elementos citados.
c) Explique cuál es el factor determinante de esta variación.
QUIÍMICA. 2004. SEPTIEMBRE. EJERCICIO 2. OPCION A"
química,2005,Conf. Electrónica,Junio,Ejercicio 2 Opción A,"Dadas las siguientes configuraciones electrónicas externas:
ns' ; nsnp' ; ns”np”
a) Identifique el grupo del sistema periódico al que corresponde cada una de ellas.
b) Para el caso n=4, escriba la configuración electrónica completa del elemento de cada uno
de esos grupos y nómbrelo.
QUÍMICA. 2005. JUNIO. EJERCICIO 2. OPCIÓN A"
quimica,2005,Conf. Electrónica,Reserva 1,Ejercicio 3 Opción B,"Dadas las siguientes especies: Ar, Ca”*y Cl -.
a) Escriba sus configuraciones electrónicas.
b) Ordénelas, razonando la respuesta, en orden creciente de sus radios.
Números atómicos: Ar = 18; Ca = 20; Cl =17. .
QUIMICA. 2005. RESERVA 1. EJERCICIO 3. OPCIÓN B"
