subject,year,topic,exam,exercise,statement
química,2000,Equilibrio Químico,Junio,Ejercicio 3 Opción B,"En la tabla adjunta se recogen los valores, a distintas temperaturas, de la constante del
equilibrio químico:
280;(g) 2 2SO,(2g) + 0,(g)
T ( K) 298 400 600 800 1000
K 2'82-10 | 1'78-10-1* | 1'98-107* | 1'29-107* | 2'64-10”*
p
a) Justifique si la reacción anterior es endotérmica o exotérmica.
b) Explique cómo afecta al equilibrio un aumento de la presión, manteniendo constante la
temperatura.
€) Calcule, a 298 *K, la constante K, del equilibrio: 2SO,(g) + 0,(8) 2 2S0,(g)
QUÍMICA. 2000. JUNIO. EJERCICIO 3. OPCIÓN B"
quimica,2000,Equilibrio Químico,Reserva 1,Ejercicio 5 Opción A,"A 613* K, el valor de K, para la reacción: Fe,O,(s)+3H,(g) 2 2Fe(s) +3H,O(g) es 0%064. Si
en el equilibrio anterior, la presión parcial del hidrógeno es de una atmósfera, calcule:
a) La concentración de hidrógeno.
b) La presión total. .
QUIMICA. 2000. RESERVA 1. EJERCICIO 5. OPCIÓN A"
quimica,2000,Equilibrio Químico,Reserva 1,Ejercicio 3 Opción B,"Suponga el siguiente sistema en equilibrio: UO, (s) + 4 HF(g) 72 UF, (g8) +2H,0(g) .
Explique hacia dónde se desplaza el equilibrio cuando:
a) Se adiciona UO ,(s) al sistema.
b) Se elimina HF(g)
€) Se aumente la capacidad del recipiente de reacción. .
QUIMICA. 2000. RESERVA 1. EJERCICIO 3. OPCIÓN B"
quiímica,2000,Equilibrio Químico,Reserva 1,Ejercicio 4 Opción B,"a) Dibuje el diagrama de entalpía teniendo en cuenta que las energías de activación para la
reacción directa e inversa son 134 kJ/mol y 360 kJ/mol.
b) Justifique si la reacción directa es exotérmica o endotérmica.
QUIÍMICA. 2000. RESERVA 1. EJERCICIO 4. OPCIÓN B"
quimica,2000,Equilibrio Químico,Reserva 2,Ejercicio 3 Opción B,"Indique, razonadamente, si las siguientes afirmaciones son verdaderas o falsas:
a) La velocidad de una reacción aumenta al disminuir la temperatura a la que se realiza.
b) La velocidad de una reacción aumenta al disminuir la energía de activación.
c) La velocidad de una reacción disminuye al disminuir las concentraciones de los reactivos.
QUIMICA. 2000. RESERVA 2. EJERCICIO 3. OPCIÓN B"
quimica,2000,Equilibrio Químico,Reserva 2,Ejercicio 6 Opción B,"En un recipiente de 2 litros se introduce una cierta cantidad de NaHCO;, se extrae el aire
existente en el mismo, se cierra y se caliente a 400 “*C, produciéndose la reacción de
descomposición siguiente: 2 NaHCO, (s) ? Na,CO,(s) + CO,(g) + H,O(g)
Una vez alcanzado el equilibrio, la presión dentro del recipiente es de 0962 atm. Calcula:
a) La constante de equilibrio K, de esa reacción.
b) La cantidad de NaHCO, que se ha descompuesto expresada en moles y en gramos.
Magas atómicas: H = 1; C = 12; O = 16; Na = 23 .
QUIMICA. 2000. RESERVA 2. EJERCICIO 6. OPCIÓN B"
química,2000,Equilibrio Químico,Reserva 3,Ejercicio 6 Opción A,"la presión de una atmósfera y estableciéndose el equilibrio: SbCI.(g) 2 SbCl, (g) + Cl,(g)
Sabiendo que en las condiciones anteriores el SbCI; se disocia en un 29*2%. Calcule:
a) Las constantes de equilibrio K, y K,
b) La presión total necesaria para que, a esa temperatura, el SbCl; se disocie en un 60%
Datos: R=0'082 atm-L-K--mol”'
QUÍMICA. 2000. RESERVA 3. EJERCICIO 6. OPCIÓN A"
química,2000,Equilibrio Químico,Reserva 4,Ejercicio 6 Opción A,"A 523 K las concentraciones de PCI; ,PCI, y CI, en equilibrio para la reacción:
PCI,(2) 2 PCl (8) + Cl,(g)
son 07809 M, 0190 M y 0190 M, respectivamente. Calcule a esa temperatura:
a) Las presiones parciales de las tres especies en el equilibrio.
b) La constante KP de la reacción.
QUÍMICA. 2000. RESERVA 4. EJERCICIO 6. OPCIÓN A"
quiímica,2000,Equilibrio Químico,Septiembre,Ejercicio 6 Opcion A,"Para el equilibrio I, (g)+H,(g) 72 2HI(g), la constante de equilibrio K, es 548 a la
temperatura de 425* C. Calcule: a) Las concentraciones de todas las especies en el equilibrio si
se calientan, a la citada temperatura, 0”60 moles de HI y 0?10 moles de H, en un recipiente de
un litro de capacidad. b) El porcentaje de disociación del HI.
QUIÍMICA. 2000. SEPTIEMBRE. EJERCICIO 6. OPCION A"
química,2001,Equilibrio Químico,Junio,Ejercicio 3 Opción B,"Para una reacción hipotética: A +B — C, en unas condiciones determinadas, la energía de
activación de la reacción directa es 31 kJ, mientras que la energía de activación de la reacción
inversa es 42 kJ. a) Represente, en un diagrama energético, las energías de activación de la
reacción directa e inversa. b) La reacción directa, ¿es exotérmica o endotérmica? Razone la
respuesta. c) Indique cómo influirá en la velocidad de reacción la utilización de un catalizador.
QUÍMICA. 2001. JUNIO. EJERCICIO 3. OPCIÓN B"
