subject,year,topic,exam,exercise,statement
química,2000,Reacciones Redox,Junio,Ejercicio 6 Opción A,"Dada la siguiente reacción redox en disolución acuosa:
KMn0, + KI + H,SO, > I, + MnSO, + K,SO, + H,O
a) Ajustar la reacción por el método del ión-electrón.
b) Calcule los litros de disolución 2 M de permanganato de potasio necesarios para obtener 1
Kg de yodo.
Masas atómicas: I = 127; K = 39; O = 16; Mn =55
QUÍMICA. 2000. JUNIO EJERCICIO 6. OPCIÓN A"
quimica,2000,Reacciones Redox,Reserva 1,Ejercicio 5 Opción B,"Dada la reacción redox en disolución acuosa:
KI+H,SO, + K,Cr,O, > K,SO, + H,O+Cr,(SO,); + 1,
a) Ajuste por el método del ión-electrón la reacción.
b) Calcule la molaridad de la disolución de dicromato de potasio, si 30 mL de la misma
reaccionan con 60 mL de una disolución que contiene 80 g/L de yoduro de potasio.
Magas atómicas: O = 16; K = 39; Cr = 52; I= 127 .
QUIMICA. 2000. RESERVA 1. EJERCICIO 5. OPCIÓN B"
química,2000,Reacciones Redox,Reserva 2,Ejercicio 5 Opción A,"El ácido sulfúrico concentrado reacciona con el bromuro de potasio según la reacción:
H,SO, + KBr > K,SO, + Br, +SO, + H,O
a) Ajuste, por el método del ión-electrón, la reacción anterior.
b) Calcule el volumen de bromo líquido (densidad 2?92 g/cm*) que se obtendrá al tratar 901 g
de bromuro de potasio con suficiente cantidad de ácido sulfúrico.
Masas atómicas: K = 39; Br = 80
QUÍMICA. 2000. RESERVA 2. EJERCICIO 5. OPCIÓN A"
química,2000,Reacciones Redox,Reserva 3,Ejercicio 3 Opción A,"a) ¿Reaccionará una disolución acuosa de ácido clorhídrico con hierro metálico?
b) ¿Reaccionará una disolución acuosa de ácido clorhídrico con cobre?
e) ¿Qué ocurrirá si se añaden limaduras de hierro a una disolución de Cu”*?.
Justifique las respuestas.
Datos: E (Cu** /Cu) =0'34v ; E'(Fe”* / Fe) =-0'44v ; E'(H* /H,)=0v
QUÍMICA. 2000. RESERVA 3. EJERCICIO 3. OPCIÓN A"
quimica,2000,Reacciones Redox,Reserva 4,Ejercicio 3 Opcion A,"De las siguientes reacciones:
HCO +H* >CO, +H,0
CuO + NH; >N, + H,0+Cu
KCIO, > KCI+0,
a) Justifique si son todos procesos redox.
b) Escriba las semireacciones redox donde proceda. —
QUIMICA. 2000. RESERVA 4. EJERCICIO 3. OPCION A"
química,2000,Reacciones Redox,Reserva 4,Ejercicio 6 Opción B,"Al hacer la electrolisis del cloruro de sodio, se depositan 12 g de sodio en el cátodo. Calcule:
a) Los moles de cloro gaseoso liberados en el ánodo.
b) El volumen que ocupa el cloro del apartado anterior a 700 mm de Hg y 100 *C.
Masas atómicas: Na = 23; Cl = 355 .
QUÍMICA. 2000. RESERVA 4. EJERCICIO 6. OPCIÓN B"
quiímica,2000,Reacciones Redox,Septiembre,Ejercicio 3 Opción A,"Dados los potenciales normales de reducción E (Pb”* / Pb) =-0'13V y E' (Cu”* / Cu)=0'34V
a) Escriba las semirreacciones y la reacción ajustada de la pila formada. b) Calcule su fuerza
electromotriz e indique qué electrodo actúa como ánodo y cuál como cátodo.
QUIÍMICA. 2000. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
química,2000,Reacciones Redox,Septiembre,Ejercicio 6 Opción B,"Al pasar una corriente eléctrica por una disolución acuosa de nitrato de cobalto (IN) se
desprende oxígeno en el ánodo y se deposita cobalto en el cátodo. Calcule:
a) La intensidad de la corriente que se necesita para depositar 842 g de Co de una disolución
acuosa de Co(NO;), en 35 minutos.
b) El volumen de oxígeno gaseoso, medido en condiciones normales, que se desprende en el
ánodo.
Datgs: F = 96500 C. Masas atómicas: N = 14; O = 16; Co = 59
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 6. OPCIÓN B"
quiímica,2001,Reacciones Redox,Junio,Ejercicio 5 Opcióon A,"K,SO,.
a) Ajuste la reacción molecular por el método del ion-electrón. b) ¿Qué volumen de O, medido
a 1520 mm de mercurio y 125 *C se obtiene a partir de 100 g de KMn0, ?
R = 07082 atm-L-K--mol "". Masas atómicas: C = 12; O = 16; K = 39; Mn = 55.
QUIÍMICA. 2001. JUNIO. EJERCICIO 5. OPCIÓON A"
quimica,2001,Reacciones Redox,Reserva 1,Ejercicio 6 Opción B,"Por una cuba electrolítica que contiene cloruro de cobre (IN) fundido, circula una corriente
eléctrica de 3 A durante 45 minutos. Calcule: a) La masa de cobre que se deposita. b) El
volumen de cloro que se desprende, medido en condiciones normales.
Datos: F = 96500 C; Masa atómica: Cu = 63'5.
QUIMICA. 2001. RESERVA 1. EJERCICIO 6. OPCIÓN B"
