subject,year,topic,exam,exercise,statement
Química,2000,Termoquímica,Reserva 1,Ejercicio 4 Opción B,"a) Dibuje el diagrama de entalpía teniendo en cuenta que las energías de activación para la
reacción directa e inversa son 134 kJ/mol y 360 kJ/mol.
b) Justifique si la reacción directa es exotérmica o endotérmica.
QUIÍMICA. 2000. RESERVA 1. EJERCICIO 4. OPCIÓN B"
Química,2000,Termoquímica,Reserva 2,Ejercicio 6 Opción A,"El amoniaco, a 25 “C y 1 atm, se puede oxidar según la reacción:
4NH;(g)+50,(g) > 4NO(g) + 6 H,O(1)
Calcule: a) La variación de entalpía. b) La variación de energía interna.
Datos: R=8'31J-K""-mol""; AH?[NH,(g)]=- 46'2kJ/mol; — AH?[NO(g)]=90""'4kJ/mol ;
AH?[H,O(1)]=-— 285'SkJ/mol
QUÍMICA. 2000. RESERVA 2. EJERCICIO 6. OPCIÓN A"
Química,2000,Termoquímica,Reserva 3,Ejercicio 5 Opción B,"a) Calcule la variación de entalpía estándar correspondiente a la reacción:
ZnS(s) + %Oz(g) —> Zn0(s) + SO,(g)
b) ¿Qué calor se absorbe o desprende, a presión constante, cuando reaccionan 100 g de ZnS(s)
con oxígeno en exceso?
Datos: AH?[ZnS(s)]=-— 202'9kJ/mol ; AH?[ZnO(s)]= — 348kJ/mol ;
AH?[SO,(g)]=-— 296'1kJ/mol
Magas atómicas: O = 16; S = 32; Zn = 654 .
QUÍMICA. 2000. RESERVA 3. EJERCICIO 5. OPCIÓN B"
Química,2000,Termoquímica,Reserva 4,Ejercicio 5 Opcion A,"a) Calcule la variación de entalpía estándar de formación del acetileno (etino) a partir de las
entalpías estándares de combustión (kJ/mol) de hidrógeno, C (grafito) y acetileno cuyos valores
son, respectivamente: —285'3;—393'3 y —1298'3.
b) Calcule el calor desprendido, a presión constante, cuando se quema 1 Kg de acetileno.
Masas atómicas: H = 1; C=12 .
QUIMICA. 2000. RESERVA 4. EJERCICIO 5. OPCION A"
Química,2000,Termoquímica,Septiembre,Ejercicio 3 Opción B,"Indique razonadamente si las siguientes afirmaciones son verdaderas o falsas:
a) Toda reacción exotérmica es espontánea.
b) En toda reacción química espontánea, la variación de entropía es positiva.
c) En el cambio de estado H,O(1) > H,O(g) se produce un aumento de entropía.
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 3. OPCIÓN B"
Química,2001,Termoquímica,Reserva 1,Ejercicio 5 Opción A,"a) Calcule la variación de entalpía que se produce cuando se obtiene benceno a partir del
acetileno (etino) según la reacción: 3C,H,(g)>C¿H,(1) sabiendo que las entalpías de
formación del acetileno gaseoso y del benceno líquido son —226'7 kJ/mol y —49 kJ/mol,
respectivamente. b) Calcule el calor producido, a presión constante, cuando se queman 100 g de
acetileno gaseoso sabiendo que:
AH ""[CO,(g)]=-393'5 kJ/mol y AH,[H,O()]=-285'5 kJ/mol .
Masas atómicas: H = 1; C = 12.
QUÍMICA. 2001. RESERVA 1. EJERCICIO 5. OPCIÓN A"
Química,2001,Termoquímica,Reserva 1,Ejercicio 2 Opción B,"En una reacción en la que AH <0 y AS<0, se considera que ambas funciones termodinámicas
permanecen constantes al cambiar la temperatura. Razone, en función de la temperatura,
cuándo esta reacción: a) Estará en equilibrio. b) Será espontánea.
QUIÍMICA. 2001. RESERVA 1. EJERCICIO 2. OPCIÓN B"
Química,2001,Termoquímica,Reserva 2,Ejercicio 4 Opción A,"Dada reacción: N,O(g) > N,(g) +%Oz(g) AH = 43kJ y AS=80J/K
a) Justifique el signo positivo de la variación entropía. b) Si se supone que esas funciones
termodinámicas no cambian con la temperatura ¿será espontánea la reacción a 27 C?
QUIÍMICA. 2001. RESERVA 2. EJERCICIO 4. OPCIÓN A"
Química,2001,Termoquímica,Reserva 2,Ejercicio 6 Opción B,"Dada la reacción: CaCO,(s) > CaO(s)+CO,(g)
a) Determine la cantidad de calor, a presión constante, que es necesario suministrar para
descomponer 3 kg de carbonato de calcio. b) Qué cantidad de carbonato de calcio se deberá
utilizar para producir 7 kg de óxido de calcio si el rendimiento es del 90%.
Datos: Entalpías de formación expresadas en kJ/mol: (CaCO,)=-1209'6; (CO,)=-393'3;
(Ca0) = —-635'1. Masas atómicas: C = 12; O = 16; Ca = 40.
QUÍMICA. 2001. RESERVA 2. EJERCICIO 6. OPCIÓN B"
Química,2001,Termoquímica,Reserva 3,Ejercicio 5 Opción A,"La reacción entre la hidracina (N,H,) y el peróxido de hidrógeno (H,O,) se utiliza para la
propulsión de cohetes:
N,H,(1)+2H,0,(1) > N,(g) +4H,0(1) AH=-710kJ
Las entalpías de formación de H,O,(1) y del H,O(1) son —1878 kJ/mol y —285”5 kJ/mol,
respectivamente. a) Calcule la entalpía de formación de la hidracina. b) ¿Qué volumen de
nitrógeno, medido a —10* C y 50 mm de mercurio, se producirá cuando reaccionen 64 g de
hidracina?
Datos: R = 07082 atm-L-K--mol !. Masas atómicas: H = 1; N = 14; O = 16.
QUÍMICA. 2001. RESERVA 3. EJERCICIO 5. OPCIÓN A"
