subject,year,topic,exam,exercise,statement
Química,2000,Ácido Base,Junio,Ejercicio 4 Opción A,"Complete los siguientes equilibrios ácido-base identificando, de forma razonada, los pares
ácido- base conjugados:
+H,0 =C0,” +H,O*
b) NH, +0H =H,
e) F+H,0O =0H +
QUÍMICA. 2000. JUNIO EJERCICIO 4. OPCIÓN A"
Química,2000,Ácido Base,Junio,Ejercicio 6 Opción B,"a) Calcule los gramos del ácido acético CH,COOH que se deben disolver en agua para obtener
500 mL de una disolución que tenga un pH = 272.
b) Describa el material y el procedimiento a seguir para preparar la disolución anterior.
Datos: K, =1'8-10*; Masas atómicas: H = 1; C=12;0=16
QUÍMICA. 2000. JUNIO. EJERCICIO 6. OPCIÓN B"
Química,2000,Ácido Base,Reserva 1,Ejercicio 3 Opción A,"La fenolftaleína es un indicador ácido-base que cambia de incoloro a rosa en el intervalo de pH
8 (incoloro) a pH 95 (rosa).
a) ¿Qué color presentará este indicador en una disolución acuosa de cloruro amónico, NH,CI?.
b) ¿Qué color presentará este indicador en una disolución de NaOH 10” M?. Razone las
respuestas. )
QUÍMICA. 2000. RESERVA 1. EJERCICIO 3. OPCIÓN A"
Química,2000,Ácido Base,Reserva 1,Ejercicio 6 Opción B,"A 15 g de ácido acético (CH,COOH) se añade la cantidad suficiente de agua para obtener 500
mL de disolución. Calcule:
a) El pH de la disolución que resulta.
b) El grado de disociación del ácido acético.
Datos: K, = 1'S-107?: Masas atómicas: H=1;C=12;0=16
QUÍMICA. 2000. RESERVA 1. EJERCICIO 6. OPCIÓN B"
Química,2000,Ácido Base,Reserva 2,Ejercicio 3 Opción A,"a) Escriba el equilibrio de hidrólisis del ión amonio (NH,*), identificando en el mismo las
especies que actúan como ácido o como base de Brónsted.
b) Razone cómo variará la concentración de ión amonio al añadir una disolución de NaOH.
c) Razone cómo variará la concentración de ión amonio al añadir una disolución de HCI.
QUÍMICA. 2000. RESERVA 2. EJERCICIO 3. OPCIÓN A"
Química,2000,Ácido Base,Reserva 3,Ejercicio 5 Opción A,"a) Calcule los gramos de NaOH que se necesitan para preparar 250 mL de una disolución
acuosa de pH = 13.
b) Describa el material necesario y el procedimiento a seguir para preparar la disolución de
NaOH.
Masas atómicas: H = 1; O = 16; Na = 23
QUÍMICA. 2000. RESERVA 3. EJERCICIO 5. OPCIÓN A"
Química,2000,Ácido Base,Reserva 3,Ejercicio 3 Opción B,"En 500 mL de una disolución acuosa 01 M de NaOH
a) ¿Cuál es la concentración de iones OH” ?.
b) ¿Cuál es la concentración de iones H,O* ?.
€) ¿Cuál es el pH?.
QUÍMICA. 2000. RESERVA 3. EJERCICIO 3. OPCIÓN B"
Química,2000,Ácido Base,Reserva 4,Ejercicio 4 Opción A,"Se preparan disoluciones acuosas de las siguientes sales: CaCl, ,NH,Cl y Na,CO,. Indique
razonadamente el carácter ácido, básico o neutro de las mismas.
QUÍMICA. 2000. RESERVA 4. EJERCICIO 4. OPCIÓN A"
Química,2000,Ácido Base,Reserva 4,Ejercicio 5 Opción B,"A 25 “C, la constante del equilibrio:
NH, +H,0 2 NH,* +0H”
es 1'8-107*. Se añaden 7 gramos de amoniaco a la cantidad de agua necesaria para obtener
500 mL de disolución.
a) Calcule el pH de la disolución.
b) Calcule el grado de disociación del amoniaco.
Masas atómicas: H = 1; N= 14
QUÍMICA. 2000. RESERVA 4. EJERCICIO 5. OPCIÓN B"
Química,2000,Ácido Base,Septiembre,Ejercicio 4 Opción A,"a) Aplicando la teoría de Brónsted y Lowry, en disolución acuosa, razone si son ácidos o bases
las especies HCO,” y NH,. b) Indique cuáles son las bases conjugadas de los ácidos H,O* y
HNO,.. c) Indique cuáles son los ácidos conjugados de las bases CI” y HSO,”.
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 4. OPCIÓN A"
Química,2000,Ácido Base,Junio,Ejercicio 4 Opción A,"Complete los siguientes equilibrios ácido-base identificando, de forma razonada, los pares
ácido- base conjugados:
+H,0 =C0,” +H,O*
b) NH, +0H =H,
e) F+H,0O =0H +
QUÍMICA. 2000. JUNIO EJERCICIO 4. OPCIÓN A"
Química,2000,Ácido Base,Junio,Ejercicio 6 Opción B,"a) Calcule los gramos del ácido acético CH,COOH que se deben disolver en agua para obtener
500 mL de una disolución que tenga un pH = 272.
b) Describa el material y el procedimiento a seguir para preparar la disolución anterior.
Datos: K, =1'8-10*; Masas atómicas: H = 1; C=12;0=16
QUÍMICA. 2000. JUNIO. EJERCICIO 6. OPCIÓN B"
Química,2000,Ácido Base,Reserva 1,Ejercicio 3 Opción A,"La fenolftaleína es un indicador ácido-base que cambia de incoloro a rosa en el intervalo de pH
8 (incoloro) a pH 95 (rosa).
a) ¿Qué color presentará este indicador en una disolución acuosa de cloruro amónico, NH,CI?.
b) ¿Qué color presentará este indicador en una disolución de NaOH 10” M?. Razone las
respuestas. )
QUÍMICA. 2000. RESERVA 1. EJERCICIO 3. OPCIÓN A"
Química,2000,Ácido Base,Reserva 1,Ejercicio 6 Opción B,"A 15 g de ácido acético (CH,COOH) se añade la cantidad suficiente de agua para obtener 500
mL de disolución. Calcule:
a) El pH de la disolución que resulta.
b) El grado de disociación del ácido acético.
Datos: K, = 1'S-107?: Masas atómicas: H=1;C=12;0=16
QUÍMICA. 2000. RESERVA 1. EJERCICIO 6. OPCIÓN B"
Química,2000,Ácido Base,Reserva 2,Ejercicio 3 Opción A,"a) Escriba el equilibrio de hidrólisis del ión amonio (NH,*), identificando en el mismo las
especies que actúan como ácido o como base de Brónsted.
b) Razone cómo variará la concentración de ión amonio al añadir una disolución de NaOH.
c) Razone cómo variará la concentración de ión amonio al añadir una disolución de HCI.
QUÍMICA. 2000. RESERVA 2. EJERCICIO 3. OPCIÓN A"
Química,2000,Ácido Base,Reserva 3,Ejercicio 5 Opción A,"a) Calcule los gramos de NaOH que se necesitan para preparar 250 mL de una disolución
acuosa de pH = 13.
b) Describa el material necesario y el procedimiento a seguir para preparar la disolución de
NaOH.
Masas atómicas: H = 1; O = 16; Na = 23
QUÍMICA. 2000. RESERVA 3. EJERCICIO 5. OPCIÓN A"
Química,2000,Ácido Base,Reserva 3,Ejercicio 3 Opción B,"En 500 mL de una disolución acuosa 01 M de NaOH
a) ¿Cuál es la concentración de iones OH” ?.
b) ¿Cuál es la concentración de iones H,O* ?.
€) ¿Cuál es el pH?.
QUÍMICA. 2000. RESERVA 3. EJERCICIO 3. OPCIÓN B"
Química,2000,Ácido Base,Reserva 4,Ejercicio 4 Opción A,"Se preparan disoluciones acuosas de las siguientes sales: CaCl, ,NH,Cl y Na,CO,. Indique
razonadamente el carácter ácido, básico o neutro de las mismas.
QUÍMICA. 2000. RESERVA 4. EJERCICIO 4. OPCIÓN A"
Química,2000,Ácido Base,Reserva 4,Ejercicio 5 Opción B,"A 25 “C, la constante del equilibrio:
NH, +H,0 2 NH,* +0H”
es 1'8-107*. Se añaden 7 gramos de amoniaco a la cantidad de agua necesaria para obtener
500 mL de disolución.
a) Calcule el pH de la disolución.
b) Calcule el grado de disociación del amoniaco.
Masas atómicas: H = 1; N= 14
QUÍMICA. 2000. RESERVA 4. EJERCICIO 5. OPCIÓN B"
Química,2000,Ácido Base,Septiembre,Ejercicio 4 Opción A,"a) Aplicando la teoría de Brónsted y Lowry, en disolución acuosa, razone si son ácidos o bases
las especies HCO,” y NH,. b) Indique cuáles son las bases conjugadas de los ácidos H,O* y
HNO,.. c) Indique cuáles son los ácidos conjugados de las bases CI” y HSO,”.
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 4. OPCIÓN A"
Química,2001,Ácido Base,Junio,Ejercicio 3 Opción A,"a) ¿Cuál es el pH de 50 mL de una disolución de HCl 05 M? b) Si añadimos agua a los 50 mL
de la disolución anterior hasta alcanzar un volumen de 500 mL, ¿cuál será el nuevo pH?
c) Describa el procedimiento a seguir y el material necesario para preparar la disolución más
diluida.
QUÍMICA. 2001. JUNIO. EJERCICIO 3. OPCIÓN A"
