subject,year,topic,exam,exercise,statement
Química,2000,Reactividad Orgánica,Junio,Ejercicio 4 Opción B,"Complete y ajuste las siguientes reacciones orgánicas:
a) CH,CH,COOH + CH,CH,OH >
b) CH,CH = CH, + H, >
c) C,H,, +0, >
QUÍMICA. 2000. JUNIO. EJERCICIO 4. OPCIÓN B"
Química,2000,Reactividad Orgánica,Reserva 2,Ejercicio 4 Opción B,"sustitución) a que corresponden.
a) CH,CH = CH, + H,0 >
H,SO,
b) C-H; (benceno) + HNO, ———>
c) CH,CHBrCH, — > HBr +
QUÍMICA. 2000. RESERVA 2. EJERCICIO 4. OPCIÓN B"
Química,2000,Reactividad Orgánica,Reserva 3,Ejercicio 4 Opción A,"Complete las siguientes reacciones y ajuste la de combustión:
Luz
a) CH,CH, +CI, —>
b) C,H,+0,—*>
H,SO,:Calor
c) CH,CH,OH —9s€ 5
QUÍMICA. 2000. RESERVA 3. EJERCICIO 4. OPCIÓN A"
Química,2000,Reactividad Orgánica,Reserva 4,Ejercicio 4 Opción B,"Defina serie homologa e indique cuáles de los siguientes compuestos pertenecen a la misma
serie que CH,OH : a) CH,CH,CH,CH,OH ; b) CH,CH,OH ; c)CH,COOH
QUÍMICA. 2000. RESERVA 4. EJERCICIO 4. OPCIÓN B"
Química,2000,Reactividad Orgánica,Septiembre,Ejercicio 4 Opción B,"Dados los siguientes compuestos orgánicos: CH,CH,CH,; CH,OH; CH, = CHCH;. Indique
razonadamente:
a) ¿Cuál es soluble en agua?.
b) ¿Cuáles son hidrocarburos?.
c) ¿Cuál presenta reacciones de adición?.
QUIMICA. 2000. SEPTIEMBRE. EJERCICIO 4. OPCIÓN B"
Química,2001,Reactividad Orgánica,Junio,Ejercicio 4 Opción B,"Ponga un ejemplo de cada una de las siguientes reacciones: a) Adición a un alqueno.
b) Spstitución en un alcano. c) Deshidratación de¡un alcohol.
QUIÍMICA. 2001. JUNIO. EJERCICIO 4. OPCIÓN B"
Química,2001,Reactividad Orgánica,Reserva 1,Ejercicio 4 Opción A,"Indique el tipo de hibridación que presenta cada uno de los átomos de carbono en las siguientes
moléculas: a) CH,C = CCH,; b) CH,CH = CHCH, ; c) CH,CH,CH,CH,
QUÍMICA. 2001. RESERVA 1. EJERCICIO 4. OPCIÓN A"
Química,2001,Reactividad Orgánica,Reserva 2,Ejercicio 4 Opción B,"Complete las siguientes reacciones e indique el tipo al que pertenecen:
a) CH=CH+HCI>
b) BrCH, - CH,Br — F0 52 KBr +
c) CH,CH,CH, +Cl, ——>HCI +
QUÍMICA. 2001. RESERVA 2. EJERCICIO 4. OPCIÓN B"
Química,2001,Reactividad Orgánica,Reserva 3,Ejercicio 2 Opción A,"Dadas las moléculas CH,, C,H,, C,H,, razone si las siguientes afirmaciones son verdaderas o
falsas: a) En la molécula C,H, los dos átomos de carbono presentan hibridación sp”. b) El
átomo de carbono de la molécula CH, posee hibridación sp”*. c) La molécula de C,H, es
lineal.
QUÍMICA. 2001. RESERVA 3. EJERCICIO 2. OPCIÓN A"
Química,2001,Reactividad Orgánica,Reserva 3,Ejercicio 4 Opción B,"Complete las siguientes reacciones e indique de qué tipo son:
a) CH,CH=CH, + HBr >
b) CH,CH,CH, +CI, —>
c) CAH=CH+H, — 5
QUÍMICA. 2001. RESERVA 3. EJERCICIO 4. OPCIÓN B"
Química,2001,Reactividad Orgánica,Reserva 4,Ejercicio 4 Opción A,"Las fórmulas moleculares de tres hidrocarburos lineales son: C,H;, C,H,, y C.H,, . Razone si
son verdaderas o falsas las siguientes afirmaciones: a) Los tres pertenecen a la misma serie
homóloga. b) Los tres presentan reacciones de adición. c) Los tres poseen átomos de carbono
con hibridación sp*.
QUÍMICA. 2001. RESERVA 4. EJERCICIO 4. OPCIÓN A"
Química,2001,Reactividad Orgánica,Septiembre,Ejercicio 4 Opción A,"Razone si son verdaderas o falsas las siguientes afirmaciones: a) El punto de ebullición del
butano es menor que el de 1-butanol. b) La molécula CHCI, posee una geometría tetraédrica
con el átomo de carbono ocupando la posición central. c) El etano es más soluble en agua que el
etanol.
QUÍMICA. 2001. SEPTIEMBRE. EJERCICIO 4. OPCIÓN A"
Química,2002,Reactividad Orgánica,Junio,Ejercicio 4 Opción A,"Complete las siguientes reacciones y ajuste la que corresponda a una combustión:
a) CH,CH = CHCH, + H, >
b) CH,CH, +0, >
c) CH, +Cl, —>
QUÍMICA. 2002. JUNIO. EJERCICIO 4. OPCIÓN A"
Química,2002,Reactividad Orgánica,Reserva 1,Ejercicio 4 Opción A,"Los compuestos CH,CH,OH y CH,;CH,CH, tienen masas moleculares similares. Indique,
justificando la respuesta:
a) Cuál tiene mayor punto de fusión.
b) Cuál de ellos puede experimentar una reacción de eliminación y escríbala.
QUÍMICA. 2002. RESERVA 1. EJERCICIO 4. OPCIÓN A"
Química,2002,Reactividad Orgánica,Reserva 3,Ejercicio 4 Opción B,"Dados 1los  compuestos:  2-butanol, CH,CHOHCH,CH,, 1y 3-metilbutanol,
CH,CH(CH, )CH,CH,OH, responda, razonadamente, a las siguientes cuestiones:
a) ¿Son isómeros entre sí?
b) ¿Presenta alguno de ellos isomería óptica?
QUIÍMICA. 2002. RESERVA 3. EJERCICIO 4. OPCIÓN B"
Química,2002,Reactividad Orgánica,Reserva 4,Ejercicio 4 Opción A,"a) Defina serie homóloga.
b) Escriba la fórmula de un compuesto que pertenezca a la misma serie homóloga de cada uno
de los que aparecen a continuación: CH,CH, ; CH,CH,CH,OH ; CH,CH,NH, .
QUÍMICA. 2002. RESERVA 4. EJERCICIO 4. OPCIÓN A"
Química,2002,Reactividad Orgánica,Septiembre,Ejercicio 4 Opción B,"Ponga un ejemplo de los siguientes tipos de reacciones:
a) Reacción de adición a un alqueno.
b) Reacción de sustitución en un alcano.
c) Reacción de eliminación de HCI en un cloruro de alquilo.
QUIÍMICA. 2002. SEPTIEMBRE. EJERCICIO 4. OPCIÓN B"
Química,2003,Reactividad Orgánica,Junio,Ejercicio 4 Opción A,"Defina los siguientes conceptos y ponga un ejemplo de cada uno de ellos:
a) Serie homóloga.
b) Isomería de cadena.
() Igomería geométrica. ,
QUÍMICA. 2003. JUNIO. EJERCICIO 4. OPCIÓN A"
Química,2003,Reactividad Orgánica,Reserva 1,Ejercicio 4 Opción A,"Complete las siguientes reacciones orgánicas e indique de qué tipo son:
a) CH,CH,CH,OH — MSOgcalor _y +H,0
b) CH,CH,CH=CH, +HI >
c) C-H,(benceno) + HNO, — > +H,0
QUÍMICA. 2003. RESERVA 1. EJERCICIO 4. OPCIÓN A"
