subject,year,topic,exam,exercise,statement
química,2000,2000,Reserva 1,Ejercicio 5 Opcion A,"b) La presión total. .
QUÍMICA. 2000. RESERVA 1. EJERCICIO 5. OPCION A"
química,2000,2000,Reserva 1,Ejercicio 3 Opción B,"b) Se elimina HF(g)
C) Se aumente la capacidad del recipiente de reacción.
QUÍMICA. 2000. RESERVA 1. EJERCICIO 3. OPCIÓN B"
química,2000,2000,Reserva 2,Ejercicio 3 Opción B,"C) La velocidad de una reacción disminuye al disminuir las concentraciones de los reactivos.
QUÍMICA. 2000. RESERVA 2. EJERCICIO 3. OPCIÓN B"
química,2000,2000,Reserva 2,Ejercicio 6 Opción B,"2 NaHCO,(s)  Na,CO,(s) + CO,(g) + H,O(g)
Una vez alcanzado el equilibrio, la presión dentro del recipiente es de 0?962 atm. Calcula:
a) La constante de equilibrio K, de esa reacción.
b) La cantidad de NaHCO, que se ha descompuesto expresada en moles y en gramos.
Masas atómicas: H = 1; C = 12; O = 16; Na = 23
QUÍMICA. 2000. RESERVA 2. EJERCICIO 6. OPCIÓN B"
química,2000,2000,Reserva 3,Ejercicio 6 Opción A,"Sabiendo que en las condiciones anteriores el SbCI, se disocia en un 29”2%. Calcule.
a) Las constantes de equilibrio K, y K,
b) La presión total necesaria para que, a esa temperatura, el SbCI; se disocie en un 60%
Datos: R =0'082 atm-L-K+*-mol*
QUÍMICA. 2000. RESERVA 3. EJERCICIO 6. OPCIÓN A"
química,2000,2000,Reserva 4,Ejercicio 6 Opción A,"a) Las presiones parciales de las tres especies en el equilibrio.
b) La constante K, de la reacción.
QUÍMICA. 2000. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química,2000,2000,Septiembre,Ejercicio 6 Opción A,"un litro de capacidad. b) El porcentaje de disociación del HI.
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
química,2001,2001,Junio,Ejercicio 4 Opción A,"equilibrio. c) Introducir H, en la mezcla en equilibrio.
QUÍMICA. 2001. JUNIO. EJERCICIO 4. OPCIÓN A"
química,2001,2001,Junio,Ejercicio 3 Opción B,"reacción directa e inversa. b) La reacción directa, ¿es exotérmica o endotérmica? Razone la
respuesta. c) Indique cómo influirá en la velocidad de reacción la utilización de un catalizador.
QUÍMICA. 2001. JUNIO. EJERCICIO 3. OPCIÓN B"
química,2001,2001,Junio,Ejercicio 6 Opción B,"reacción: H,(g)+1,(8) — 2HI(g)
b) El valor de la constante K, a la misma temperatura.
QUÍMICA. 2001. JUNIO. EJERCICIO 6. OPCIÓN B"
química,2001,2001,Reserva 1,Ejercicio 3 Opción A,"Indique razonadamente, cómo se afectaría la posición del equilibrio si permaneciendo
constante la temperatura: a) Se retira CO, del sistema. b) Se adiciona H,O al sistema. c) Se
retira parte de NaHCO, del sistema.
QUÍMICA. 2001. RESERVA 1. EJERCICIO 3. OPCIÓN A"
química,2001,2001,Reserva 1,Ejercicio 5 Opción B,"atómico en el equilibrio. b) ¿Cuál es el grado de disociación del Br, ?
QUÍMICA. 2001. RESERVA 1. EJERCICIO 5. OPCIÓN B"
química,2001,2001,Reserva 2,Ejercicio 3 Opción A,"Temperatura(” C) 25 200 | 300 400 500
K. 6-10* | 0765 | 07011 | 6'2-10* | 7'4-10*
Indique, razonadamente, si las siguientes afirmaciones son verdaderas o falsas: a) La reacción
directa es endotérmica. b) Un aumento de la presión sobre el sistema en equilibrio favorece la
obtención de amoniaco.
QUÍMICA. 2001. RESERVA 2. EJERCICIO 3. OPCIÓN A"
química,2001,2001,Reserva 2,Ejercicio 5 Opción B,"a) Las concentraciones de cada componente en el equilibrio. b) El valor de las constantes de
equilibrio K, y K, a esa temperatura.
Datos : R = 07082 atm-L-K-mol .
QUÍMICA. 2001. RESERVA 2. EJERCICIO 5. OPCIÓN B"
química,2001,2001,Reserva 3,Ejercicio 6 Opción A,"Calcule: a) La presión parcial de cada gas en el equilibrio. b) Las constantes K, y K, aesa
temperatura.
Datos: R = 07082 atm-L-K-.mol .
QUÍMICA. 2001. RESERVA 3. EJERCICIO 6. OPCIÓN A"
química,2001,2001,Reserva 3,Ejercicio 3 Opción B,"100
80
z 60
Reactivos
40
Productos
20
Coordenada de reacción
a) ¿Cuál es el valor de la energía de activación de la reacción catalizada?
b) ¿Cuál es el valor de la entalpía de la reacción?
c) ¿Qué efecto producirá un aumento de la temperatura en la velocidad de la reacción?
QUÍMICA. 2001. RESERVA 3. EJERCICIO 3. OPCIÓN B"
química,2001,2001,Reserva 4,Ejercicio 6 Opción A,"del mismo.
Datos: K, =0'114. Masas atómicas: N = 14; O = 16.
QUÍMICA. 2001. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química,2001,2001,Reserva 4,Ejercicio 4 Opción B,"sistema.
QUÍMICA. 2001. RESERVA 4. EJERCICIO 4. OPCIÓN B"
química,2001,2001,Septiembre,Ejercicio 3 Opción A,"obtención de N, y O,.
QUÍMICA. 2001. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
química,2001,2001,Septiembre,Ejercicio 6 Opción B,"Si cuando se alcanza el equilibrio, la presión total es de 6 atm, calcule: a) Los moles iniciales de
H,. b) Los moles en el equilibrio de todas las especies químicas presentes.
Datos: R = 0?082 atm-L-K - .mol "". K, =4'4
QUÍMICA. 2001. SEPTIEMBRE. EJERCICIO 6. OPCIÓN B"
química,2002,2002,Junio,Ejercicio 3 Opcion A,"falsas:
a) Hay doble número de moles de amoniaco de los que había inicialmente de N,.
b) La presión parcial de nitrógeno será mayor que la presión parcial de hidrógeno.
e) La presión total será igual a la presión de amoniaco elevada al cuadrado.
QUÍMICA. 2002. JUNIO. EJERCICIO 3. OPCION A"
química,2002,2002,Junio,Ejercicio 6 Opción B,"calcule:
a) El número de moles de PCI,; iniciales.
b) La constante K a esa temperatura.
Dato: R = 07082 atm-L-K-'.mol”'.
QUÍMICA. 2002. JUNIO. EJERCICIO 6. OPCIÓN B"
quimica,2002,2002,Reserva 1,Ejercicio 3 Opcion A,"a) Se añade N,
b) Se disminuye la temperatura
c) Se aumenta el volumen del reactor, manteniendo constante la temperatura.
QUIMICA. 2002. RESERVA 1. EJERCICIO 3. OPCION A"
química,2002,2002,Reserva 1,Ejercicio 5 Opción B,"a) El número de moles de H,, I, y de HI.
b) La presión total en el recipiente y el valor de K,.
Dato: R = 07082 atm-L-K-'-mol !.
QUÍMICA. 2002. RESERVA 1. EJERCICIO 5. OPCIÓN B"
química,2002,2002,Reserva 2,Ejercicio 3 Opción A,"b) K, es igual a la presión parcial del CO,.
€) K, y K, son iguales.
QUÍMICA. 2002. RESERVA 2. EJERCICIO 3. OPCIÓN A"
química,2002,2002,Reserva 2,Ejercicio 5 Opción B,"a) Los datos que faltan en la tabla:
Moles iniciales
Variación en el n* de moles al alcanzar el equilibrio
N* de moles en el equilibrio
b) La constante de equilibrio K,.
Dato: R = 07082 atm-L-K-'-mol”'.
QUÍMICA. 2002. RESERVA 2. EJERCICIO 5. OPCIÓN B"
química,2002,2002,Reserva 3,Ejercicio 3 Opción B,"b) La energía de activación de la reacción directa es mayor que la energía de activación de la
reacción inversa.
c) La energía de la reacción química es igual a la diferencia entre las energías de activación de
la reacción inversa y directa.
COORDENADA DE REACCIÓN
QUÍMICA. 2002. RESERVA 3. EJERCICIO 3. OPCIÓN B"
química,2002,2002,Reserva 3,Ejercicio 6 Opción B,"Una vez establecido el equilibrio la presión total en el interior del recipiente es 0775 atm.
Calcule:
a) Las constantes de equilibrio K, y K,.
b) El porcentaje de hidrógenosulfuro de amonio que se ha descompuesto.
Datos: R = 0/082 atm-L-K-'-mol "". Masas atómicas: H = 1, N = 14; S =32.
QUÍMICA. 2002. RESERVA 3. EJERCICIO 6. OPCIÓN B"
química,2002,2002,Reserva 4,Ejercicio 6 Opción A,"una vez alcanzado el equilibrio:
a) El grado de disociación del N,O,.
b) Las presiones parciales de N,O, y de NO, .
Dato: R = 0/082 atm-L-K-'-.mol”'.
QUÍMICA. 2002. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química,2002,2002,Septiembre,Ejercicio 6 Opción A,"reactor es de 2 atm.
b) El número de moles de CO, y de CO, si el volumen del reactor es de 3 litros.
Dato: R = 0%082 atm-L-K-'-mol”'.
QUÍMICA. 2002. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
química,2004,2004,Junio,Ejercicio 3 Opción B,"b) ¿Cuál es el orden total de la reacción?
e) ¿Qué factores pueden modificar la velocidad de la reacción?
QUÍMICA. 2004. JUNIO. EJERCICIO 3. OPCIÓN B"
química,2004,2004,Junio,Ejercicio 6 Opción B,"el recipiente contiene 0?655 moles de CO, y 0”655 moles de H,.
Calcule:
a) Las concentraciones de los cuatro gases en el equilibrio.
b) El valor de las constantes Kc y Kp para dicha reacción a 800* K.
Dato: R = 07082 atm-L-K--mol”'.
QUÍMICA. 2004. JUNIO. EJERCICIO 6. OPCIÓN B"
química,2004,2004,Reserva 1,Ejercicio 3 Opción A,"Justifique la veracidad o falsedad de las siguientes afirmaciones:
a) Al aumentar la concentración de oxígeno, el equilibrio no se desplaza porque no puede
variar la constante de equilibrio.
b) Al aumentar la presión total el equilibrio se desplaza hacia la izquierda.
C) Al aumentar la temperatura el equilibrio no se modifica.
QUÍMICA. 2004. RESERVA 1. EJERCICIO 3. OPCIÓN A"
química,2004,2004,Reserva 1,Ejercicio 5 Opción B,"Cuando se alcanza el equilibrio, el número de moles de B es igual al de C. Calcule:
a) El número de moles de cada componente en el equilibrio.
b) El valor de las constantes K, y K, a esa temperatura.
Dato: R = 0082atm.L-K-'-.mol .
QUÍMICA. 2004. RESERVA 1. EJERCICIO 5. OPCIÓN B"
química,2004,2004,Reserva 2,Ejercicio 6 Opción B,"A 673 K la constante de equilibrio K , es 0?215.
En un matraz de 5 litros se introducen 15 g de NH,I sólido y se calienta a esa temperatura
hasta que se alcanza el equilibrio. Calcule:
a) La presión total dentro del matraz, en el equilibrio.
b) La masa de NH,I que queda sin descomponer una vez alcanzado el equilibrio.
Datos: R = 07082atm - L - K -* -mol !. Masas atómicas: H = 1; N = 14; 1= 127.
QUÍMICA. 2004. RESERVA 2. EJERCICIO 6. OPCIÓN B"
química,2004,2004,Reserva 4,Ejercicio 3 Opción A,"C) Si para la reacción directa el valor de K, es 0?016 a 800* K, ¿cuál será el valor de K, para la
reacción inversa, a la misma temperatura?
QUÍMICA. 2004. RESERVA 4. EJERCICIO 3. OPCIÓN A"
química,2004,2004,Reserva 4,Ejercicio 5 Opción B,"HCI 0, | HOO | el
Moles iniciales 0?16 0
Moles en equilibrio | 006
2
Calcule:
a) Los datos necesarios para completar la tabla.
b) El valor de k, a esa temperatura.
QUÍMICA. 2004. RESERVA 4. EJERCICIO 5. OPCIÓN B"
química,2004,2004,Septiembre,Ejercicio 3 Opción A,"a) Aumentar la temperatura.
b) Aumentar la presión.
e) Adicionar un catalizador.
QUÍMICA. 2004. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
química,2004,2004,Septiembre,Ejercicio 6 Opción B,"la presión total de la mezcla es de 2?12 atm, a esa temperatura.
Calcule:
a) El grado de disociación del PCI; en las condiciones señaladas.
b) El valor de K, a 300 “C.
Datos: R = 07082 atm-L-K--mol !, Masas atómicas: P = 31; Cl = 35""5.
QUÍMICA. 2004. SEPTIEMBRE. EJERCICIO 6. OPCIÓN B"
