subject,year,topic,exam,exercise,statement
química,2000,Enlace Químico,Junio,Ejercicio 3 Opción A,"a) Escriba la estructura de Lewis para las moléculas NF, y CF,. b) Dibuje la geometría de
cada molécula según la teoría de Repulsión de Pares de Electrones de la Capa de Valencia.
c) Considerando las geometrías moleculares, razone acerca de la polaridad de ambas
moléculas.
Números atómicos: C = 6; N =7; F =9.
QUÍMICA. 2000. JUNIO EJERCICIO 3. OPCIÓN A"
química,2000,Enlace Químico,Junio,Ejercicio 5 Opción B,"a) Haga un esquema del ciclo de Born-Haber para el NaCIl .
b) Calcule la energía reticular del NaCI (s), a partir de los siguientes datos:
Entalpía de sublimación del sodio = 108 kJ/mol
Entalpía de disociación del cloro = 243?2 kJ/mol
Entalpía de ionización del sodio = 4957 kJ/mol
Afinidad electrónica del cloro = — 348 kJ / mol
Entalpía de formación del cloruro de sodio = —401'8 kJ / mol
QUÍMICA. 2000. JUNIO. EJERCICIO 5. OPCIÓN B"
quimica,2000,Enlace Químico,Reserva 1,Ejercicio 2 Opción B,"a) Escriba las estructuras de Lewis correspondientes a las moléculas de etano (CH,CH,) y
eteno (CH, = CH,)
b) Explique qué tipo de hibridación tiene el carbono en cada compuesto.
QUIMICA. 2000. RESERVA 1. EJERCICIO 2. OPCIÓN B"
quimica,2000,Enlace Químico,Reserva 2,Ejercicio 2 Opción B,"Los elementos A, B, C y D pertenecen al mismo periodo y tienen 1, 3, 5 y 7 electrones de
valencia, respectivamente. Indique, razonando la respuesta: a) Qué elemento tiene la energía de
ionización más alta y cuál la más baja. b) Qué fórmulas tendrán los compuestos A-D y B-D.
c) Si el compuesto formado por C y D será iónico o covalente.
QUIMICA. 2000. RESERVA 2. EJERCICIO 2. OPCIÓN B"
química,2000,Enlace Químico,Reserva 3,Ejercicio 2 Opción B,"Dadas las especies químicas H,S y PH,:
a) Represéntelas mediante diagramas de Lewis
b) Prediga la geometría de las especies anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación que presenta el átomo central en cada especie.
QUÍMICA. 2000. RESERVA 3. EJERCICIO 2. OPCIÓN B"
quiímica,2000,Enlace Químico,Septiembre,Ejercicio 2 Opcióon A,"La tabla que sigue corresponde a los puntos de fusión de distintos sólidos iónicos:
Compuesto NaF NaCl | NaBr | Nal
Punto de fusión (*C) 980 801 755 651
Considerando los valores anteriores: a) Indique cómo variará la energía reticular en este grupo
de compuestos. b) Razone cuál es la causa de esa variacióp.
QUIÍMICA. 2000. SEPTIEMBRE. EJERCICIO 2. OPCIÓON A"
quimica,2001,Enlace Químico,Junio,Ejercicio 2 Opción B,"Dados los siguientes compuestos: CaF,, CO,, H,O. a) Indique el tipo de enlace predominante
en cada uno de ellos. b) Ordene los compuestos anteriores de menor a mayor punto de
ebu!lición. Justifique las respuestas. .
QUIMICA. 2001. JUNIO. EJERCICIO 2. OPCIÓN B"
química,2001,Enlace Químico,Reserva 1,Ejercicio 3 Opción B,"Cuatro elementos se designan arbitrariamente como A, B, C y D. Sus electronegatividades se
muestran en la tabla siguiente:
Elemento A B Cc
Electronegatividad | 370 | 28 | 25 | 21
Si se forman las moléculas AB, AC, AD y BD: a) Clasifíquelas en orden creciente por su
carácter covalente. Justifique la respuesta. b) ¿Cuál será la molécula más polar? Justifique la
respuesta.
QUÍMICA. 2001. RESERVA 1. EJERCICIO 3. OPCIÓN B"
quiímica,2001,Enlace Químico,Reserva 2,Ejercicio 2 Opcion A,"Dadas las siguientes moléculas: CCI,, BF, y PCI, a) Represente sus estructuras de Lewis.
b) Prediga la geometría de cada una de ellas según la Teoría de Repulsión de Pares de
Electrones de la Capa de Valencia. c) Indique la polaridad de cada una de las moléculas.
QUIÍMICA. 2001. RESERVA 2. EJERCICIO 2. OPCION A"
quiímica,2001,Enlace Químico,Reserva 4,Ejercicio 2 Opción B,"En función del tipo de enlace explique por qué: a) El NH, tiene un punto de ebullición más alto
que el CH, . b) El KCI tiene un punto de fusión mayor que el Cl,. c) El CH, es insoluble en
agua y el KCI es soluble.
QUIÍMICA. 2001. RESERVA 4. EJERCICIO 2. OPCIÓN B"
