subject,year,topic,exam,exercise,statement
fisica,2016,Óptica geométrica,Reserva 2,Ejercicio 2 Opción B,"a) Explique la formación de imágenes por una lente convergente. Como ejemplo, considere un
objeto situado en un punto más alejado de la lente que el foco.
b) ¿Puede formarse una imagen virtual con una lente convergente? Justifíquelo ayudándose de una
construcción gráfica. ,
FISICA. 2016. RESERVA 2. EJERCICIO 2. OPCIÓN B"
fisica,2017,Óptica geométrica,Reserva 1,Ejercicio 3 Opción B,"a) Describa, con la ayuda de construcciones gráficas, las diferencias entre las imágenes formadas
por una lente convergente y otra divergente de un objeto real localizado a una distancia entre f y 2f£
de la lente, siendo f la distancia focal.
b) La tecnología ultravioleta para la desinfección de agua, aire y superficies está basada en el efecto
germicida de la radiación UV-C. El espectro del UV-C en el aire está comprendido entre 200 nm y
280 nm. Calcule las frecuencias entre las que está comprendida dicha zona del espectro
electromagnético y determine entre qué longitudes de onda estará comprendido el UV-C en el agua.
e=3-10% m-s ' ; m =15 Auuu, =1'33
agua
FISICA. 2017. RESERVA 1. EJERCICIO 3. OPCIÓN B"
fisica,2017,Óptica geométrica,Reserva 2,Ejercicio 3 Opción B,"a) Utilizando un diagrama de rayos, construya la imagen en un espejo cóncavo de un objeto real
situado: i) a una distancia del espejo comprendida entre f y 2f, siendo f la distancia focal; ii) a una
distancia del espejo menor que f. Analice en ambos casos las características de la imagen.
b) Un haz de luz de 5-10'* Hz viaja por el interior de un bloque de diamante. Si la luz emerge al
aire con un ángulo de refracción de 10, dibuje la trayectoria del haz y determine el ángulo de
incidencia y el valor de la longitud de onda en ambos medios.
e=3-10% m-s ' 5 Nssumente =2'42 5 Dj =1
aire
FISICA. 2017. RESERVA 2. EJERCICIO 3. OPCIÓN B"
fisica,2017,Óptica geométrica,Reserva 3,Ejercicio 3 Opción B,"a) Utilizando diagramas de rayos, construya la imagen de un objeto real por una lente convergente
si está situado: i) a una distancia 2f de la lente, siendo f la distancia focal; ii) a una distancia de la
lente menor que f. Analice en ambos casos las características de la imagen.
b) El espectro visible en el aire está comprendido entre las longitudes de onda 380 nm (violeta) y
780 nm (rojo). Calcule la velocidad de la luz en el agua y determine entre qué longitudes de onda
está comprendido el espectro electromagnético visible en el agua.
c=3-10% m-s"" ; a,. =1'33 5 0,.=1
FISICA. 2017. RESERVA 3. EJERCICIO 3. OPCIÓN B"
fisica,2018,Óptica geométrica,Junio,Ejercicio 3 Opción B,"a) Explique dónde debe estar situado un objeto respecto a una lente delgada para obtener una
imagen virtual y derecha: (i) Si la lente es convergente; (ii) si la lente es divergente. Realice en
ambos casos las construcciones geométricas del trazado de rayos e indique si la imagen es mayor o
menor que el objeto.
b) Un objeto luminoso se encuentra a 4 m de una pantalla. Mediante una lente situada entre el
objeto y la pantalla se pretende obtener una imagen del objeto sobre la pantalla que sea real,
invertida y tres veces mayor que él. Determine el tipo de lente que se tiene que utilizar, así como su
distancia focal y la posición en la que debe situarse, justificando sus respuestas.
FISICA. 2018. JUNIO. EJERCICIO 3. OPCIÓN B"
fisica,2018,Óptica geométrica,Reserva 1,Ejercicio 3 Opción A,"a) Un objeto se sitúa a la izquierda de una lente delgada convergente. Determine razonadamente y
con la ayuda del trazado de rayos la posición y características de la imagen que se forma en los
siguientes casos: (i) s = f; (ii) s =f / 2; (iii) s =2 f.
b) Un objeto de 2 cm de altura se sitúa a 15 cm a la izquierda de una lente de 20 cem de distancia
focal. Dibuje un esquema con las posiciones del objeto, la lente y la imagen. Calcule la posición y
aumento de la imagen.
FISICA. 2018. RESERVA 1. EJERCICIO 3. OPCIÓN A"
fisica,2018,Óptica geométrica,Reserva 2,Ejercicio 3 Opción A,"a) Explique el fenómeno de la dispersión de la luz por un prisma ayudándose de un esquema.
b) Un objeto de 0,3 m de altura se sitúa a 0,6 m de una lente convergente de distancia focal 0,2 m.
Determine la posición, naturaleza y tamaño de la imagen mediante procedimientos gráficos y
numéricos. .
FISICA. 2018. RESERVA 2. EJERCICIO 3. OPCIÓN A"
fisica,2018,Óptica geométrica,Septiembre,Ejercicio 3 Opción A,"Imagen invertida
a) Señale las diferencias entre lentes convergentes y divergentes, así como al menos un uso de cada
una de ellas.
b) Desde el aire se observa un objeto luminoso que está situado a 1 m debajo del agua. (i) Si desde
dicho objeto sale un rayo de luz que llega a la superficie formando un ángulo de 15* con la normal,
¿cuál es el ángulo de refracción en el aire?; (ii) calcule la profundidad aparente a la que se
encuentra el objeto.
Mgire =15 ajua =1'33
FISICA. 2018. SEPTIEMBRE. EJERCICIO 3. OPCIÓN A"
fisica,2019,Óptica geométrica,Junio,Ejercicio 3 Opción A,"a) Construya, razonadamente, la imagen de un objeto situado delante de una lente convergente a
una distancia mayor que el doble de la distancia focal. A partir de la imagen obtenida indique,
razonadamente, las características de la misma: real o virtual, si está derecha o invertida y su
tamaño.
b) A 4 m delante de una lente divergente se sitúa un objeto de tamaño 1 m. Si la imagen se forma
delante de la lente a una distancia de 1 m, calcule: (i) la distancia focal justificando el signo
obtenido. (ii) Tamaño de la imagen indicando si está derecha o invertida con respecto al objeto.
FISICA. 2019. JUNIO. EJERCICIO 3. OPCIÓN A"
fisica,2019,Óptica geométrica,Reserva 1,Ejercicio 3 Opción A,"a) Construya, razonadamente, la imagen de un objeto situado entre el foco y el centro de una
lente convergente. A partir de la imagen obtenida indique, razonadamente, las características de
la misma: real o virtual, si está derecha o invertida y su tamaño.
b) A 2 m delante de una lente divergente se sitúa un objeto de tamaño 0,5 m. Si la distancia focal
es de 1 m, calcule: i) La distancia de la imagen a la lente indicando si es real o virtual.
ii) Tamaño de la imagen indicando si está derecha o invertida.
FISICA. 2019. RESERVA 1. EJERCICIO 3. OPCIÓN A"
