subject,year,topic,exam,exercise,statement
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 1,"La altura en cm. de las cañas producidas por una variedad de carrizo en cada cosecha es una
variable aleatoria que sigue una ley normal con desviación típica o = 16 cm . Para contrastar si
la altura media de las cañas de la última cosecha es de 170 cm, se ha tomado una muestra
aleatoria de 64 de estas cañas y se han medido sus longitudes, resultando como media muestral
x=166 em.
¿Son suficientes estos datos para rechazar que la altura media de las cañas de la última cosecha
es de 170 cm, a un nivel de significación a = 0'05?.
SOCIALES II. PONENCIA 2009. EJERCICIO 1"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 2,"Un comerciante ha observado durante un largo periodo de tiempo que sus beneficios semanales
se distribuyen según una ley normal con una media de 5000 euros y una desviación típica de
520 euros. A finales del año pasado se abrió un supermercado frente a su comercio y él cree que
su beneficio semanal medio ha disminuido desde entonces. Para contrastar esta suposición, ha
tomado una muestra aleatoria de 16 semanas del año actual y ha encontrado que el beneficio
semanal medio de esa muestra es de 4700 euros. ¿Puede afirmarse, a un nivel de significación
a=0'01, que estos datos avalan la creencia del comerciante?.
SOCIALES II. PONENCIA 2009. EJERCICIO 2"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 3,"Sólo el 75% de los alumnos de un centro de enseñanza realizan correctamente un test
psicotécnico que lleva utilizándose mucho tiempo. Para tratar de mejorar este resultado, se
modificó la redacción del test, y se propuso a un grupo de 120 alumnos de ese centro, elegidos
al azar. De los 120 alumnos a los que se le pasó el nuevo test, lo realizaron correctamente 107.
¿Podemos afirmar que la nueva redacción del test ha aumentado la proporción de respuestas
correctas, a un nivel de significación a= 0'025?.
SOCIALES II. PONENCIA 2009. EJERCICIO 3"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 4,"El peso en vacío de los envases fabricados por una empresa, según su método usual, es una
variable aleatoria que sigue una ley normal con media 20 gramos y una desviación típica de 1
gramo.
Se desea contrastar si un nuevo proceso de fabricación no aumenta dicho peso medio. Para ello,
se eligen al azar 25 envases fabricados por la nueva técnica y se encuentra que la media de su
peso en vacío es de 20;5 gramos. ¿Se puede afirmar, a un nivel de significación a =0'02, que el
nuevo proceso ha aumentado el peso medio de los envases?
SOCIALES II. PONENCIA 2009. EJERCICIO 4"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 5,"En unas elecciones municipales de una ciudad, el 42% de los votantes dieron su voto al partido
A. En una encuesta realizada un año después a 500 personas con derecho a voto, sólo 184
votarían al partido A. Con estos datos, ¿puede afirmarse que ha disminuido la proporción de
votantes a ese partido? Responder a la pregunta anterior con niveles de significación a=0'01,
a=0'025 y a=0""'001.
SOCIALES II. PONENCIA 2009. EJERCICIO 5"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 6,"En una ciudad, donde la proporción de fumadores con edad comprendida entre 18 y 20 años es
del 30 %, el ayuntamiento ha realizado una campaña contra el consumo de tabaco. Dos meses
después de terminar dicha campaña, se ha realizado una encuesta a 400 personas de estas
edades, elegidas al azar, y se ha encontrado entre ellos a 92 fumadores. ¿Podemos afirmar, a un
nivel de significación a =0'05, que esta campaña ha modificado la proporción de fumadores
entre 18 y 25 años?
SOCIALES II. PONENCIA 2009. EJERCICIO 6"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 7,"Un fabricante de automóviles produce dos tipos de un determinado modelo de turismo: el tipo
A, con motor de gasolina, y el tipo B, con motor de gasoil. De una muestra aleatoria de 200
turismos de este modelo, 112 son del tipo B. ¿Proporcionan estos datos suficiente evidencia, a
un nivel de significación a =0'01, de que los clientes prefieren el modelo del tipo B al del tipo
A?
SOCIALES II. PONENCIA 2009. EJERCICIO 7"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 8,"Supongamos que 100 neumáticos de cierta marca duraron en promedio 21431 kilómetros. Si se
supone que la población es normal con una desviación típica poblacional de 1295 km,
utilizando a=0'05 , ¿podemos considerar que la duración media de los neumáticos es inferior
a 22000 km?
SOCIALES II. PONENCIA 2009. EJERCICIO 8"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 9,"Un constructor afirma que por lo menos el 75% de las casas que construye tienen calefacción.
¿Se estaría de acuerdo con tal afirmación si una inspección aleatoria muestra que 72 de 135
casas cuentan con calefacción?. (Usar a=0'01)
SOCIALES II. PONENCIA 2009. EJERCICIO 9"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 10,"Una compañía textil afirma que a lo sumo el 20% del público compra ropa de lana. Verifica
esta afirmación para a =0'01, si una encuesta aleatoria indica que 46 de 200 clientes compran
ropa de lana.
SOCIALES II. PONENCIA 2009. EJERCICIO 10"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 11,"Se sabe que la longitud en cm de una determinada especie de coleópteros sigue una distribución
normal de varianza 0,25 cm”. Capturados 6 ejemplares de dicha especie, sus longitudes (en cm)
fueron:
2,75 1,72 2,91 2,6 2,64 3,34
¿Se puede aceptar la hipótesis de que la población tiene una longitud media de 2,656 cm?
(Usar a=0'05)
SOCIALES II. PONENCIA 2009. EJERCICIO 11"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 12,"La edad de la población que vive en residencias de mayores en Cádiz sigue una distribución
normal de desviación típica 7,3 años. Se toma una muestra aleatoria simple de tamaño 50, y se
obtiene una media muestral de 69 años. ¿Se puede asegurar que la edad media de la población
que vive en residencias de mayores en Cádiz es mayor de 70 años con un nivel de significación
del 5% ?
SOCIALES II. PONENCIA 2009. EJERCICIO 12"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 13,"Para conocer la producción media de sus olivos, un olivarero escoge al azar 10 de ellos, pesa su
producción de aceitunas, y obtiene los siguientes valores, expresados en kg: 175, 180, 210, 215,
186, 213, 190, 213, 184, 195. Sabemos que la producción sigue una distribución normal con
desviación típica igual a 15.3 kg. Con la información obtenida, ¿se puede asegurar que la
producción media de un olivo de ese agricultor es menor de 200 kg? (Usar a=0'05)
SOCIALES II. PONENCIA 2009. EJERCICIO 13"
MATES_CCSS,2009,Contraste De Hipótesis,Ponencia,Ejercicio 14,"El 40% de los escolares de cierto país suelen perder al menos un día de clase a causa de gripes y
catarros. Sin embargo, un estudio sobre 1000 escolares revela que en el último curso hubo 450
en tales circunstancias. Las autoridades defienden que el porcentaje del 40% para toda la
población de escolares se ha mantenido. Contrastar con un nivel de significación del 5% la
hipótesis defendida por las autoridades sanitarias, frente a que el porcentaje ha aumentado,
como parecen indicar los datos, explicando claramente a qué conclusión se llega.
SOCIALES II. PONENCIA 2009. EJERCICIO 14"
