subject,year,topic,exam,exercise,statement
química,2000,Ácido Base,Junio,Ejercicio 4 Opción A,"Complete los siguientes equilibrios ácido-base identificando, de forma razonada, los pares
ácido- base conjugados:
+H,O COj +H,0*
b) NH; +OH- = H,
c) F- + H,O . OH +
QUÍMICA. 2000. JUNIO EJERCICIO 4. OPCIÓN A"
química,2000,Ácido Base,Junio,Ejercicio 6 Opción B,"a) Calcule los gramos del ácido acético CH,COOH que se deben disolver en agua para obtener
500 mL de una disolución que tenga un pH =2?72.
b) Describa el material y el procedimiento a seguir para preparar la disolución anterior.
Datos: K, =1'8-107; Masas atómicas: H = 1; C =12; O = 16
QUÍMICA. 2000. JUNIO. EJERCICIO 6. OPCIÓN B"
quimica,2000,Ácido Base,Reserva 1,Ejercicio 3 Opción A,"La fenolftaleína es un indicador ácido-base que cambia de incoloro a rosa en el intervalo de pH
8 (incoloro) a pH 95 (rosa).
a) ¿Qué color presentará este indicador en una disolución acuosa de cloruro amónico, NH,CI?.
b) ¿Qué color presentará este indicador en una disolución de NaOH 10?M?. Razone las
respuestas. .
QUIMICA. 2000. RESERVA 1. EJERCICIO 3. OPCIÓN A"
química,2000,Ácido Base,Reserva 1,Ejercicio 6 Opción B,"A 15 g de ácido acético (CH,COOH) se añade la cantidad suficiente de agua para obtener 500
mL de disolución. Calcule:
a) El pH de la disolución que resulta.
b) El grado de disociación del ácido acético.
Datos: K, = 1'8-105: Masas atómicas: H = 1; C =12; O =16
QUÍMICA. 2000. RESERVA 1. EJERCICIO 6. OPCIÓN B"
quiímica,2000,Ácido Base,Reserva 2,Ejercicio 3 Opción A,"a) Escriba el equilibrio de hidrólisis del ión amonio (NH,'), identificando en el mismo las
especies que actúan como ácido o como base de Brónsted.
b) Razone cómo variará la concentración de ión amonio al añadir una disolución de NaOH.
€) Razone cómo variará la concentración de ión amonio al añadir una disolución de HCI.
QUIÍMICA. 2000. RESERVA 2. EJERCICIO 3. OPCIÓN A"
química,2000,Ácido Base,Reserva 3,Ejercicio 5 Opcióon A,"a) Calcule los gramos de NaOH que se necesitan para preparar 250 mL de una disolución
acuosa de pH = 13.
b) Describa el material necesario y el procedimiento a seguir para preparar la disolución de
NaOH.
Magas atómicas: H = 1; O = 16; Na =23 .
QUÍMICA. 2000. RESERVA 3. EJERCICIO 5. OPCIÓON A"
quiímica,2000,Ácido Base,Reserva 3,Ejercicio 3 Opción B,"En 500 mL de una disolución acuosa 0%1 M de NaOH
a) ¿Cuál es la concentración de iones OH?.
b) ¿Cuál es la concentración de iones H,O*?.
c) ¿Cuál es el pH?. .
QUIÍMICA. 2000. RESERVA 3. EJERCICIO 3. OPCIÓN B"
química,2000,Ácido Base,Reserva 4,Ejercicio 4 Opción A,"Se preparan disoluciones acuosas de las siguientes sales: CaCl, ,NH,Cl y Na,CO,. Indique
razonadamente el carácter ácido, básico o neutro de las mismas.
QUÍMICA. 2000. RESERVA 4. EJERCICIO 4. OPCIÓN A"
química,2000,Ácido Base,Reserva 4,Ejercicio 5 Opción B,"A 25 “C, la constante del equilibrio:
NH, + H,O 2 NH; +OH-
es 1'8-1075. Se añaden 7 gramos de amoniaco a la cantidad de agua necesaria para obtener
500 mL de disolución.
a) Calcule el pH de la disolución.
b) Calcule el grado de disociación del amoniaco.
Masas atómicas: H = 1; N = 14
QUÍMICA. 2000. RESERVA 4. EJERCICIO 5. OPCIÓN B"
química,2000,Ácido Base,Septiembre,Ejercicio 4 Opción A,"a) Aplicando la teoría de Brónsted y Lowry, en disolución acuosa, razone si son ácidos o bases
las especies HCO; y NH,;. b) Indique cuáles son las bases conjugadas de los ácidos H,O* y
HNO, . c) Indique cuáles son los ácidos conjugados de las bases CI- y HSO;”.
QUÍMICA. 2000. SEPTIEMBRE. EJERCICIO 4. OPCIÓN A"
química,2001,Ácido Base,Junio,Ejercicio 3 Opción A,"a) ¿Cuál es el pH de 50 mL de una disolución de HCI 0*5 M? b) Si añadimos agua a los 50 mL
de la disolución anterior hasta alcanzar un volumen de 500 mL, ¿cuál será el nuevo pH?
c) Describa el procedimiento a seguir y el material necesario para preparar la disolución más
diluida.
QUÍMICA. 2001. JUNIO. EJERCICIO 3. OPCIÓN A"
quiímica,2001,Ácido Base,Junio,Ejercicio 5 Opción B,"Se disuelven 5 g de NaOH en agua suficiente para preparar 300 mL de disolución. Calcule:
a) La molaridad de la disolución y el valor del pH. b) La molaridad de una disolución de HBr,
de la que 30 mL de la misma son neutralizados con 25 mL de la disolución de la base.
Masas atómicas: H = 1; O = 16; Na = 23.
QUIÍMICA. 2001. JUNIO. EJERCICIO 5. OPCIÓN B"
química,2001,Ácido Base,Reserva 1,Ejercicio 6 Opción A,"Calcule: a) El pH de una disolución 0?1 M de ácido acético, CH,COOH, cuyo grado de
disociación es 1?33%. b) La constante K, del ácido acético.
QUÍMICA. 2001. RESERVA 1. EJERCICIO 6. OPCIÓN A"
química,2001,Ácido Base,Reserva 1,Ejercicio 4 Opción B,"b) Describa el procedimiento e indique el material necesario para preparar 100 mL de
disolución de HNO, 107” Ma partir de la anterior.
QUÍMICA. 2001. RESERVA 1. EJERCICIO 4. OPCIÓN B"
quiímica,2001,Ácido Base,Reserva 2,Ejercicio 6 Opción A,"Se disuelven 23 g de ácido metanoico, HCOOH, en agua hasta obtener 10 litros de disolución.
La concentración de iones H,O* es 0%003 M. Calcule: a) El pH de la disolución y el grado de
disociación. b) La constante K, del ácido.
Masas atómicas: H = 1; C = 12; O =16. .
QUIÍMICA. 2001. RESERVA 2. EJERCICIO 6. OPCIÓN A"
química,2001,Ácido Base,Reserva 2,Ejercicio 3 Opción B,"Explique cuál o cuáles de las siguientes especies químicas, al disolverse en agua, formará
disoluciones con pH menor que siete. a) HF. b) Na,CO; . c) NH,CI.
QUÍMICA. 2001. RESERVA 2. EJERCICIO 3. OPCIÓN B"
quiímica,2001,Ácido Base,Reserva 4,Ejercicio 5 Opcion A,"Calcule: a) El pH de una disolución 0%03 M de ácido perclórico, HCIO,, y el de una disolución
0705 M de NaOH. b) El pH de la disolución que resulta al mezclar 50 mL de cada una de las
disoluciones anteriores (suponga que los volúmenes son aditivos).
QUIÍMICA. 2001. RESERVA 4. EJERCICIO 5. OPCION A"
química,2001,Ácido Base,Reserva 4,Ejercicio 3 Opción B,"Complete las ecuaciones siguientes e indique los pares ácido-base conjugados, según la teoría
de Bronsted-Lowry:
a) CN-+H,0* >
b) NH +0H- 2
c) NO +H,OZ>
QUÍMICA. 2001. RESERVA 4. EJERCICIO 3. OPCIÓN B"
