año,convocatoria,ejercicio,tema,tipo_ejercicio
2000,Reserva 1,Ejercicio 4  Opción B,Termoquímica,espontaneidad razonamiento
2000,Reserva 2,Ejercicio 6  Opción A,Termoquímica,calor de reacción a volumen constante / energía interna
2000,Reserva 3,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2000,Reserva 4,Ejercicio 5  Opción A,Termoquímica,ley de Hess
2000,Septiembre,Ejercicio 3  Opción B,Termoquímica,verdadero o falso
2001,Reserva 1,Ejercicio 5  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2001,Reserva 1,Ejercicio 2  Opción B,Termoquímica,espontaneidad razonamiento
2001,Reserva 2,Ejercicio 4  Opción A,Termoquímica,espontaneidad numérica
2001,Reserva 2,Ejercicio 6  Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2001,Reserva 3,Ejercicio 5  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2001,Reserva 4,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2001,Septiembre,Ejercicio 5  Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2002,Junio,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2002,Reserva 2,Ejercicio 4  Opción A,Termoquímica,verdadero o falso
2002,Reserva 2,Ejercicio 6  Opción B,Termoquímica,ley de Hess
2002,Reserva 3,Ejercicio 6  Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2002,Reserva 4,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2002,Septiembre,Ejercicio 3  Opción B,Termoquímica,verdadero o falso
2003,Junio,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2003,Reserva 1,Ejercicio 5  Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2003,Reserva 2,Ejercicio 3  Opción B,Termoquímica,espontaneidad razonamiento
2003,Reserva 3,Ejercicio 6  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2003,Reserva 4,Ejercicio 4  Opción A,Termoquímica,espontaneidad razonamiento
2003,Reserva 4,Ejercicio 6  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2003,Septiembre,Ejercicio 5  Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2004,Junio,Ejercicio 6  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2004,Reserva 1,Ejercicio 5  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2004,Reserva 2,Ejercicio 3  Opción A,Termoquímica,espontaneidad razonamiento
2004,Reserva 3,Ejercicio 5  Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2004,Reserva 4,Ejercicio 4  Opción A,Termoquímica,espontaneidad razonamiento
2004,Reserva 4,Ejercicio 6  Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2004,Septiembre,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2005,Junio,Ejercicio 6  Opción A,Termoquímica,ley de Hess
2005,Reserva 1,Ejercicio 4  Opción A,Termoquímica,espontaneidad razonamiento
2005,Reserva 1,Ejercicio 6  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2005,Reserva 2,Ejercicio 5  Opción A,Termoquímica,ley de Hess
2005,Reserva 3,Ejercicio 5  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2005,Reserva 4,Ejercicio 3  Opción A,Termoquímica,verdadero o falso
2005,Septiembre,Ejercicio 5  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2006,Junio,Ejercicio 3  Opción B,Termoquímica,verdadero o falso
2006,Reserva 1,Ejercicio 5  Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2006,Reserva 2,Ejercicio 4  Opción A,Termoquímica,espontaneidad numérica
2006,Reserva 2,Ejercicio 6  Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2006,Reserva 3,Ejercicio 5  Opción A,Termoquímica,ley de Hess
2006,Reserva 4,Ejercicio 5  Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2006,Septiembre,Ejercicio 6  Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2007,Junio,Ejercicio 6 Opción A,Termoquímica,ley de Hess
2007,Reserva 1,Ejercicio 5 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2007,Reserva 2,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2007,Reserva 3,Ejercicio 5 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2007,Reserva 4,Ejercicio 5 Opción B,Termoquímica,espontaneidad numérica
2007,Septiembre,Ejercicio 4 Opción A,Termoquímica,verdadero o falso
2007,Septiembre,Ejercicio 6 Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2008,Junio,Ejercicio 5 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2008,Reserva 1,Ejercicio 3 Opción B,Termoquímica,verdadero o falso
2008,Reserva 2,Ejercicio 5 Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2008,Reserva 3,Ejercicio 4 Opción A,Termoquímica,verdadero o falso
2008,Reserva 3,Ejercicio 6 Opción B,Termoquímica,espontaneidad numérica
2008,Reserva 4,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2008,Septiembre,Ejercicio 6 Opción A,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2009,Junio,Ejercicio 6 Opción A,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2009,Reserva 1,Ejercicio 5 Opción B,Termoquímica,cálculo de la cantidad de energía liberada / consumida
2009,Reserva 2,Ejercicio 4 Opción A,Termoquímica,espontaneidad razonamiento
2009,Reserva 2,Ejercicio 6 Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de formación
2009,Reserva 3,Ejercicio 3 Opción B,Termoquímica,espontaneidad razonamiento
2009,Reserva 4,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2009,Septiembre,Ejercicio 5 Opción A,Termoquímica,ley de Hess
2010,Junio,Ejercicio 4 Opción A,Termoquímica,verdadero o falso
2010,Junio,Ejercicio 6 Opción B,Termoquímica,cálculo de entalpía a partir de entalpías de enlace
2010,Reserva 1,Ejercicio 3 Opción B,Termoquímica,espontaneidad razonamiento
