subject,year,topic,exam,exercise,statement
química,2010,Solubilidad,Junio,Ejercicio 3 Opción A,"Se dispone de una disolución acuosa saturada de Fe(OH);, compuesto poco soluble.
a) Escriba la expresión del producto de solubilidad para este compuesto.
b) Deduzca la expresión que permite conocer la solubilidad del hidróxido a partir del producto
de solubilidad.
c) Razone cómo varía la solubilidad del hidróxido al aumentar el pH de la disolución.
QUÍMICA. 2010. JUNIO. EJERCICIO 3. OPCIÓN A"
quiímica,2010,Solubilidad,Reserva 2,Ejercicio 3 Opcion A,"Los productos de solubilidad del cloruro de plata y del fosfato de plata en agua son,
respectivamente, 1'6-10-""' y 1'8-10-""*. Razone:
a) ¿Qué sal será más soluble en agua?
b) ¿Cómo se modificará la solubilidad de ambas sales, si se añade a cada una de ellas nitrato de
plata?
QUIÍMICA. 2010. RESERVA 2. EJERCICIO 3. OPCION A"
química,2010,Solubilidad,Reserva 3,Ejercicio 5 Opción B,"A 25 *C la solubilidad del PbI, en agua pura es 0?7 g/L. Calcule:
a) El producto de solubilidad.
b) La solubilidad del PbI, a esa temperatura en una disolución 0?1 M de KI.
Masas atómicas: I =127 ; Pb = 207
QUÍMICA. 2010. RESERVA 3. EJERCICIO 5. OPCIÓN B"
química,2010,Solubilidad,Reserva 4,Ejercicio 6 Opción A,"A 25*C el producto de solubilidad en agua del AgOH es 2-10*. Para esa temperatura,
calcule:
a) La solubilidad del compuesto en g/L.
b) La solubilidad del hidróxido de plata en una disolución de pH =13.
Masas atómicas: Ag =108 ; O=16; H=1.
QUÍMICA. 2010. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química,2011,Solubilidad,Reserva 1,Ejercicio 3 Opción A,"El hidróxido de magnesio es un compuesto poco soluble en agua.
a) Escriba la expresión del producto de solubilidad del compuesto.
b) Deduzca la expresión que relaciona la solubilidad con el producto de solubilidad del
compuesto.
c) Justifique cómo se modificará la solubilidad si se añade una cierta cantidad de hidróxido de
sodio.
QUÍMICA. 2011. RESERVA 1. EJERCICIO 3. OPCIÓN A"
química,2011,Solubilidad,Reserva 2,Ejercicio 3 Opción A,"Se dispone de una disolución acuosa saturada de Ag,CrO, con una pequeña cantidad de
precipitado en el fondo. Razone cómo afecta a la cantidad de precipitado la adición de:
a) Agua.
b) Una disolución acuosa de cromato de sodio.
c) Una disolución acuosa de nitrato de plata.
QUÍMICA. 2011. RESERVA 2. EJERCICIO 3. OPCIÓN A"
quiímica,2011,Solubilidad,Reserva 4,Ejercicio 5 Opción B,"A 25 “C el producto de solubilidad del carbonato de plata en agua pura es 8'1-10-7, Calcule:
a) La solubilidad molar del Ag,CO, a 25“C.
b) Los gramos de Ag,CO, que podemos llegar a disolver en medio litro de agua a esa
temperatura.
Masas atómicas: Ag = 108; C = 12; O = 16. .
QUIÍMICA. 2011. RESERVA 4. EJERCICIO 5. OPCIÓN B"
química,2011,Solubilidad,Septiembre,Ejercicio 6 Opción A,"A cierta temperatura el producto de solubilidad en agua del Agl es 8'3-10-7., Para esa
temperatura, calcule la solubilidad molar del compuesto en:
a) Una disolución 0?1 M de AgNO;.
b) Una disolución de ácido yodhídrico de pH =2.
QUÍMICA. 2011. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
química,2012,Solubilidad,Junio,Ejercicio 3 Opción A,"En un vaso de agua se pone una cierta cantidad de una sal poco soluble, de fórmula general
AB ,, y no se disuelve completamente. El producto de solubilidad es K ;:
a) Deduzca la expresión que relaciona la concentración molar de A** con el producto de
solubilidad de la sal.
b) Si se añade una cantidad de sal muy soluble CB,. Indique, razonadamente, la variación que
se produce en la solubilidad de la sal AB;.
c) Si B es el ión OH-. ¿Cómo influye la disminución del pH en la solubilidad del compuesto?.
QUÍMICA. 2012. JUNIO. EJERCICIO 3. OPCIÓN A"
quimica,2012,Solubilidad,Reserva 3,Ejercicio 5 Opción B,"El pH de una disolución saturada de Mg(OH), en agua pura, a una cierta temperatura es de
10%38.
a) ¿Cuál es la solubilidad molar del hidróxido de magnesio a esa temperatura? Calcule el
producto de solubilidad.
b) ¿Cuál es la solubilidad del hidróxido de magnesio en una disolución 0%01M de hidróxido de
sodio?
QUIMICA. 2012. RESERVA 3. EJERCICIO 5. OPCIÓN B"
quimica,2012,Solubilidad,Reserva 4,Ejercicio 6 Opción A,"En diversos países la fluoración del agua de consumo humano es utilizada para prevenir caries.
a) Si el producto de solubilidad K, del CaF, es1'0-10-"" ¿cuál es la solubilidad de una
disolución saturada de CaF,?
b) ¿Qué cantidad en gramos de NaF hay que añadir a un litro de una disolución acuosa que
contiene 20 mg de Ca”* para que empiece a precipitar CaF .?
Masas atómicas: F =19 ; Na=23 ; Ca=40.
QUIMICA. 2012. RESERVA 4. EJERCICIO 6. OPCIÓN A"
quiímica,2012,Solubilidad,Septiembre,Ejercicio 3 Opcióon A,"A 25 C la constante del equilibrio de solubilidad del Mg(OH), .sólido es K, = 3'4-10"".
a) Establezca la relación que existe entre la constante K. y la solubilidad (s) del Mg(OH), .
b) Explique, razonadamente, cómo se podría disolver, a 25* C y mediante procedimientos
químicos un precipitado de Mg(OH), .
c) ¿Qué efecto tendría sobre la solubilidad del Mg(OH), a 25* C la adición de cloruro de
magnesio?. Razone la respuesta.
QUIÍMICA. 2012. SEPTIEMBRE. EJERCICIO 3. OPCIÓON A"
química,2010,Solubilidad,Junio,Ejercicio 3 Opción A,"Se dispone de una disolución acuosa saturada de Fe(OH);, compuesto poco soluble.
a) Escriba la expresión del producto de solubilidad para este compuesto.
b) Deduzca la expresión que permite conocer la solubilidad del hidróxido a partir del producto
de solubilidad.
c) Razone cómo varía la solubilidad del hidróxido al aumentar el pH de la disolución.
QUÍMICA. 2010. JUNIO. EJERCICIO 3. OPCIÓN A"
quiímica,2010,Solubilidad,Reserva 2,Ejercicio 3 Opcion A,"Los productos de solubilidad del cloruro de plata y del fosfato de plata en agua son,
respectivamente, 1'6-10-""' y 1'8-10-""*. Razone:
a) ¿Qué sal será más soluble en agua?
b) ¿Cómo se modificará la solubilidad de ambas sales, si se añade a cada una de ellas nitrato de
plata?
QUIÍMICA. 2010. RESERVA 2. EJERCICIO 3. OPCION A"
química,2010,Solubilidad,Reserva 3,Ejercicio 5 Opción B,"A 25 *C la solubilidad del PbI, en agua pura es 0?7 g/L. Calcule:
a) El producto de solubilidad.
b) La solubilidad del PbI, a esa temperatura en una disolución 0?1 M de KI.
Masas atómicas: I =127 ; Pb = 207
QUÍMICA. 2010. RESERVA 3. EJERCICIO 5. OPCIÓN B"
química,2010,Solubilidad,Reserva 4,Ejercicio 6 Opción A,"A 25*C el producto de solubilidad en agua del AgOH es 2-10*. Para esa temperatura,
calcule:
a) La solubilidad del compuesto en g/L.
b) La solubilidad del hidróxido de plata en una disolución de pH =13.
Masas atómicas: Ag =108 ; O=16; H=1.
QUÍMICA. 2010. RESERVA 4. EJERCICIO 6. OPCIÓN A"
química,2011,Solubilidad,Reserva 1,Ejercicio 3 Opción A,"El hidróxido de magnesio es un compuesto poco soluble en agua.
a) Escriba la expresión del producto de solubilidad del compuesto.
b) Deduzca la expresión que relaciona la solubilidad con el producto de solubilidad del
compuesto.
c) Justifique cómo se modificará la solubilidad si se añade una cierta cantidad de hidróxido de
sodio.
QUÍMICA. 2011. RESERVA 1. EJERCICIO 3. OPCIÓN A"
química,2011,Solubilidad,Reserva 2,Ejercicio 3 Opción A,"Se dispone de una disolución acuosa saturada de Ag,CrO, con una pequeña cantidad de
precipitado en el fondo. Razone cómo afecta a la cantidad de precipitado la adición de:
a) Agua.
b) Una disolución acuosa de cromato de sodio.
c) Una disolución acuosa de nitrato de plata.
QUÍMICA. 2011. RESERVA 2. EJERCICIO 3. OPCIÓN A"
quiímica,2011,Solubilidad,Reserva 4,Ejercicio 5 Opción B,"A 25 “C el producto de solubilidad del carbonato de plata en agua pura es 8'1-10-7, Calcule:
a) La solubilidad molar del Ag,CO, a 25“C.
b) Los gramos de Ag,CO, que podemos llegar a disolver en medio litro de agua a esa
temperatura.
Masas atómicas: Ag = 108; C = 12; O = 16. .
QUIÍMICA. 2011. RESERVA 4. EJERCICIO 5. OPCIÓN B"
química,2011,Solubilidad,Septiembre,Ejercicio 6 Opción A,"A cierta temperatura el producto de solubilidad en agua del Agl es 8'3-10-7., Para esa
temperatura, calcule la solubilidad molar del compuesto en:
a) Una disolución 0?1 M de AgNO;.
b) Una disolución de ácido yodhídrico de pH =2.
QUÍMICA. 2011. SEPTIEMBRE. EJERCICIO 6. OPCIÓN A"
